Data structureconstruction time: 710571949782 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4624578,150.31,151.133,ns,,,,,,0,0,1,9.69844e+14
"BM_run/2",104579,6635.99,6637.51,ns,,,,,,0,0,2,3.53738e+11
"BM_run/3",28239,25070,25050.1,ns,,,,,,0,0,3,1.54068e+09
"BM_run/4",22311,31617.1,31589.9,ns,,,,,,0,0,4,1.96568e+07
"BM_run/5",22968,30376.8,30351.2,ns,,,,,,0,0,5,349094
"BM_run/6",15076,46233.5,46192.8,ns,,,,,,0,0,6,18550
"BM_run/7",10921,64205.8,64141.5,ns,,,,,,0,0,7,10960
"BM_run/8",10036,69619.1,69553.4,ns,,,,,,0,0,8,10036
"BM_run/9",9684,73529.4,73458,ns,,,,,,0,0,9,9684
"BM_run/10",9037,76499.2,76429.6,ns,,,,,,0,0,10,9037
"BM_run/20",6456,108384,108280,ns,,,,,,0,0,20,6456
"BM_run/30",5041,143335,143202,ns,,,,,,0,0,30,5041
"BM_run/40",4092,172370,172214,ns,,,,,,0,0,40,4092
"BM_run/50",3499,204279,204093,ns,,,,,,0,0,50,3499
"BM_run/60",2954,236903,236697,ns,,,,,,0,0,60,2954
"BM_run/70",2622,270477,270240,ns,,,,,,0,0,70,2622
"BM_run/80",2279,298245,297993,ns,,,,,,0,0,80,2279
"BM_run/90",2077,332107,331836,ns,,,,,,0,0,90,2077
"BM_run/100",1877,363847,363540,ns,,,,,,0,0,100,1877
"BM_run/200",995,689627,689070,ns,,,,,,0,0,200,995
"BM_run/300",747,981749,980950,ns,,,,,,0,0,300,747
"BM_run/400",515,1.36653e+06,1.36542e+06,ns,,,,,,0,0,400,515
"BM_run/500",481,1.60081e+06,1.59954e+06,ns,,,,,,0,0,500,481
"BM_run/600",396,1.86418e+06,1.86265e+06,ns,,,,,,0,0,600,396
"BM_run/700",289,2.40517e+06,2.40329e+06,ns,,,,,,0,0,700,289
"BM_run/800",258,2.44432e+06,2.44237e+06,ns,,,,,,0,0,800,258
"BM_run/900",248,2.84502e+06,2.84272e+06,ns,,,,,,0,0,900,248
"BM_run/1000",250,3.1735e+06,3.17099e+06,ns,,,,,,0,0,1000,250
"BM_run/2000",120,5.49406e+06,5.48967e+06,ns,,,,,,0,0,2000,120
"BM_run/3000",70,9.15461e+06,9.14747e+06,ns,,,,,,0,0,3000,70
"BM_run/4000",66,1.11889e+07,1.11799e+07,ns,,,,,,0,0,4000,66
"BM_run/5000",51,1.42348e+07,1.42233e+07,ns,,,,,,0,0,5000,51
"BM_run/6000",35,1.71209e+07,1.71074e+07,ns,,,,,,0,0,6000,35
"BM_run/7000",29,2.28204e+07,2.28026e+07,ns,,,,,,0,0,7000,29
"BM_run/8000",26,2.07517e+07,2.07346e+07,ns,,,,,,0,0,8000,26
"BM_run/9000",36,2.16355e+07,2.16176e+07,ns,,,,,,0,0,9000,36
"BM_run/10000",30,2.91163e+07,2.90933e+07,ns,,,,,,0,0,10000,30
"BM_run/20000",10,6.70242e+07,6.69738e+07,ns,,,,,,0,0,20000,10
"BM_run/30000",10,8.27837e+07,8.27183e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",8,8.21509e+07,8.20759e+07,ns,,,,,,0,0,40000,8
"BM_run/50000",6,1.20155e+08,1.20055e+08,ns,,,,,,0,0,50000,6
"BM_run/60000",5,1.90078e+08,1.89932e+08,ns,,,,,,0,0,60000,5
"BM_run/70000",4,2.13933e+08,2.13775e+08,ns,,,,,,0,0,70000,4
"BM_run/80000",4,1.58933e+08,1.58787e+08,ns,,,,,,0,0,80000,4
"BM_run/90000",5,1.98852e+08,1.98681e+08,ns,,,,,,0,0,90000,5
"BM_run/100000",4,2.48033e+08,2.47829e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",2,3.29319e+08,3.28994e+08,ns,,,,,,0,0,200000,2
"BM_run/300000",1,8.34396e+08,8.33745e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",1,1.52859e+09,1.5275e+09,ns,,,,,,0,0,400000,1
"BM_run/500000",1,8.9735e+08,8.96487e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.03531e+09,1.03428e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.75296e+09,1.75152e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,1.28564e+09,1.28432e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.49179e+09,1.49028e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.22009e+09,2.21815e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,4.46903e+09,4.46525e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.26122e+10,1.26036e+10,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,8.60295e+09,8.59539e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,8.2472e+09,8.23882e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.0307e+10,1.02967e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.11808e+10,1.11694e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,6.56563e+10,6.5614e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,8.37176e+10,8.36629e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,3.30396e+10,3.30159e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,3.25019e+10,3.24683e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,5.37268e+10,5.36747e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,8.23592e+10,8.22857e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,1.62989e+11,1.6287e+11,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,1.91093e+11,1.90954e+11,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,2.14725e+11,2.1457e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.6529e+11,1.65144e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,2.63663e+11,2.63466e+11,ns,,,,,,0,0,9e+07,1
