Data structureconstruction time: 709807930971 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4600289,151.154,152.335,ns,,,,,,0,0,1,9.64751e+14
"BM_run/2",106807,6581.54,6584.35,ns,,,,,,0,0,2,3.61275e+11
"BM_run/3",27914,24838.7,24821.7,ns,,,,,,0,0,3,1.52298e+09
"BM_run/4",22285,31400.2,31375.2,ns,,,,,,0,0,4,1.96327e+07
"BM_run/5",22825,30507.3,30484.6,ns,,,,,,0,0,5,347398
"BM_run/6",15150,46387.4,46348.6,ns,,,,,,0,0,6,18512
"BM_run/7",10920,64712.1,64658.5,ns,,,,,,0,0,7,10955
"BM_run/8",10242,69603.3,69542.1,ns,,,,,,0,0,8,10242
"BM_run/9",9891,73405.4,73344.8,ns,,,,,,0,0,9,9891
"BM_run/10",9152,76534.3,76469.2,ns,,,,,,0,0,10,9152
"BM_run/20",6318,110766,110671,ns,,,,,,0,0,20,6318
"BM_run/30",4890,140793,140672,ns,,,,,,0,0,30,4890
"BM_run/40",4021,171202,171053,ns,,,,,,0,0,40,4021
"BM_run/50",3484,203286,203112,ns,,,,,,0,0,50,3484
"BM_run/60",3088,235076,234872,ns,,,,,,0,0,60,3088
"BM_run/70",2635,266244,266033,ns,,,,,,0,0,70,2635
"BM_run/80",2316,297875,297631,ns,,,,,,0,0,80,2316
"BM_run/90",2111,324199,323937,ns,,,,,,0,0,90,2111
"BM_run/100",1993,358776,358490,ns,,,,,,0,0,100,1993
"BM_run/200",1081,659248,658736,ns,,,,,,0,0,200,1081
"BM_run/300",715,998558,997767,ns,,,,,,0,0,300,715
"BM_run/400",568,1.26178e+06,1.26083e+06,ns,,,,,,0,0,400,568
"BM_run/500",422,1.4762e+06,1.47497e+06,ns,,,,,,0,0,500,422
"BM_run/600",356,1.94119e+06,1.93952e+06,ns,,,,,,0,0,600,356
"BM_run/700",329,2.13059e+06,2.12897e+06,ns,,,,,,0,0,700,329
"BM_run/800",296,2.47329e+06,2.47146e+06,ns,,,,,,0,0,800,296
"BM_run/900",281,2.63573e+06,2.63362e+06,ns,,,,,,0,0,900,281
"BM_run/1000",220,3.28979e+06,3.28737e+06,ns,,,,,,0,0,1000,220
"BM_run/2000",104,6.19275e+06,6.18794e+06,ns,,,,,,0,0,2000,104
"BM_run/3000",101,8.8686e+06,8.86171e+06,ns,,,,,,0,0,3000,101
"BM_run/4000",49,1.21733e+07,1.21637e+07,ns,,,,,,0,0,4000,49
"BM_run/5000",58,1.55469e+07,1.55346e+07,ns,,,,,,0,0,5000,58
"BM_run/6000",48,2.02662e+07,2.02512e+07,ns,,,,,,0,0,6000,48
"BM_run/7000",30,2.04577e+07,2.04416e+07,ns,,,,,,0,0,7000,30
"BM_run/8000",27,2.08395e+07,2.08232e+07,ns,,,,,,0,0,8000,27
"BM_run/9000",32,2.57406e+07,2.57205e+07,ns,,,,,,0,0,9000,32
"BM_run/10000",30,3.26488e+07,3.26255e+07,ns,,,,,,0,0,10000,30
"BM_run/20000",10,6.41169e+07,6.40699e+07,ns,,,,,,0,0,20000,10
"BM_run/30000",8,7.86872e+07,7.86262e+07,ns,,,,,,0,0,30000,8
"BM_run/40000",6,1.05201e+08,1.05122e+08,ns,,,,,,0,0,40000,6
"BM_run/50000",8,1.24163e+08,1.24065e+08,ns,,,,,,0,0,50000,8
"BM_run/60000",4,2.66567e+08,2.66378e+08,ns,,,,,,0,0,60000,4
"BM_run/70000",1,1.17891e+09,1.17807e+09,ns,,,,,,0,0,70000,1
"BM_run/80000",4,2.1359e+08,2.13425e+08,ns,,,,,,0,0,80000,4
"BM_run/90000",3,4.78954e+08,4.78631e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",1,1.80167e+09,1.80055e+09,ns,,,,,,0,0,100000,1
"BM_run/200000",1,9.81332e+08,9.80695e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",2,5.73151e+08,5.72633e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",1,6.46265e+08,6.45616e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",1,1.14432e+09,1.14338e+09,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.26624e+09,1.26512e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.82401e+09,1.82259e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,1.77904e+09,1.77756e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.44766e+09,1.44623e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.7756e+09,2.7736e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.75545e+09,3.75204e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,6.21817e+09,6.21281e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.63476e+10,1.63367e+10,ns,,,,,,0,0,4e+06,1
