Data structureconstruction time: 1481374347683 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4590487,151.964,152.832,ns,,,,,,0,0,1,9.62695e+14
"BM_run/2",117971,5845.88,5847.09,ns,,,,,,0,0,2,9.96635e+11
"BM_run/3",51366,13559.5,13548.7,ns,,,,,,0,0,3,4.88187e+10
"BM_run/4",26205,26396.2,26372.6,ns,,,,,,0,0,4,9.00617e+09
"BM_run/5",26413,26455.8,26432.8,ns,,,,,,0,0,5,4.72642e+09
"BM_run/6",20923,33849.6,33819.4,ns,,,,,,0,0,6,1.92966e+09
"BM_run/7",19019,36911.5,36878.5,ns,,,,,,0,0,7,1.14117e+09
"BM_run/8",16225,43213,43173.4,ns,,,,,,0,0,8,6.39611e+08
"BM_run/9",19024,37025.4,36990.8,ns,,,,,,0,0,9,5.26951e+08
"BM_run/10",16386,42746.3,42708.9,ns,,,,,,0,0,10,4.21731e+08
"BM_run/20",9667,71498.2,71431.7,ns,,,,,,0,0,20,4.68483e+07
"BM_run/30",7110,98566.4,98474.2,ns,,,,,,0,0,30,1.75339e+07
"BM_run/40",5822,119788,119673,ns,,,,,,0,0,40,6.91542e+06
"BM_run/50",4901,142436,142310,ns,,,,,,0,0,50,2.15462e+06
"BM_run/60",4127,164887,164736,ns,,,,,,0,0,60,1.08113e+06
"BM_run/70",3774,180416,180252,ns,,,,,,0,0,70,294388
"BM_run/80",3495,201537,201350,ns,,,,,,0,0,80,234705
"BM_run/90",3018,222798,222596,ns,,,,,,0,0,90,216179
"BM_run/100",2976,248379,248148,ns,,,,,,0,0,100,154982
"BM_run/200",1571,469851,469449,ns,,,,,,0,0,200,83087
"BM_run/300",1020,651101,650540,ns,,,,,,0,0,300,38178
"BM_run/400",885,889826,889093,ns,,,,,,0,0,400,33907
"BM_run/500",628,1.06549e+06,1.06456e+06,ns,,,,,,0,0,500,26271
"BM_run/600",513,1.32434e+06,1.32326e+06,ns,,,,,,0,0,600,14184
"BM_run/700",484,1.58738e+06,1.58609e+06,ns,,,,,,0,0,700,12037
"BM_run/800",440,1.67085e+06,1.66945e+06,ns,,,,,,0,0,800,11078
"BM_run/900",356,1.88958e+06,1.88801e+06,ns,,,,,,0,0,900,3168
"BM_run/1000",348,2.20831e+06,2.2065e+06,ns,,,,,,0,0,1000,7629
"BM_run/2000",161,4.20164e+06,4.19824e+06,ns,,,,,,0,0,2000,346
"BM_run/3000",100,6.3482e+06,6.34319e+06,ns,,,,,,0,0,3000,3082
"BM_run/4000",95,8.23615e+06,8.22965e+06,ns,,,,,,0,0,4000,165
"BM_run/5000",88,1.06546e+07,1.06459e+07,ns,,,,,,0,0,5000,88
"BM_run/6000",71,1.14279e+07,1.14187e+07,ns,,,,,,0,0,6000,71
"BM_run/7000",62,1.53506e+07,1.53385e+07,ns,,,,,,0,0,7000,62
"BM_run/8000",47,1.66284e+07,1.66156e+07,ns,,,,,,0,0,8000,47
"BM_run/9000",45,1.94269e+07,1.94119e+07,ns,,,,,,0,0,9000,45
"BM_run/10000",50,2.12675e+07,2.12511e+07,ns,,,,,,0,0,10000,51
"BM_run/20000",20,3.84284e+07,3.83961e+07,ns,,,,,,0,0,20000,20
"BM_run/30000",14,6.33898e+07,6.33396e+07,ns,,,,,,0,0,30000,14
"BM_run/40000",10,6.48441e+07,6.47892e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",10,8.99662e+07,8.98922e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",10,6.81822e+07,6.81186e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",6,1.40393e+08,1.40286e+08,ns,,,,,,0,0,70000,6
"BM_run/80000",9,1.55085e+08,1.54959e+08,ns,,,,,,0,0,80000,9
"BM_run/90000",9,2.27022e+08,2.26854e+08,ns,,,,,,0,0,90000,9
"BM_run/100000",4,1.92473e+08,1.9232e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",5,3.28606e+08,3.28327e+08,ns,,,,,,0,0,200000,5
"BM_run/300000",1,2.26296e+09,2.26156e+09,ns,,,,,,0,0,300000,1
"BM_run/400000",1,3.22287e+09,3.22087e+09,ns,,,,,,0,0,400000,1
"BM_run/500000",2,6.56951e+08,6.5635e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",1,8.80696e+08,8.79863e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.4438e+09,1.44271e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,3.86749e+09,3.86504e+09,ns,,,,,,0,0,800000,1
