Data structureconstruction time: 1470775589922 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4611563,150.735,151.817,ns,,,,,,0,0,1,9.67115e+14
"BM_run/2",119084,5797.15,5797.97,ns,,,,,,0,0,2,1.00578e+12
"BM_run/3",52620,13271.4,13260.9,ns,,,,,,0,0,3,5.06152e+10
"BM_run/4",27214,25449.7,25427.4,ns,,,,,,0,0,4,9.38463e+09
"BM_run/5",27195,25771,25749.1,ns,,,,,,0,0,5,4.77452e+09
"BM_run/6",21932,31799.7,31770.8,ns,,,,,,0,0,6,2.08573e+09
"BM_run/7",20122,34569.1,34538.7,ns,,,,,,0,0,7,1.27543e+09
"BM_run/8",17598,39938.9,39904.1,ns,,,,,,0,0,8,6.92245e+08
"BM_run/9",19245,36204,36172.8,ns,,,,,,0,0,9,5.91687e+08
"BM_run/10",16907,41594.9,41557.8,ns,,,,,,0,0,10,4.10861e+08
"BM_run/20",9755,70465.8,70401.6,ns,,,,,,0,0,20,4.01667e+07
"BM_run/30",7270,96207.2,96120.3,ns,,,,,,0,0,30,1.64284e+07
"BM_run/40",5961,118147,118040,ns,,,,,,0,0,40,5.86547e+06
"BM_run/50",4946,140221,140094,ns,,,,,,0,0,50,3.8245e+06
"BM_run/60",4231,163181,163030,ns,,,,,,0,0,60,1.12369e+06
"BM_run/70",3828,175391,175229,ns,,,,,,0,0,70,432073
"BM_run/80",3507,198755,198568,ns,,,,,,0,0,80,225958
"BM_run/90",3080,224839,224633,ns,,,,,,0,0,90,187161
"BM_run/100",2950,238052,237835,ns,,,,,,0,0,100,209924
"BM_run/200",1556,448129,447746,ns,,,,,,0,0,200,72820
"BM_run/300",1069,672917,672350,ns,,,,,,0,0,300,59062
"BM_run/400",813,887919,887194,ns,,,,,,0,0,400,28668
"BM_run/500",680,1.0707e+06,1.06982e+06,ns,,,,,,0,0,500,39284
"BM_run/600",517,1.30647e+06,1.30545e+06,ns,,,,,,0,0,600,17297
"BM_run/700",503,1.51479e+06,1.51357e+06,ns,,,,,,0,0,700,11545
"BM_run/800",376,1.70763e+06,1.70625e+06,ns,,,,,,0,0,800,13863
"BM_run/900",363,1.83914e+06,1.83765e+06,ns,,,,,,0,0,900,8247
"BM_run/1000",358,2.20185e+06,2.20011e+06,ns,,,,,,0,0,1000,7807
"BM_run/2000",186,4.13537e+06,4.13196e+06,ns,,,,,,0,0,2000,187
"BM_run/3000",119,6.49125e+06,6.48613e+06,ns,,,,,,0,0,3000,120
"BM_run/4000",86,7.52762e+06,7.52142e+06,ns,,,,,,0,0,4000,87
"BM_run/5000",77,1.00355e+07,1.00274e+07,ns,,,,,,0,0,5000,77
"BM_run/6000",64,1.01847e+07,1.01765e+07,ns,,,,,,0,0,6000,64
"BM_run/7000",56,1.30787e+07,1.30681e+07,ns,,,,,,0,0,7000,57
"BM_run/8000",51,1.68455e+07,1.68319e+07,ns,,,,,,0,0,8000,51
"BM_run/9000",46,2.08481e+07,2.08325e+07,ns,,,,,,0,0,9000,46
"BM_run/10000",50,2.35849e+07,2.35667e+07,ns,,,,,,0,0,10000,50
"BM_run/20000",19,4.07597e+07,4.07283e+07,ns,,,,,,0,0,20000,19
"BM_run/30000",17,6.42166e+07,6.41682e+07,ns,,,,,,0,0,30000,17
"BM_run/40000",6,9.03961e+07,9.03305e+07,ns,,,,,,0,0,40000,6
"BM_run/50000",12,6.24689e+07,6.24078e+07,ns,,,,,,0,0,50000,12
"BM_run/60000",1,6.74489e+08,6.74065e+08,ns,,,,,,0,0,60000,1
"BM_run/70000",6,2.68662e+08,2.68477e+08,ns,,,,,,0,0,70000,6
"BM_run/80000",2,3.21847e+08,3.21631e+08,ns,,,,,,0,0,80000,2
