Data structure size: 91811481728 bits, construction time: 60527452004 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,497.755,500.154,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1365.93,1370.12,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2018.27,2021.49,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,2232.05,2235.01,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,1996.28,1998.57,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,1972.49,1974.99,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,1888.26,1890.16,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,2035.51,2036.75,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,1931.99,1933.91,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1908.19,1909.65,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1932.41,1934.55,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1906.15,1908.1,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,2017.08,2019.09,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1985.44,1987.12,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1969.52,1972.11,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,2157.69,2159.83,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,2113.25,2115.71,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,2138.7,2140.58,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2097.67,2099.59,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2252.71,2255.96,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2442.66,2445.75,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2446.19,2449.2,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2405.65,2409.03,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2589.98,2593.02,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2594.62,2597.8,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2601.17,2604.32,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2587.79,2591.32,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2581.59,2584.62,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2604.79,2607.89,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,2638.86,2641.03,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2722.19,2724.24,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,2715.4,2718.27,ns,,,,,,0,5000
