Data structure size: 91811481728 bits, construction time: 69719028990 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,603.632,604.686,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1448.59,1451.47,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2029.08,2030.69,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,2152.78,2155.11,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,1883.28,1885.74,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,1844.77,1846.44,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,1720.54,1722.09,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,1708.29,1710.02,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,1603.93,1605.48,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1573.66,1575.42,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1490.37,1492.35,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1459.79,1461.37,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1570.22,1571.27,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1572.93,1574.63,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1591.03,1592.72,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1782.16,1783.94,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1774.16,1775.87,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1775.34,1777.41,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1826.95,1828.38,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2040.71,2044.06,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2328.37,2332.34,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2337.36,2341.03,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2320.8,2324.65,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2661.91,2665.42,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2662.7,2666.18,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2672.55,2675.64,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2681.9,2685.34,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2739.24,2738.89,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2724.1,2723.66,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,2734.69,2733.8,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2770.69,2770.1,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,2806.72,2805.38,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,2825.43,2824.67,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,2859.77,2859.89,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,2894.89,2896.89,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2916.5,2918.55,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2926.41,2928.49,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,3151.56,3149.47,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,3283.7,3278.79,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,3416.3,3408.95,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,3530.02,3522.03,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,3610.84,3601.4,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,3737.33,3728.86,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,3843.13,3831.93,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,3927.88,3919.61,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,4043.94,4032.41,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,5009.18,4997.99,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,6092.68,6075.34,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,7532.62,7504.7,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,9328.21,9288.7,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,11443.3,11381.4,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,13982,13900,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,16957.6,16846.3,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,20200.2,20085.8,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,22888.2,22760.8,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,56905.3,56761.3,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,85748,85560.4,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,115313,115087,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,144933,144654,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,174284,173956,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,203710,203332,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,234508,234067,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,259251,258778,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,292157,291628,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,590799,589693,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,916512,914930,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.02957e+06,2.02674e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.53787e+06,2.53434e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.06862e+06,3.06443e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.56886e+06,3.56404e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.08572e+06,4.08036e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.61591e+06,4.61007e+06,ns,,,,,,0,9e+07
