Data structure size: 108985006720 bits, construction time: 32356814349 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,489.899,493.109,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1352.61,1355.43,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,1979.3,1981.54,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,2151.73,2154.79,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,1883.02,1885.17,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,1825.53,1828.19,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,1750.69,1753.12,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,1836.35,1839.09,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,1719.72,1722.36,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1695.72,1698.07,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1700.73,1703.77,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1667.39,1670.46,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1722.41,1725.72,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1669.44,1673.34,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1661.93,1665.39,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1755.02,1758.39,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1727,1730.59,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1716.43,1720.02,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1710.42,1714.13,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1811.71,1815.31,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1958.64,1961.52,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1908.87,1912.55,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1885.22,1888.94,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2089.96,2092.79,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2092.13,2095.76,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2099.98,2103.54,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2092.66,2096.26,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2081.56,2085.06,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2083.1,2086.93,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,2110.91,2114.22,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2159.79,2163.41,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,2153.14,2157.35,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,2171.59,2175.2,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,2194.4,2196.66,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,2209.61,2214.13,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2209.29,2212.77,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2223.68,2226.69,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,2339.81,2338.64,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,2490.13,2487.49,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,2579.77,2574.4,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,2661.95,2655.21,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,2727.75,2723.06,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,2815.77,2807.56,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,2884.94,2879.34,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,2963.8,2953.63,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,3033.54,3026.12,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,3805.89,3794.99,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,4716.47,4700.58,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,6041.13,6017.95,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,7733.61,7697.63,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,9851.65,9800.19,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,12607.7,12525.6,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,15714.7,15617,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,19078.5,18954.8,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,21887.3,21762.2,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,55002.1,54890.3,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,82827.3,82666,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,111429,111223,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,140541,140296,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,169885,169582,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,199139,198767,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,229177,228735,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,253477,252981,ns,,,,,,0,9e+06
