Data structure size: 13421773248 bits, construction time: 2785135512 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,192.417,192.484,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,243.241,244.155,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,455.818,458.451,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,649.671,653.802,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,816.428,821.198,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,956.295,961.628,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,1103.67,1108.37,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,1202.2,1207.84,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,1269.04,1274.77,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1321.77,1327.84,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1600.55,1606.49,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1897.36,1902.91,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,2082.11,2088.26,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,2193.69,2198.47,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,2287.45,2292.77,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,2366.06,2370.95,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,2397.7,2402.9,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,2439.2,2444.23,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2480.27,2485.37,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2617.38,2622.49,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2658.79,2663.63,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2705.63,2710.09,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2759.27,2763.63,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2775.31,2779.59,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2804.75,2808.79,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2822.38,2826.67,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2852.96,2858.12,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2843.41,2847.72,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,3096.1,3100.06,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,3344.3,3348.65,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,3537.27,3541.04,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3752.51,3756.32,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3992.84,3995.86,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,4219.92,4222.07,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,4435.37,4437.34,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,4647.17,4648.71,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,4912.36,4913.69,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,7022.54,7016.46,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,9183.24,9172.16,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,11241.1,11226.6,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,13357.9,13337.2,ns,,,,,,0,50000
