Data structure size: 40265319552 bits, construction time: 12280761364 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,176.731,177.511,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,191.725,192.967,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,211.598,212.668,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,233.492,234.841,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,277.376,278.981,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,359.912,361.875,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,428.986,431.126,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,505.973,508.301,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,592.792,595.131,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,671.291,673.701,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1330.17,1333.34,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1602.41,1606.12,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1721.64,1725.35,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1808.07,1812.14,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1878.17,1882.19,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1947.27,1951.68,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1962.73,1965.86,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1976.63,1980.44,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2033.27,2036.78,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2116.65,2121.22,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2147.63,2152.52,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2161.92,2166.9,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2183.11,2188.12,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2208.18,2212.96,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2213.9,2218.72,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2253.78,2258.56,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2261.45,2266.2,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2249.68,2254.44,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2296.83,2301.33,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,2330.83,2335.25,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2363.3,2367.89,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,2373.47,2377.55,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,2398.88,2403.69,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,2427.74,2432.2,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,2465.58,2470.36,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2470.94,2474.94,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2517.89,2521.68,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,2750.44,2750.75,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,2941.23,2939.08,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,3127.3,3122.46,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,3306.68,3297.66,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,3420.61,3414.32,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,3580.46,3571.94,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,3726.11,3720.18,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,3844.96,3836.36,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,3956.79,3950.11,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,5222.98,5209.91,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,6610.59,6587.48,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,8333.12,8308.04,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,10347.6,10307.7,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,12742.5,12682.5,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,15422.3,15336.7,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,18492.4,18385.3,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,21639.1,21523.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,24269.5,24142.7,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,58083.6,57945.9,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,86335.2,86136.6,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,116572,116329,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,146059,145777,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,176110,175782,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,205796,205409,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,235944,235521,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,261247,260787,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,294705,294190,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,596574,595474,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,924476,922965,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.04947e+06,2.04648e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.5709e+06,2.5673e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.11395e+06,3.10971e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.61234e+06,3.60741e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.13941e+06,4.13386e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.67945e+06,4.67331e+06,ns,,,,,,0,9e+07
