Data structure size: 91811481728 bits, construction time: 85048568033 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,210.548,211.633,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,267.637,269.775,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,296.69,298.507,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,357.657,358.598,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,416.709,417.321,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,584.291,585.148,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,669.001,669.866,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,941.65,942.871,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,976.877,978.073,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1094.12,1094.95,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1694.49,1695.33,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1762,1763.39,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1998.73,2000.01,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,2005.84,2006.25,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1998.21,1999.31,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,2214.15,2215.48,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,2196.56,2197.53,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,2194.71,2196.3,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2235.78,2236.02,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2407.97,2411.33,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2628.83,2632.64,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2616.72,2619.38,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2604.35,2607.91,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2844.49,2846.92,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2863.04,2866.31,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2872.01,2875.11,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2897.4,2900.65,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2879.51,2882.44,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,3160.46,3162.54,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,3564.91,3566.83,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,3587.55,3589.24,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3632.45,3634.49,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3666.7,3668.32,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,3746.59,3748.36,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,3746.75,3748.01,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,3770.53,3772.27,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,3812.42,3813.76,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,4012.8,4010.85,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,4226.63,4221.13,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,4298.15,4288.66,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,4388.09,4380.03,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,4509.39,4500.21,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,4604.3,4593.3,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,4673.26,4660.52,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,4785.88,4778.3,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,4840.74,4829.97,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,5702.47,5690.05,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,6701.58,6684.45,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,8058.59,8033.02,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,9796.13,9756.36,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,11990.5,11922.1,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,14682.9,14595.2,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,17810.9,17690,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,21077.2,20947,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,23818.1,23684.3,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,57743.4,57611,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,86290.8,86088.2,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,115897,115655,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,145368,145071,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,174362,174018,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,204103,203699,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,234632,234181,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,259173,258679,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,292903,292375,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,593031,591842,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,916254,914702,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.04893e+06,2.04594e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.55914e+06,2.55554e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.09401e+06,3.08975e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.59133e+06,3.58641e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.10839e+06,4.10277e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.6414e+06,4.63525e+06,ns,,,,,,0,9e+07
