Data structure size: 91818035328 bits, construction time: 44869147688 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,189.208,188.746,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,218.121,218.82,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,234.415,235.069,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,269.572,270.865,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,319.025,318.941,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,442.763,443.84,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,507.459,508.755,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,698.639,700.26,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,731.023,731.961,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,784.156,785.708,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,997.529,999.182,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1001.77,1003.27,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1051.03,1053.45,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1049.77,1051.83,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1059.28,1060.73,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1122.37,1124.84,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1112.45,1114.66,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1096.17,1098.71,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1099.88,1102.06,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1177.43,1180.73,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1309.31,1312.54,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1276.94,1280.01,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1239.1,1242.85,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,1359.24,1363.07,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,1369.91,1373.61,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,1379.76,1383.55,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,1373.6,1377.65,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,1380.92,1384.12,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,1471.81,1475.25,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,1570.87,1574.32,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,1607.84,1610.5,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,1616.1,1619.51,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,1632.23,1635.37,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,1667.79,1670.42,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,1671.71,1674.56,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,1684.67,1687.99,ns,,,,,,0,9000
