Data structure size: 108985006720 bits, construction time: 39111274804 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,196.636,196.978,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,240.237,242.123,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,254.803,255.786,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,314.436,315.124,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,361.746,362.287,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,500.71,501.776,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,569.834,571.405,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,858.05,859.938,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,892.193,893.916,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,978.009,979.691,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1535.05,1538.21,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1632.47,1635.04,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1787.98,1790.61,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1801.37,1804.61,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1802.09,1805.43,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1974.49,1977.26,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1944.72,1948.07,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1946.89,1950.35,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1947.14,1950.09,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2094.83,2097.82,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2263.76,2267.26,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2249.76,2253.16,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2262.5,2265.72,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2464.51,2467.99,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2496.58,2499.42,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2565.51,2568.23,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2503.86,2506.74,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2526.34,2529.03,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2762.35,2764.9,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,3075.68,3077.99,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,3105.34,3107.22,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3118.32,3120.01,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3152.22,3154.32,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,3173.78,3176.22,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,3188.44,3190.49,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,3214.17,3215.99,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,3238.98,3240.6,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,3387.72,3385.8,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,3544.68,3540.33,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,3667.41,3659.87,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,3718.54,3710.68,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,3805.2,3799.29,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,3908.13,3896.09,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,3982.08,3975.16,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,4077.83,4067.58,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,4156.37,4147.92,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,4991.27,4980.81,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,5987.65,5969.65,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,7390.07,7363.55,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,9092.15,9055.92,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,11259.1,11202.9,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,13940.2,13851.4,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,17056.9,16954.3,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,20352.3,20225.4,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,23193.8,23065.3,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,56675.1,56553.7,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,84864.4,84693.1,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,114006,113761,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,143235,142964,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,172719,172398,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,202528,202163,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,232818,232420,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,257628,257173,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,290780,290279,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,592075,590931,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,926723,925173,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.07458e+06,2.07153e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.58254e+06,2.57888e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.11867e+06,3.11433e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.61714e+06,3.61228e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.15395e+06,4.14844e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.69747e+06,4.69115e+06,ns,,,,,,0,9e+07
