Data structure size: 13421773248 bits, construction time: 2906223478 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,192.296,193.848,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,214.107,215.349,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,227.942,229.37,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,254.074,255.764,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,345.243,347.565,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,513.211,517.339,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,685.329,689.692,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,840.171,845.899,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,991.905,997.574,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1100.34,1106.26,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1605,1611.64,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1852.41,1858.79,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,2045.57,2052.41,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,2163.12,2169.03,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,2239.1,2245.47,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,2286.79,2292.17,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,2276.86,2283.01,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,2327.7,2333.43,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2308.64,2314.54,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2448.48,2452.86,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2480.1,2485.46,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2545.22,2550.25,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2540.95,2546.57,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2628.91,2633.81,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2629.45,2634.96,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2661.38,2666.16,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2674.38,2679.95,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2694.24,2699.12,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2953.24,2958.33,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,3143.4,3147.76,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,3412.72,3416.81,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3658.1,3661.04,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3807.5,3811.27,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,4023.2,4026.85,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,4210.53,4213.66,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,4462.83,4465.6,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,4761.62,4764.52,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,6918.13,6913.29,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,9096.16,9087.68,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,11131.1,11114.9,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,13309.7,13295.3,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,15376.3,15360.5,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,17539.8,17521.6,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,19506.6,19487.2,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,21665.9,21642,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,23728.1,23703.4,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,44781.8,44730.9,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,64912.7,64828,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,85554.9,85412.6,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,107021,106816,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,128006,127754,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,148830,148531,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,170042,169716,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,192856,192514,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,211211,210839,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,416708,415997,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,618194,617161,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,825554,824138,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,1.03429e+06,1.03256e+06,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,1.24459e+06,1.24263e+06,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,1.45308e+06,1.45065e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,1.66872e+06,1.6663e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,1.84136e+06,1.83832e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,2.07296e+06,2.06962e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,4.07252e+06,4.06556e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,6.2328e+06,6.22334e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,9.11195e+06,9.10001e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,1.14507e+07,1.1436e+07,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,1.37838e+07,1.37666e+07,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,1.59713e+07,1.59509e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,1.81761e+07,1.8153e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,2.05945e+07,2.0569e+07,ns,,,,,,0,9e+07
