Data structure size: 40265319552 bits, construction time: 11621493162 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,1192.74,1198.55,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1459.99,1466.1,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2283.34,2288.23,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,2640.53,2645.89,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,2914.97,2920.27,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,3169.28,3173.45,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,3528.45,3532.39,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,3842.16,3844.79,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,4054.7,4058.61,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,4249.79,4253.53,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,5322.14,5325.99,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,5696.31,5699.96,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,5827.87,5831.6,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,5825.72,5828.92,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,5909.47,5912.79,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,5905.68,5909.37,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,6074.77,6077.38,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,5991.18,5994.76,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,6002.67,6006.08,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,6081.35,6085.22,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,6184.09,6187.93,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,6152.47,6156.04,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,6152.39,6156.43,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,6206.46,6210.29,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,6238.02,6240.61,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,6267.22,6271.19,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,6299.86,6303.39,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,6304.14,6307.82,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,6319.17,6323.46,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,6355.98,6359.86,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,6402.38,6406.17,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,6501.44,6505.34,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,6440.7,6444.32,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,6442.87,6446.53,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,6638.32,6641.51,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,6621.87,6625.04,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,6641.81,6643.09,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,6905.43,6901.44,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,7210.06,7202.86,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,7442.39,7433.54,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,7742.79,7731.84,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,7972.34,7958.65,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,8176,8166.56,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,8346.33,8331.69,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,8593.04,8579.38,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,8830.04,8816.14,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,10614.9,10591.9,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,12784.7,12759.1,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,15167.3,15129.2,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,17806.4,17764.3,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,20625.8,20564.1,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,23541.3,23455.2,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,26522.5,26406.2,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,29682.6,29559,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,32249.7,32109.6,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,66885.2,66756.3,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,95771.7,95588.6,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,125305,125051,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,154316,154045,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,183958,183640,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,213830,213466,ns,,,,,,0,7e+06
