Data structure size: 91821312512 bits, construction time: 73543614119 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,584.708,586.089,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,911.231,914.162,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,1452.29,1455.07,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,2336.53,2339.42,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,2559.68,2562.78,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,2902.83,2905.23,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,2922.59,2924.46,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,3146.66,3148.86,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,3211.17,3212.77,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,3173.74,3175.63,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,3297.33,3298.81,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,3336.8,3338.45,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,3452.58,3454.04,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,3452.43,3454.22,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,3419.3,3420.69,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,3700.16,3701.79,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,3581.03,3582.44,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,3604.94,3605.93,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,3555.72,3557.13,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,3708.05,3709.49,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,3898.37,3898.62,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,3900.19,3900.9,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,3888.98,3890.14,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,4071.34,4071.91,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,4078.25,4079.27,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,4071.78,4072.22,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,4072.75,4073.85,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,4103.88,4104.53,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,4375.81,4376.25,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,4662.39,4662.68,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,4734.72,4735.11,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,5049.35,5048.86,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,5114.76,5114.57,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,5180.49,5180.48,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,5231.77,5231.49,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,5579.05,5579.09,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,5669.56,5668.95,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,6581.62,6578.83,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,7280.33,7272.79,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,8201.32,8191.23,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,8865.48,8855.56,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,9544.15,9530.01,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,10164.2,10150.7,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,10827.8,10810.4,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,11437.2,11421.2,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,12061.9,12044.1,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,18401.7,18376.7,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,24741.1,24702.9,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,31030.4,30982.9,ns,,,,,,0,400000
