Data structure size: 40265319552 bits, construction time: 12222329422 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,160.391,161.241,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,166.711,168.496,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,176.594,177.436,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,195.854,194.902,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,229.82,230.001,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,305.918,306.115,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,370.327,370.941,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,447.854,448.404,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,535.928,537.152,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,628.609,629.713,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1293.36,1296.13,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1474.28,1477.22,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1554.83,1557.86,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1610.81,1614.67,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1660.27,1663.8,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1690.69,1693.92,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1713.62,1717.11,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1740.1,1743.3,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1749.61,1752.56,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1828.74,1832.59,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1850.08,1853.58,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1862.42,1866.24,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1905.7,1909.81,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,1912.65,1916.73,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,1909.51,1913.77,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,1912.34,1916.76,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,1953.66,1957.47,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,1935.18,1939.12,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,1972.83,1976.86,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,1996.12,2000.01,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2023.17,2027.7,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,2042.9,2046.81,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,2064.36,2068.36,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,2130.4,2134.36,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,2113.56,2117.23,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2132.7,2136.07,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2162.88,2166.01,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,2375.41,2374.48,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,2565.87,2561.35,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,2714.73,2708.46,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,2879.77,2872.31,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,3000.45,2992.4,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,3093.72,3086.35,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,3229.89,3222.78,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,3326.51,3315.57,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,3433.32,3423.75,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,4517.25,4503.74,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,5794.2,5774.3,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,7395.28,7368.27,ns,,,,,,0,400000
