Data structure size: 91818035328 bits, construction time: 42479642345 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,170.771,171.202,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,186.804,187.756,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,200.373,202.217,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,230.877,231.673,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,292.997,293.553,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,412.175,412.961,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,467.111,468.06,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,662.644,663.318,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,694.674,695.847,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,748.947,750.419,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,928.291,930.053,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,901.769,903.176,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,892.124,893.85,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,875.497,877.029,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,857.587,858.843,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,857.798,859.299,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,869.213,870.28,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,855.648,857.242,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,853.732,855.226,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,848.442,850.337,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,849.853,852.061,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,838.921,841.024,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,835.856,837.977,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,849.484,851.014,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,846.561,848.623,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,850.903,852.858,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,856.757,858.487,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,866.054,867.342,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,878.983,880.607,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,888.295,889.83,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,907.106,908.566,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,915.85,917.312,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,938.169,939.571,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,944.077,945.459,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,949.732,950.771,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,959.439,960.029,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,982.717,982.813,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,1077.21,1074.6,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,1219.1,1212.83,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,1302.46,1294.6,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,1399.07,1388.65,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,1476.08,1468.07,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,1565.3,1556.25,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,1645.13,1633.88,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,1713.12,1704.65,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,1811.13,1799.77,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,2621.78,2609.88,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,3561.34,3545,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,4934.01,4908.55,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,6568.38,6532.22,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,8673.84,8613.55,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,11300.9,11213.9,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,14443.2,14331,ns,,,,,,0,800000
