Data structure size: 91888814016 bits, construction time: 32488256253 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,174.545,174.708,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,190.963,191.789,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,198.929,200.861,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,238.75,240.676,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,276.707,276.991,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,387.439,388.155,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,438.969,439.861,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,649.602,650.535,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,660.564,661.953,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,714.445,715.548,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,946.959,948.613,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,931.803,932.974,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,925.633,926.801,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,914.82,915.79,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,914.513,915.592,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,914.02,915.536,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,909.747,910.2,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,907.939,908.763,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,905.71,906.6,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,898.927,900.034,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,892.454,894.027,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,894.954,896.17,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,894.564,895.728,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,890.969,891.821,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,908.343,909.546,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,920.126,921.404,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,967.603,968.525,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,947.161,947.645,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,931.883,932.82,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,949.536,950.795,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,967.338,968.251,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,984.066,983.883,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,994.438,994.947,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,1007.43,1008.03,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,1021.92,1022.68,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,1028.86,1028.55,ns,,,,,,0,9000
