Data structure size: 13421773248 bits, construction time: 2975135694 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,199.715,200.978,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,218.367,220.048,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,234.3,235.992,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,257.964,259.894,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,330.649,332.946,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,467.636,471.344,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,610.772,615.236,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,766.923,771.857,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,921.632,925.305,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,1024.01,1029.63,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1517.15,1523.14,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1675.02,1681.58,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1836.76,1843.22,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1882.51,1887.87,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1930.89,1936.32,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1960.76,1965.45,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1974.16,1980.5,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1996.87,2003.42,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2031.03,2036.67,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2092.41,2097.41,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2109.58,2115.38,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2146.65,2151.29,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2157.91,2162.99,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2192.14,2192.16,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2204.82,2206.15,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2240.56,2240.9,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2256.51,2256.98,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2297.85,2298.08,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2547.08,2547.93,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,2738.37,2739.02,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,2945.66,2946.07,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3196.83,3197.46,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3385.24,3385.35,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,3606.71,3605.99,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,3830.96,3829.56,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,4043.83,4041.63,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,4300.42,4293.88,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,6428.61,6417.14,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,8570.72,8557.67,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,10590.7,10570.7,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,12695.2,12674.9,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,14881.1,14853.7,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,17001.3,16975.6,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,18968.8,18934.2,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,21136.2,21103.6,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,23153.5,23121.7,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,44171.5,44102.7,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,64107,64015,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,84922.6,84795.9,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,106196,106004,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,127100,126868,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,147954,147688,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,169144,168806,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,191855,191518,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,210233,209835,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,415783,415106,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,617635,616728,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,825059,823769,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,1.03321e+06,1.0316e+06,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,1.24414e+06,1.24224e+06,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,1.45306e+06,1.45083e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,1.66814e+06,1.66553e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,1.8434e+06,1.84024e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,2.07172e+06,2.06847e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,4.07119e+06,4.06458e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,6.22967e+06,6.22059e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,9.12077e+06,9.10953e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,1.14566e+07,1.14432e+07,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,1.37929e+07,1.37765e+07,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,1.59801e+07,1.59613e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,1.81759e+07,1.81545e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,2.06124e+07,2.0589e+07,ns,,,,,,0,9e+07
