Data structure size: 40265319552 bits, construction time: 12316652709 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,373.957,376.028,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1085,1088.31,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,3107.78,3110.76,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,3625.23,3628.74,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,3875.99,3879.79,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,4072.17,4076.35,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,4204.35,4208.86,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,4258.31,4262.61,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,4338.84,4342.16,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,4419.29,4423.23,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,4694,4697.43,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,4951.81,4955.31,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,4841.03,4844.74,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,4841.25,4845.12,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,4884.46,4887.44,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,4889.74,4893.21,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,4945.48,4948.68,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,4918.43,4922.11,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,4931.36,4934.65,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,4969.63,4973.04,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,5030.1,5032.84,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,4994.01,4997.34,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,4978.15,4981.45,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,5007.83,5011.03,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,5048.59,5051.63,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,5120.32,5123.01,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,5019.14,5021.96,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,5030.31,5033.35,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,5048.27,5051.71,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,5108.27,5111.62,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,5149.12,5152.37,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,5175.91,5178.48,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,5173.16,5176.01,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,5137.06,5139.78,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,5246.15,5249.14,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,5208.2,5210.47,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,5199.22,5201.14,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,5492.39,5488.11,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,5736.61,5728.47,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,5860.89,5851.1,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,6066.16,6052.91,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,6298.44,6285.55,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,6493.06,6478.11,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,6613.07,6601.84,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,6744.09,6729.49,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,6956.61,6942.72,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,8626.55,8607.76,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,10457.2,10429.4,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,12676,12638.7,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,15094.1,15043.8,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,17791.4,17724.1,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,20702,20612.8,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,23801.6,23688.2,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,26984.3,26857.1,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,29656.6,29520.4,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,63111.8,62985.2,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,91208.1,91023.5,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,120262,119998,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,149362,149049,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,178799,178439,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,208369,207952,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,239034,238553,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,263604,263064,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,297315,296723,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,597277,596114,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,917388,915795,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.0447e+06,2.04188e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.54922e+06,2.54579e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.08452e+06,3.08047e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.57284e+06,3.56828e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.08963e+06,4.08437e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.61393e+06,4.60805e+06,ns,,,,,,0,9e+07
