Data structure size: 57445399168 bits, construction time: 20241211810 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,375.127,374.973,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1176.42,1178.77,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2935.47,2936.23,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,3620.83,3622.35,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,3090.8,3092.48,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,2870.02,2871.63,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,2679.06,2680.41,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,2437.27,2438.49,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,2327.92,2329.29,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,2208.38,2209.66,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1689.75,1690.89,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1533,1534.22,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1430.02,1430.9,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1380.05,1381.32,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1334.87,1335.85,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1323.83,1324.94,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1278.25,1279.45,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1268.06,1268.99,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1246.32,1247.4,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1204.62,1206.34,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1193.02,1195.26,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1152.24,1153.86,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1137.26,1139.01,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,1136.33,1138.4,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,1174.29,1175.75,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,1153.43,1154.88,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,1147.42,1149.36,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,1150.77,1152.07,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,1152.62,1154.45,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,1182.85,1183.98,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,1198.69,1199.85,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,1216.93,1217.88,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,1234.88,1235.72,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,1252.78,1253.01,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,1276.86,1277.58,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,1324.83,1324.89,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,1313.42,1313.31,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,1446.83,1443.58,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,1599.9,1593.67,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,1723.06,1714.28,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,1812.6,1802.65,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,1897.54,1888.59,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,2018,2006.39,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,2093.91,2085.1,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,2215.4,2209.82,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,2299.25,2289.5,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,3274.96,3260.25,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,4352.52,4334.73,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,5733.86,5706.98,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,7523.11,7481.12,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,9544.18,9487.28,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,12123.7,12046.1,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,15122.6,15021.5,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,18341.9,18218.9,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,21122.1,21000.1,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,54995.2,54870,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,83763.2,83582.5,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,113296,113046,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,142556,142248,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,172737,172405,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,201909,201532,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,232288,231847,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,257093,256569,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,289505,288954,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,588317,587199,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,913160,911618,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.05313e+06,2.05027e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.55385e+06,2.55033e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.08615e+06,3.08204e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.57843e+06,3.57377e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.10008e+06,4.09468e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.62622e+06,4.62028e+06,ns,,,,,,0,9e+07
