Data structure size: 53166606848 bits, construction time: 32647073710 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,550.734,551.381,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1530.89,1534.35,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,3429.22,3432.03,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,4276.69,4279.57,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,3731.02,3732.6,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,3528.11,3530.69,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,3338.06,3340.43,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,3162.29,3164.48,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,3124.51,3125.85,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,3052,3053.65,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,2643.9,2644.99,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,2579.12,2579.82,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,2497,2497.29,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,2459.31,2459.65,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,2462.8,2462.61,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,2450.07,2450.03,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,2408.98,2408.99,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,2431.44,2431.37,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,2433.45,2433.49,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,2393.31,2397.2,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,2414.85,2418.65,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,2362.12,2365.59,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,2500.57,2504.26,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,2405.13,2408.38,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,2498.28,2501.66,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,2398.16,2401.32,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,2457.31,2459.53,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,2507.02,2510.34,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,2799.8,2801.35,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,3009.62,3011.42,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,3137.46,3139.08,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,3358.44,3359.32,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,3583.63,3584.95,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,3809.34,3808.87,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,4055.05,4055.71,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,4200.86,4200.15,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,4455.62,4454.47,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,6661.82,6655.33,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,8939.99,8928.55,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,11030.9,11014.8,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,13083.4,13063.7,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,15323.6,15302.2,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,17512,17486.3,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,19603.5,19577,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,21800.1,21773.9,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,23863.5,23832.7,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,45126,45076.9,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,66383.8,66316.6,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,87657.6,87561.1,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,108942,108820,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,130193,130034,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,151634,151428,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,173192,172927,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,194580,194288,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,215616,215279,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,434525,434021,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,650691,649858,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,866088,864932,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,1.08232e+06,1.08089e+06,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,1.29907e+06,1.29736e+06,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,1.51403e+06,1.51207e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,1.7293e+06,1.72709e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,1.94153e+06,1.93909e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,2.15504e+06,2.15234e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,4.29291e+06,4.28787e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,6.43051e+06,6.42313e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,9.47982e+06,9.46908e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,1.18208e+07,1.18077e+07,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,1.41855e+07,1.41703e+07,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,1.65242e+07,1.65067e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,1.88869e+07,1.88673e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,2.12248e+07,2.12026e+07,ns,,,,,,0,9e+07
