Data structure size: 40265319552 bits, construction time: 10410289191 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,950.976,956.653,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1889.07,1893.65,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,3045.59,3049.42,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,3441.81,3445.62,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,3927.23,3929.84,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,4297.61,4299.12,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,4616.06,4618.63,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,4764.73,4767.83,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,5038.65,5041.47,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,5202.2,5204.52,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,6058.82,6061.24,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,6380.17,6381.91,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,6467.17,6468.81,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,6534.98,6537.97,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,6715.92,6717.95,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,6766,6766.69,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,6705.28,6707.69,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,6770.34,6772.5,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,6929.15,6931.17,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,6888.21,6892.57,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,7010.5,7012.82,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,7043.62,7047.4,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,7027.37,7031.52,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,7062.2,7066.3,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,7039.97,7043.11,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,7030.67,7034.47,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,7029.26,7032.75,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,7041.59,7045.77,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,7121.15,7124.32,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,7241.95,7244.95,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,7214.62,7217.06,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,7264.57,7267.01,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,7257.76,7260.5,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,7296.66,7299.45,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,7443.34,7444.41,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,7419.35,7421.89,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,7399.43,7401.49,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,7762.3,7758.73,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,7973.25,7964.61,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,8237.85,8227.08,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,8689.33,8676.44,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,8812.54,8800.67,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,9117.01,9103.26,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,9298.28,9286.55,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,9497.92,9484.34,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,9706.92,9691.63,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,11716.1,11694.1,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,13949.1,13921.2,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,16284,16247,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,18965.6,18914.3,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,21655.2,21587,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,24735.5,24643.5,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,27842,27723.5,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,31063.4,30930.9,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,33632.6,33497,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,68017.2,67884.5,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,96538.1,96367.2,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,125313,125079,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,154814,154532,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,183820,183487,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,213938,213539,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,244759,244278,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,269570,269055,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,303254,302701,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,604651,603472,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,926106,924520,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,2.043e+06,2.04017e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,2.5545e+06,2.551e+06,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,3.08186e+06,3.07773e+06,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,3.57677e+06,3.57198e+06,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,4.1033e+06,4.09789e+06,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,4.64111e+06,4.63505e+06,ns,,,,,,0,9e+07
