Data structure size: 91818035328 bits, construction time: 39584938374 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,850.88,854.599,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1902.62,1906.7,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2778.77,2781.74,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,3074.31,3077.39,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,2915.74,2917.96,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,2921.18,2923.92,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,2764.93,2767,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,2690.1,2691.26,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,2554.8,2556.64,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,2442.6,2444.81,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1878.1,1880.38,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1639.14,1641.46,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1583.01,1585.87,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1477.3,1479.67,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1418.41,1420.43,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1459.95,1462.31,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1427.85,1430.65,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1386.72,1389.53,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1357.66,1360.16,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1329.43,1333.3,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1397.51,1401.28,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1351.28,1355.13,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1363.04,1366.69,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,1465.17,1468.99,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,1449.11,1452.79,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,1468.76,1471.52,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,1437.39,1441.43,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,1451.4,1454.65,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,1530.9,1534.63,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,1632.03,1635.16,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,1630.08,1633.69,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,1784.46,1787.97,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,1781.5,1784.76,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,1794.79,1798.59,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,1836.09,1839.02,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2046.09,2049.67,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2039.49,2042.21,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,2536.08,2536.73,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,2666.66,2663.61,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,3378.7,3373.42,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,3501.52,3492.65,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,3581.97,3575.76,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,4781.96,4773.36,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,4858.89,4846.68,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,4972.81,4963.84,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,5094.86,5082.87,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,6059.22,6047.54,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,7190.32,7174.7,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,8659.26,8631.38,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,10300.5,10262.9,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,12487.9,12431.9,ns,,,,,,0,600000
