Data structure size: 91888814016 bits, construction time: 32516971473 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,979.07,986.154,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,1968.62,1975.12,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,2705.3,2709.16,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,3030.49,3034.18,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,2885.55,2888.99,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,2865.7,2868.24,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,2709.56,2711.74,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,2662.31,2664.51,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,2574.85,2577.04,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,2420.87,2422.96,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,1853.65,1856.47,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,1617.12,1619.16,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,1554.4,1556.91,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,1472.42,1474.8,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,1409.88,1411.89,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,1458.8,1460.9,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,1433.22,1435.57,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,1405.74,1407.83,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,1376.4,1379.05,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,1357.45,1360.65,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,1428.17,1431.69,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,1414.58,1418.31,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,1405.81,1409.87,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,1493.24,1496.13,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,1500.69,1503.26,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,1504.75,1507.84,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,1508.6,1511.12,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,1488.62,1491.18,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,1602.32,1605.14,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,1724.29,1726.89,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,1743.87,1746.14,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,1920.36,1922.86,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,1940.9,1943.3,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,1972.48,1974.64,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,1989,1991.47,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,2221.3,2223.69,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,2227.7,2230.71,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,2670.25,2672.53,ns,,,,,,0,20000
