Data structure size: 91821312512 bits, construction time: 85238721324 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,1703.5,1710.03,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,2841.55,2848.04,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,3575.26,3580.02,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,4001.59,4006.18,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,3815.35,3819.03,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,3926.02,3929.29,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,3791.27,3794.15,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,3826.24,3828.73,ns,,,,,,14,8
"BM_run/9/iterations:10000",10000,3728.85,3731.06,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,3639.23,3641.01,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,3265.38,3266.94,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,3148.89,3149.63,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,3263.49,3263.66,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,3240.62,3241.54,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,3260.02,3260.05,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,3447.08,3446.73,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,3433.15,3433.21,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,3445.34,3445.01,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,3437.18,3437.16,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,3675.18,3674.62,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,4037.66,4036.65,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,4001,3999.52,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,4134.7,4133.55,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,4402.14,4400.64,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,4459.35,4456.74,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,4398.97,4397.8,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,4436.76,4435.63,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,4470.78,4468.93,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,4945.9,4944.02,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,5242.59,5240.25,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,5397.42,5395.45,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,5696.49,5693.31,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,5945.57,5942.78,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,6179.19,6176.97,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,6401.55,6398.49,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,6693.6,6688.99,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,6962.19,6958.82,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,9262.76,9253.82,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,11585.9,11571.7,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,13808.8,13789.1,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,15868.7,15848.3,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,18098.1,18073.2,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,20375.8,20351.8,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,22427.1,22398.9,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,24609.7,24581.1,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,26704.2,26671.3,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,48027.5,47975.4,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,69453.9,69377.5,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,91663.5,91563.7,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,112101,111976,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,133316,133157,ns,,,,,,0,600000
"BM_run/700000/iterations:10000",10000,154953,154747,ns,,,,,,0,700000
"BM_run/800000/iterations:10000",10000,176482,176220,ns,,,,,,0,800000
"BM_run/900000/iterations:10000",10000,197555,197241,ns,,,,,,0,900000
"BM_run/1000000/iterations:10000",10000,218911,218587,ns,,,,,,0,1e+06
"BM_run/2000000/iterations:10000",10000,437134,436640,ns,,,,,,0,2e+06
"BM_run/3000000/iterations:10000",10000,652627,651830,ns,,,,,,0,3e+06
"BM_run/4000000/iterations:10000",10000,863921,862832,ns,,,,,,0,4e+06
"BM_run/5000000/iterations:10000",10000,1.07899e+06,1.07762e+06,ns,,,,,,0,5e+06
"BM_run/6000000/iterations:10000",10000,1.29266e+06,1.29102e+06,ns,,,,,,0,6e+06
"BM_run/7000000/iterations:10000",10000,1.50661e+06,1.5047e+06,ns,,,,,,0,7e+06
"BM_run/8000000/iterations:10000",10000,1.72135e+06,1.71921e+06,ns,,,,,,0,8e+06
"BM_run/9000000/iterations:10000",10000,1.93662e+06,1.93426e+06,ns,,,,,,0,9e+06
"BM_run/10000000/iterations:10000",10000,2.14952e+06,2.14683e+06,ns,,,,,,0,1e+07
"BM_run/20000000/iterations:10000",10000,4.28174e+06,4.27658e+06,ns,,,,,,0,2e+07
"BM_run/30000000/iterations:10000",10000,6.41606e+06,6.40848e+06,ns,,,,,,0,3e+07
"BM_run/40000000/iterations:10000",10000,9.46057e+06,9.44965e+06,ns,,,,,,0,4e+07
"BM_run/50000000/iterations:10000",10000,1.18072e+07,1.1794e+07,ns,,,,,,0,5e+07
"BM_run/60000000/iterations:10000",10000,1.41676e+07,1.41519e+07,ns,,,,,,0,6e+07
"BM_run/70000000/iterations:10000",10000,1.64888e+07,1.64709e+07,ns,,,,,,0,7e+07
"BM_run/80000000/iterations:10000",10000,1.89142e+07,1.8894e+07,ns,,,,,,0,8e+07
"BM_run/90000000/iterations:10000",10000,2.12585e+07,2.12363e+07,ns,,,,,,0,9e+07
