Data structure size: 13421773248 bits, construction time: 3183263121 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","length"
"BM_run/1/iterations:10000",10000,340.803,356.441,ns,,,,,,0,1
"BM_run/2/iterations:10000",10000,458.064,475.363,ns,,,,,,0,2
"BM_run/3/iterations:10000",10000,895.719,915.369,ns,,,,,,0,3
"BM_run/4/iterations:10000",10000,1294.79,1317.68,ns,,,,,,0,4
"BM_run/5/iterations:10000",10000,1593.51,1616.4,ns,,,,,,0,5
"BM_run/6/iterations:10000",10000,1788.05,1810,ns,,,,,,0,6
"BM_run/7/iterations:10000",10000,1926.63,1949.89,ns,,,,,,0,7
"BM_run/8/iterations:10000",10000,2044.7,2064.75,ns,,,,,,0,8
"BM_run/9/iterations:10000",10000,2130.51,2154.69,ns,,,,,,0,9
"BM_run/10/iterations:10000",10000,2194.79,2216.45,ns,,,,,,0,10
"BM_run/20/iterations:10000",10000,2719.2,2738.13,ns,,,,,,0,20
"BM_run/30/iterations:10000",10000,3058.4,3070.24,ns,,,,,,0,30
"BM_run/40/iterations:10000",10000,3148.91,3164.12,ns,,,,,,0,40
"BM_run/50/iterations:10000",10000,3191.16,3204.17,ns,,,,,,0,50
"BM_run/60/iterations:10000",10000,3267.88,3284.8,ns,,,,,,0,60
"BM_run/70/iterations:10000",10000,3283.97,3299.36,ns,,,,,,0,70
"BM_run/80/iterations:10000",10000,3321.1,3337.36,ns,,,,,,0,80
"BM_run/90/iterations:10000",10000,3338.87,3354.96,ns,,,,,,0,90
"BM_run/100/iterations:10000",10000,3396.74,3409.96,ns,,,,,,0,100
"BM_run/200/iterations:10000",10000,3469.04,3484.7,ns,,,,,,0,200
"BM_run/300/iterations:10000",10000,3532.52,3548.35,ns,,,,,,0,300
"BM_run/400/iterations:10000",10000,3597.82,3612.08,ns,,,,,,0,400
"BM_run/500/iterations:10000",10000,3633.42,3648.69,ns,,,,,,0,500
"BM_run/600/iterations:10000",10000,3669.22,3685.23,ns,,,,,,0,600
"BM_run/700/iterations:10000",10000,3722.46,3736.34,ns,,,,,,0,700
"BM_run/800/iterations:10000",10000,3765.29,3777.95,ns,,,,,,0,800
"BM_run/900/iterations:10000",10000,3860.54,3874.14,ns,,,,,,0,900
"BM_run/1000/iterations:10000",10000,3886.65,3898.43,ns,,,,,,0,1000
"BM_run/2000/iterations:10000",10000,4272.36,4284.34,ns,,,,,,0,2000
"BM_run/3000/iterations:10000",10000,4681.11,4692.85,ns,,,,,,0,3000
"BM_run/4000/iterations:10000",10000,5084.27,5094.31,ns,,,,,,0,4000
"BM_run/5000/iterations:10000",10000,5480.53,5492.71,ns,,,,,,0,5000
"BM_run/6000/iterations:10000",10000,5871.32,5880.93,ns,,,,,,0,6000
"BM_run/7000/iterations:10000",10000,6248.3,6258.59,ns,,,,,,0,7000
"BM_run/8000/iterations:10000",10000,6651.85,6663.51,ns,,,,,,0,8000
"BM_run/9000/iterations:10000",10000,7045.81,7055.26,ns,,,,,,0,9000
"BM_run/10000/iterations:10000",10000,7434.21,7440.19,ns,,,,,,0,10000
"BM_run/20000/iterations:10000",10000,11285.5,11283.1,ns,,,,,,0,20000
"BM_run/30000/iterations:10000",10000,15048.6,15037.8,ns,,,,,,0,30000
"BM_run/40000/iterations:10000",10000,18741,18720.5,ns,,,,,,0,40000
"BM_run/50000/iterations:10000",10000,22481.5,22450.6,ns,,,,,,0,50000
"BM_run/60000/iterations:10000",10000,26329.5,26293.6,ns,,,,,,0,60000
"BM_run/70000/iterations:10000",10000,30097.8,30044,ns,,,,,,0,70000
"BM_run/80000/iterations:10000",10000,33611.8,33557.7,ns,,,,,,0,80000
"BM_run/90000/iterations:10000",10000,37506.5,37437.6,ns,,,,,,0,90000
"BM_run/100000/iterations:10000",10000,41070.4,40998.7,ns,,,,,,0,100000
"BM_run/200000/iterations:10000",10000,78274.7,78116.8,ns,,,,,,0,200000
"BM_run/300000/iterations:10000",10000,113508,113260,ns,,,,,,0,300000
"BM_run/400000/iterations:10000",10000,150430,150094,ns,,,,,,0,400000
"BM_run/500000/iterations:10000",10000,187401,186966,ns,,,,,,0,500000
"BM_run/600000/iterations:10000",10000,224412,223901,ns,,,,,,0,600000
