Data structureconstruction time: 2306537042275 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4722741,147.372,148.178,ns,,,,,,0,0,1,9.90431e+14
"BM_run/2",133549,5085.11,5089.2,ns,,,,,,0,0,2,9.77461e+11
"BM_run/3",72005,9684.58,9680.96,ns,,,,,,0,0,3,8.75602e+10
"BM_run/4",37756,18660.7,18647.8,ns,,,,,,0,0,4,2.2021e+10
"BM_run/5",40272,17541.8,17529.2,ns,,,,,,0,0,5,1.49389e+10
"BM_run/6",30128,23517.2,23499.5,ns,,,,,,0,0,6,8.76166e+09
"BM_run/7",27745,25355.9,25336.9,ns,,,,,,0,0,7,6.51674e+09
"BM_run/8",22436,31114.9,31091.9,ns,,,,,,0,0,8,4.17762e+09
"BM_run/9",31766,22105.4,22086.5,ns,,,,,,0,0,9,4.63435e+09
"BM_run/10",24859,27744.7,27722.9,ns,,,,,,0,0,10,3.05382e+09
"BM_run/20",12911,54013.3,53967.7,ns,,,,,,0,0,20,2.7075e+08
"BM_run/30",7334,92182.5,92102.7,ns,,,,,,0,0,30,7.48652e+07
"BM_run/40",6164,113085,112985,ns,,,,,,0,0,40,2.66106e+07
"BM_run/50",5354,131967,131850,ns,,,,,,0,0,50,5.06272e+06
"BM_run/60",4301,162333,162190,ns,,,,,,0,0,60,1.08222e+06
"BM_run/70",4339,168121,167975,ns,,,,,,0,0,70,255395
"BM_run/80",3573,194373,194198,ns,,,,,,0,0,80,139496
"BM_run/90",3235,218742,218545,ns,,,,,,0,0,90,98723
"BM_run/100",2951,235530,235324,ns,,,,,,0,0,100,20969
"BM_run/200",1422,490889,490488,ns,,,,,,0,0,200,1422
"BM_run/300",1028,735390,734785,ns,,,,,,0,0,300,1028
"BM_run/400",693,1.01728e+06,1.01647e+06,ns,,,,,,0,0,400,693
"BM_run/500",600,1.2216e+06,1.22064e+06,ns,,,,,,0,0,500,600
"BM_run/600",479,1.46968e+06,1.46851e+06,ns,,,,,,0,0,600,479
"BM_run/700",398,1.75387e+06,1.75254e+06,ns,,,,,,0,0,700,398
"BM_run/800",399,1.88478e+06,1.88333e+06,ns,,,,,,0,0,800,399
"BM_run/900",346,2.0243e+06,2.02272e+06,ns,,,,,,0,0,900,346
"BM_run/1000",290,2.26573e+06,2.26388e+06,ns,,,,,,0,0,1000,290
"BM_run/2000",160,4.54032e+06,4.53684e+06,ns,,,,,,0,0,2000,160
"BM_run/3000",128,6.81317e+06,6.80782e+06,ns,,,,,,0,0,3000,128
"BM_run/4000",100,8.96205e+06,8.95512e+06,ns,,,,,,0,0,4000,100
"BM_run/5000",74,9.58892e+06,9.5813e+06,ns,,,,,,0,0,5000,74
"BM_run/6000",73,1.3658e+07,1.36478e+07,ns,,,,,,0,0,6000,73
"BM_run/7000",35,2.10375e+07,2.10221e+07,ns,,,,,,0,0,7000,35
"BM_run/8000",45,1.58339e+07,1.58214e+07,ns,,,,,,0,0,8000,45
"BM_run/9000",42,1.90294e+07,1.90144e+07,ns,,,,,,0,0,9000,42
"BM_run/10000",37,1.6824e+07,1.68098e+07,ns,,,,,,0,0,10000,37
"BM_run/20000",23,4.38725e+07,4.3839e+07,ns,,,,,,0,0,20000,23
"BM_run/30000",10,5.83446e+07,5.82989e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",12,6.19355e+07,6.18824e+07,ns,,,,,,0,0,40000,12
"BM_run/50000",10,8.61841e+07,8.61154e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",10,1.22537e+08,1.22442e+08,ns,,,,,,0,0,60000,10
"BM_run/70000",6,1.38403e+08,1.38296e+08,ns,,,,,,0,0,70000,6
"BM_run/80000",4,2.25231e+08,2.25074e+08,ns,,,,,,0,0,80000,4
"BM_run/90000",5,1.78669e+08,1.78525e+08,ns,,,,,,0,0,90000,5
"BM_run/100000",10,1.9026e+08,1.90109e+08,ns,,,,,,0,0,100000,10
"BM_run/200000",5,3.28278e+08,3.2801e+08,ns,,,,,,0,0,200000,5
"BM_run/300000",4,3.2405e+08,3.23724e+08,ns,,,,,,0,0,300000,4
"BM_run/400000",2,3.46338e+08,3.45964e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,6.03949e+08,6.03359e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",2,7.71202e+08,7.70491e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",2,7.65059e+08,7.64296e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,1.11946e+09,1.11842e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,8.25979e+08,8.25124e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,9.87272e+08,9.86201e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.82466e+09,3.82172e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.9428e+09,1.94056e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,2.77817e+09,2.77495e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.12346e+10,1.12264e+10,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.02196e+09,5.01649e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,2.37895e+10,2.37741e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,9.68768e+09,9.67824e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.51534e+10,1.51405e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,6.91773e+09,6.90968e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.35322e+10,1.35161e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.11224e+10,2.10982e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,7.64099e+10,7.63494e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,3.78946e+10,3.78516e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,7.46453e+10,7.45751e+10,ns,,,,,,0,0,6e+07,1
