Data structureconstruction time: 2239197127002 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",2769967,252.238,255.004,ns,,,,,,0,0,1,5.80904e+14
"BM_run/2",60282,11499.3,11491.8,ns,,,,,,0,0,2,4.41866e+11
"BM_run/3",35965,19429.4,19388.1,ns,,,,,,0,0,3,4.3489e+10
"BM_run/4",23564,29626.4,29550.8,ns,,,,,,0,0,4,1.39604e+10
"BM_run/5",26381,26506.6,26436.2,ns,,,,,,0,0,5,9.80266e+09
"BM_run/6",20348,34287.3,34199.2,ns,,,,,,0,0,6,5.87747e+09
"BM_run/7",19132,36607.3,36513.6,ns,,,,,,0,0,7,4.39797e+09
"BM_run/8",15824,44157.7,44050.6,ns,,,,,,0,0,8,2.85641e+09
"BM_run/9",23503,30662.1,30575.3,ns,,,,,,0,0,9,3.40005e+09
"BM_run/10",17986,38424.2,38328,ns,,,,,,0,0,10,2.25759e+09
"BM_run/20",10344,68052.7,67885.8,ns,,,,,,0,0,20,2.21699e+08
"BM_run/30",6222,114888,114623,ns,,,,,,0,0,30,5.60817e+07
"BM_run/40",5154,137961,137641,ns,,,,,,0,0,40,2.30005e+07
"BM_run/50",4206,163982,163600,ns,,,,,,0,0,50,4.40637e+06
"BM_run/60",3389,207497,207015,ns,,,,,,0,0,60,827347
"BM_run/70",3247,211999,211527,ns,,,,,,0,0,70,192398
"BM_run/80",2760,253597,253017,ns,,,,,,0,0,80,113460
"BM_run/90",2416,289462,288804,ns,,,,,,0,0,90,67432
"BM_run/100",2197,316895,316202,ns,,,,,,0,0,100,19367
"BM_run/200",1068,674159,672656,ns,,,,,,0,0,200,1071
"BM_run/300",721,1.04865e+06,1.04621e+06,ns,,,,,,0,0,300,721
"BM_run/400",523,1.35985e+06,1.35666e+06,ns,,,,,,0,0,400,523
"BM_run/500",413,1.69023e+06,1.68618e+06,ns,,,,,,0,0,500,414
"BM_run/600",367,2.04934e+06,2.04443e+06,ns,,,,,,0,0,600,367
"BM_run/700",277,2.36103e+06,2.35536e+06,ns,,,,,,0,0,700,277
"BM_run/800",289,2.7263e+06,2.71973e+06,ns,,,,,,0,0,800,289
"BM_run/900",206,2.84532e+06,2.83814e+06,ns,,,,,,0,0,900,206
"BM_run/1000",212,3.28676e+06,3.27876e+06,ns,,,,,,0,0,1000,212
"BM_run/2000",85,7.08668e+06,7.07019e+06,ns,,,,,,0,0,2000,85
"BM_run/3000",71,9.4253e+06,9.40255e+06,ns,,,,,,0,0,3000,71
"BM_run/4000",99,1.33124e+07,1.32816e+07,ns,,,,,,0,0,4000,99
"BM_run/5000",41,1.2891e+07,1.28582e+07,ns,,,,,,0,0,5000,41
"BM_run/6000",20,3.44461e+07,3.43805e+07,ns,,,,,,0,0,6000,20
"BM_run/7000",44,2.17872e+07,2.1735e+07,ns,,,,,,0,0,7000,44
"BM_run/8000",35,2.40669e+07,2.40105e+07,ns,,,,,,0,0,8000,35
"BM_run/9000",26,2.80061e+07,2.79413e+07,ns,,,,,,0,0,9000,26
"BM_run/10000",10,5.0351e+07,5.02519e+07,ns,,,,,,0,0,10000,10
"BM_run/20000",10,7.51452e+07,7.49833e+07,ns,,,,,,0,0,20000,10
"BM_run/30000",6,1.19707e+08,1.19455e+08,ns,,,,,,0,0,30000,6
"BM_run/40000",6,2.50575e+08,2.50129e+08,ns,,,,,,0,0,40000,6
"BM_run/50000",8,1.54879e+08,1.54512e+08,ns,,,,,,0,0,50000,8
"BM_run/60000",1,9.10857e+08,9.09494e+08,ns,,,,,,0,0,60000,1
"BM_run/70000",3,3.86789e+08,3.86047e+08,ns,,,,,,0,0,70000,3
"BM_run/80000",7,1.48064e+08,1.47662e+08,ns,,,,,,0,0,80000,7
"BM_run/90000",3,2.09631e+08,2.09098e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",3,5.01284e+08,5.00384e+08,ns,,,,,,0,0,100000,3
"BM_run/200000",1,1.18047e+09,1.17803e+09,ns,,,,,,0,0,200000,1
"BM_run/300000",1,9.79732e+08,9.77432e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",1,6.37864e+08,6.36139e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",1,6.45318e+08,6.43457e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,6.28327e+08,6.26521e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,7.91679e+08,7.89413e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,5.71121e+09,5.70018e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.00081e+09,9.97928e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.46197e+09,2.4555e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,2.25024e+09,2.24374e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.40643e+10,1.40322e+10,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,8.88679e+09,8.86345e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,9.82882e+09,9.80234e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.28708e+10,4.27894e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,4.38333e+10,4.37459e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,2.08205e+10,2.07681e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.3117e+10,1.30803e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,1.12005e+10,1.11687e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,2.32421e+10,2.31756e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,3.35199e+10,3.34236e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,1.55246e+11,1.54888e+11,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,6.49182e+10,6.47354e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,9.20094e+10,9.17556e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.36981e+11,1.36618e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.80586e+11,1.80118e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,1.36413e+11,1.36037e+11,ns,,,,,,0,0,9e+07,1
