Data structureconstruction time: 2239778954474 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4695914,147.996,149.038,ns,,,,,,0,0,1,9.84805e+14
"BM_run/2",119822,5682.55,5686.06,ns,,,,,,0,0,2,8.77178e+11
"BM_run/3",71325,9441.9,9437.09,ns,,,,,,0,0,3,8.69315e+10
"BM_run/4",37898,18259.2,18245.5,ns,,,,,,0,0,4,2.20378e+10
"BM_run/5",40723,17006.2,16989.8,ns,,,,,,0,0,5,1.49088e+10
"BM_run/6",31122,22670.9,22645.9,ns,,,,,,0,0,6,9.06057e+09
"BM_run/7",29126,24407.4,24388.5,ns,,,,,,0,0,7,6.90259e+09
"BM_run/8",23759,29783,29758.8,ns,,,,,,0,0,8,4.38737e+09
"BM_run/9",33149,21182.6,21165.9,ns,,,,,,0,0,9,4.83173e+09
"BM_run/10",26297,26882.9,26860.8,ns,,,,,,0,0,10,3.23497e+09
"BM_run/20",13280,52476.8,52432.6,ns,,,,,,0,0,20,2.74644e+08
"BM_run/30",7969,89551.3,89467.1,ns,,,,,,0,0,30,7.45547e+07
"BM_run/40",6417,109127,109028,ns,,,,,,0,0,40,2.61126e+07
"BM_run/50",5546,128953,128832,ns,,,,,,0,0,50,4.74067e+06
"BM_run/60",4473,161259,161113,ns,,,,,,0,0,60,1.03503e+06
"BM_run/70",4312,158660,158515,ns,,,,,,0,0,70,423201
"BM_run/80",3654,189909,189739,ns,,,,,,0,0,80,117185
"BM_run/90",3337,211335,211146,ns,,,,,,0,0,90,143984
"BM_run/100",2926,237264,237049,ns,,,,,,0,0,100,23457
"BM_run/200",1249,474239,473849,ns,,,,,,0,0,200,1282
"BM_run/300",907,739006,738389,ns,,,,,,0,0,300,907
"BM_run/400",735,985414,984635,ns,,,,,,0,0,400,735
"BM_run/500",602,1.27139e+06,1.27033e+06,ns,,,,,,0,0,500,602
"BM_run/600",432,1.46566e+06,1.46449e+06,ns,,,,,,0,0,600,432
"BM_run/700",386,1.64294e+06,1.6416e+06,ns,,,,,,0,0,700,386
"BM_run/800",401,1.93622e+06,1.93463e+06,ns,,,,,,0,0,800,401
"BM_run/900",312,2.07769e+06,2.07603e+06,ns,,,,,,0,0,900,312
"BM_run/1000",307,2.27201e+06,2.27014e+06,ns,,,,,,0,0,1000,307
"BM_run/2000",161,4.17019e+06,4.16677e+06,ns,,,,,,0,0,2000,161
"BM_run/3000",97,7.22086e+06,7.21516e+06,ns,,,,,,0,0,3000,97
"BM_run/4000",78,8.37045e+06,8.36389e+06,ns,,,,,,0,0,4000,78
"BM_run/5000",52,1.00567e+07,1.00485e+07,ns,,,,,,0,0,5000,52
"BM_run/6000",77,1.24462e+07,1.24362e+07,ns,,,,,,0,0,6000,77
"BM_run/7000",71,1.55425e+07,1.55304e+07,ns,,,,,,0,0,7000,71
"BM_run/8000",41,1.61004e+07,1.60875e+07,ns,,,,,,0,0,8000,41
"BM_run/9000",35,2.00592e+07,2.00438e+07,ns,,,,,,0,0,9000,35
"BM_run/10000",52,2.13115e+07,2.12949e+07,ns,,,,,,0,0,10000,52
"BM_run/20000",21,3.85267e+07,3.84951e+07,ns,,,,,,0,0,20000,21
"BM_run/30000",15,5.11498e+07,5.11069e+07,ns,,,,,,0,0,30000,15
"BM_run/40000",14,6.14689e+07,6.14162e+07,ns,,,,,,0,0,40000,14
"BM_run/50000",3,1.7218e+08,1.72058e+08,ns,,,,,,0,0,50000,3
"BM_run/60000",10,8.58111e+07,8.57347e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",6,2.14587e+08,2.14434e+08,ns,,,,,,0,0,70000,6
"BM_run/80000",1,5.10488e+08,5.10177e+08,ns,,,,,,0,0,80000,1
"BM_run/90000",11,1.05913e+08,1.05812e+08,ns,,,,,,0,0,90000,11
"BM_run/100000",6,2.05077e+08,2.04922e+08,ns,,,,,,0,0,100000,6
"BM_run/200000",1,7.19855e+08,7.19389e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",2,3.9479e+08,3.94431e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",1,7.35635e+08,7.35075e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",1,5.2864e+08,5.28071e+08,ns,,,,,,0,0,500000,1
