Data structureconstruction time: 1533825656029 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4914997,141.246,142.052,ns,,,,,,0,0,1,1.03075e+15
"BM_run/2",4708803,147.959,148.88,ns,,,,,,0,0,2,2.55751e+14
"BM_run/3",4060328,169.736,170.596,ns,,,,,,0,0,3,5.9224e+13
"BM_run/4",3657497,190.04,191.559,ns,,,,,,0,0,4,1.45644e+13
"BM_run/5",3244806,214.149,215.439,ns,,,,,,0,0,5,3.54966e+12
"BM_run/6",2737253,255.057,255.758,ns,,,,,,0,0,6,8.333e+11
"BM_run/7",2181814,320.084,319.636,ns,,,,,,0,0,7,1.88081e+11
"BM_run/8",1685589,416.441,414.811,ns,,,,,,0,0,8,4.29924e+10
"BM_run/9",1145942,613.808,610.985,ns,,,,,,0,0,9,9.32074e+09
"BM_run/10",824272,849.504,845.612,ns,,,,,,0,0,10,2.51725e+09
"BM_run/20",216982,3228.86,3222.23,ns,,,,,,0,0,20,2.11638e+07
"BM_run/30",128730,5436.83,5430.76,ns,,,,,,0,0,30,2.02931e+06
"BM_run/40",92731,7554.3,7547.63,ns,,,,,,0,0,40,428248
"BM_run/50",72986,9616.96,9608.61,ns,,,,,,0,0,50,177762
"BM_run/60",60118,11656.1,11646.6,ns,,,,,,0,0,60,103718
"BM_run/70",51237,13637.6,13626.4,ns,,,,,,0,0,70,75150
"BM_run/80",44705,15625.3,15612.3,ns,,,,,,0,0,80,59071
"BM_run/90",39822,17624.1,17608.9,ns,,,,,,0,0,90,49006
"BM_run/100",35872,19620,19604.4,ns,,,,,,0,0,100,41491
"BM_run/200",18112,38664.9,38632.7,ns,,,,,,0,0,200,18496
"BM_run/300",12159,57461.9,57412.3,ns,,,,,,0,0,300,12341
"BM_run/400",9227,76039.1,75977.7,ns,,,,,,0,0,400,9334
"BM_run/500",7407,94531.2,94455,ns,,,,,,0,0,500,7487
"BM_run/600",6154,113104,113007,ns,,,,,,0,0,600,6225
"BM_run/700",5333,131505,131391,ns,,,,,,0,0,700,5397
"BM_run/800",4676,149619,149482,ns,,,,,,0,0,800,4720
"BM_run/900",4167,168051,167892,ns,,,,,,0,0,900,4205
"BM_run/1000",3771,186324,186155,ns,,,,,,0,0,1000,3799
"BM_run/2000",1902,368118,367789,ns,,,,,,0,0,2000,1916
"BM_run/3000",1266,550547,550029,ns,,,,,,0,0,3000,1273
"BM_run/4000",954,731014,730327,ns,,,,,,0,0,4000,956
"BM_run/5000",761,911273,910364,ns,,,,,,0,0,5000,765
"BM_run/6000",640,1.09264e+06,1.0915e+06,ns,,,,,,0,0,6000,644
"BM_run/7000",552,1.27147e+06,1.27014e+06,ns,,,,,,0,0,7000,552
