Data structureconstruction time: 1622367230675 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4651791,148.669,149.721,ns,,,,,,0,0,1,9.75551e+14
"BM_run/2",295072,2362.61,2367.26,ns,,,,,,0,0,2,1.60348e+13
"BM_run/3",294793,2361.9,2365.96,ns,,,,,,0,0,3,4.3037e+12
"BM_run/4",132776,5287.79,5291.42,ns,,,,,,0,0,4,5.29109e+11
"BM_run/5",165104,4214.14,4217.06,ns,,,,,,0,0,5,1.80845e+11
"BM_run/6",85690,8064.76,8063.8,ns,,,,,,0,0,6,2.60649e+10
"BM_run/7",59249,11833.7,11828.5,ns,,,,,,0,0,7,5.09245e+09
"BM_run/8",42841,16416.7,16407.5,ns,,,,,,0,0,8,1.09728e+09
"BM_run/9",64279,10859.3,10854.2,ns,,,,,,0,0,9,5.24906e+08
"BM_run/10",53103,13247.5,13239.7,ns,,,,,,0,0,10,1.60041e+08
"BM_run/20",21712,32034.2,32010.9,ns,,,,,,0,0,20,2.19026e+06
"BM_run/30",16766,41724.2,41691.8,ns,,,,,,0,0,30,298340
"BM_run/40",13594,50708.2,50667.5,ns,,,,,,0,0,40,57020
"BM_run/50",11686,59130.5,59083.6,ns,,,,,,0,0,50,27010
"BM_run/60",10514,68015.7,67959.9,ns,,,,,,0,0,60,18799
"BM_run/70",9134,76649.4,76588,ns,,,,,,0,0,70,12934
"BM_run/80",8271,84830.2,84759,ns,,,,,,0,0,80,10408
"BM_run/90",7742,93494.1,93417,ns,,,,,,0,0,90,9680
"BM_run/100",6808,102091,102000,ns,,,,,,0,0,100,8013
"BM_run/200",3906,179840,179691,ns,,,,,,0,0,200,4008
"BM_run/300",2604,267311,267095,ns,,,,,,0,0,300,2642
"BM_run/400",2025,346721,346437,ns,,,,,,0,0,400,2041
"BM_run/500",1641,422560,422199,ns,,,,,,0,0,500,1653
"BM_run/600",1301,508385,507960,ns,,,,,,0,0,600,1312
"BM_run/700",1065,566525,566032,ns,,,,,,0,0,700,1079
"BM_run/800",1058,666812,666251,ns,,,,,,0,0,800,1068
"BM_run/900",896,762431,761793,ns,,,,,,0,0,900,903
"BM_run/1000",782,827071,826383,ns,,,,,,0,0,1000,793
"BM_run/2000",443,1.60562e+06,1.60418e+06,ns,,,,,,0,0,2000,444
"BM_run/3000",261,2.27931e+06,2.27729e+06,ns,,,,,,0,0,3000,262
"BM_run/4000",218,3.46854e+06,3.46539e+06,ns,,,,,,0,0,4000,219
"BM_run/5000",174,4.10174e+06,4.09815e+06,ns,,,,,,0,0,5000,174
"BM_run/6000",100,5.34503e+06,5.34022e+06,ns,,,,,,0,0,6000,101
"BM_run/7000",100,5.63464e+06,5.6297e+06,ns,,,,,,0,0,7000,101
"BM_run/8000",118,5.98227e+06,5.97656e+06,ns,,,,,,0,0,8000,118
"BM_run/9000",102,6.2923e+06,6.28631e+06,ns,,,,,,0,0,9000,102
"BM_run/10000",79,7.01713e+06,7.01046e+06,ns,,,,,,0,0,10000,80
"BM_run/20000",61,1.40332e+07,1.40196e+07,ns,,,,,,0,0,20000,61
"BM_run/30000",25,2.33672e+07,2.33466e+07,ns,,,,,,0,0,30000,25
"BM_run/40000",25,3.3943e+07,3.39126e+07,ns,,,,,,0,0,40000,25
"BM_run/50000",18,4.68287e+07,4.67871e+07,ns,,,,,,0,0,50000,18
"BM_run/60000",13,4.73404e+07,4.72956e+07,ns,,,,,,0,0,60000,13
"BM_run/70000",10,6.31462e+07,6.30909e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",10,7.86821e+07,7.86145e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",9,7.3007e+07,7.29388e+07,ns,,,,,,0,0,90000,9
"BM_run/100000",13,6.56726e+07,6.56043e+07,ns,,,,,,0,0,100000,13
"BM_run/200000",4,1.53351e+08,1.53212e+08,ns,,,,,,0,0,200000,4
"BM_run/300000",2,2.50895e+08,2.50646e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",3,2.29129e+08,2.28886e+08,ns,,,,,,0,0,400000,3
"BM_run/500000",2,5.24799e+08,5.24318e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",3,5.89293e+08,5.88853e+08,ns,,,,,,0,0,600000,3
"BM_run/700000",1,6.22761e+08,6.22184e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,6.0859e+08,6.07957e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,7.15203e+08,7.14472e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,5.76727e+08,5.76092e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,8.70536e+08,8.69482e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,4.6895e+09,4.68627e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.24457e+09,3.24147e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,7.1796e+09,7.17441e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.67608e+09,4.67135e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,5.73626e+09,5.73046e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,6.46871e+09,6.46181e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,6.32892e+09,6.32223e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,5.22428e+09,5.21824e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,3.50625e+10,3.50387e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.12956e+10,2.12731e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,1.67703e+10,1.6749e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,2.88754e+10,2.88426e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,7.50524e+10,7.49906e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,2.85015e+10,2.84649e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.25901e+11,1.25808e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,1.06983e+11,1.06896e+11,ns,,,,,,0,0,9e+07,1
