Data structureconstruction time: 3254760322200 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4878387,142.237,143.259,ns,,,,,,0,0,1,1.02307e+15
"BM_run/2",299976,2332.95,2335.95,ns,,,,,,0,0,2,4.15524e+12
"BM_run/3",91646,7592.49,7591.37,ns,,,,,,0,0,3,1.38384e+11
"BM_run/4",39205,17875.4,17863.1,ns,,,,,,0,0,4,1.42274e+10
"BM_run/5",21715,32382.5,32354.7,ns,,,,,,0,0,5,3.00618e+09
"BM_run/6",14684,48286.8,48243.1,ns,,,,,,0,0,6,7.01649e+08
"BM_run/7",11187,62862.3,62810,ns,,,,,,0,0,7,1.66229e+08
"BM_run/8",8993,77660.7,77599.1,ns,,,,,,0,0,8,5.30133e+07
"BM_run/9",7619,92437.8,92358.5,ns,,,,,,0,0,9,2.01325e+07
"BM_run/10",6623,105946,105858,ns,,,,,,0,0,10,7.77213e+06
"BM_run/20",3973,176231,176072,ns,,,,,,0,0,20,346280
"BM_run/30",3504,199246,199074,ns,,,,,,0,0,30,280617
"BM_run/40",3278,218594,218398,ns,,,,,,0,0,40,70997
"BM_run/50",2959,237126,236920,ns,,,,,,0,0,50,7026
"BM_run/60",2740,257349,257112,ns,,,,,,0,0,60,5188
"BM_run/70",2514,277103,276851,ns,,,,,,0,0,70,6760
"BM_run/80",2377,294652,294387,ns,,,,,,0,0,80,3578
"BM_run/90",2219,312412,312136,ns,,,,,,0,0,90,3262
"BM_run/100",2120,330415,330120,ns,,,,,,0,0,100,3926
"BM_run/200",1274,513213,512752,ns,,,,,,0,0,200,2658
"BM_run/300",1025,707956,707315,ns,,,,,,0,0,300,1457
"BM_run/400",851,855635,854848,ns,,,,,,0,0,400,1223
"BM_run/500",674,1.09067e+06,1.08967e+06,ns,,,,,,0,0,500,925
"BM_run/600",614,1.23736e+06,1.23624e+06,ns,,,,,,0,0,600,857
"BM_run/700",513,1.43601e+06,1.43473e+06,ns,,,,,,0,0,700,715
"BM_run/800",451,1.57486e+06,1.5734e+06,ns,,,,,,0,0,800,633
"BM_run/900",390,1.75082e+06,1.74926e+06,ns,,,,,,0,0,900,542
"BM_run/1000",347,1.86119e+06,1.85943e+06,ns,,,,,,0,0,1000,483
