Data structureconstruction time: 3253411784488 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4653574,148.477,150.046,ns,,,,,,0,0,1,9.75925e+14
"BM_run/2",161674,4317.8,4321.66,ns,,,,,,0,0,2,2.24233e+12
"BM_run/3",90673,7315.23,7312.19,ns,,,,,,0,0,3,1.37044e+11
"BM_run/4",37493,18486.4,18470.3,ns,,,,,,0,0,4,1.35218e+10
"BM_run/5",35696,19309.6,19292.1,ns,,,,,,0,0,5,4.78228e+09
"BM_run/6",27935,24844.4,24822,ns,,,,,,0,0,6,1.38151e+09
"BM_run/7",26684,26056.2,26033.2,ns,,,,,,0,0,7,3.72255e+08
"BM_run/8",21723,31891.2,31863.3,ns,,,,,,0,0,8,1.23811e+08
"BM_run/9",29853,23257.3,23236.2,ns,,,,,,0,0,9,8.39157e+07
"BM_run/10",23576,29672.3,29646.9,ns,,,,,,0,0,10,2.80555e+07
"BM_run/20",10622,64143.1,64088.4,ns,,,,,,0,0,20,1.19192e+06
"BM_run/30",7903,87027.2,86954.3,ns,,,,,,0,0,30,560501
"BM_run/40",6676,104775,104684,ns,,,,,,0,0,40,285614
"BM_run/50",5703,123724,123621,ns,,,,,,0,0,50,136202
"BM_run/60",4932,142694,142568,ns,,,,,,0,0,60,25414
"BM_run/70",4437,157945,157807,ns,,,,,,0,0,70,11880
"BM_run/80",4068,178900,178745,ns,,,,,,0,0,80,9812
"BM_run/90",3475,194743,194575,ns,,,,,,0,0,90,5318
"BM_run/100",3251,214602,214407,ns,,,,,,0,0,100,4777
"BM_run/200",1794,391254,390918,ns,,,,,,0,0,200,2699
"BM_run/300",1367,556190,555708,ns,,,,,,0,0,300,2343
"BM_run/400",986,755992,755347,ns,,,,,,0,0,400,1331
"BM_run/500",754,920248,919464,ns,,,,,,0,0,500,1058
"BM_run/600",663,1.03636e+06,1.03546e+06,ns,,,,,,0,0,600,906
"BM_run/700",517,1.17113e+06,1.17012e+06,ns,,,,,,0,0,700,733
"BM_run/800",547,1.46511e+06,1.46382e+06,ns,,,,,,0,0,800,761
"BM_run/900",412,1.57433e+06,1.57297e+06,ns,,,,,,0,0,900,568
"BM_run/1000",427,1.85373e+06,1.85214e+06,ns,,,,,,0,0,1000,587
"BM_run/2000",193,3.48745e+06,3.48436e+06,ns,,,,,,0,0,2000,275
"BM_run/3000",146,5.35805e+06,5.35345e+06,ns,,,,,,0,0,3000,189
"BM_run/4000",113,7.26558e+06,7.25959e+06,ns,,,,,,0,0,4000,140
"BM_run/5000",71,8.49337e+06,8.48596e+06,ns,,,,,,0,0,5000,87
"BM_run/6000",57,1.18997e+07,1.18904e+07,ns,,,,,,0,0,6000,63
"BM_run/7000",61,1.09775e+07,1.09677e+07,ns,,,,,,0,0,7000,84
"BM_run/8000",56,1.25219e+07,1.25108e+07,ns,,,,,,0,0,8000,70
"BM_run/9000",54,1.5444e+07,1.54305e+07,ns,,,,,,0,0,9000,58
"BM_run/10000",44,1.48634e+07,1.48504e+07,ns,,,,,,0,0,10000,48
"BM_run/20000",21,4.47953e+07,4.47591e+07,ns,,,,,,0,0,20000,22
"BM_run/30000",10,7.28352e+07,7.27808e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",11,7.8508e+07,7.84451e+07,ns,,,,,,0,0,40000,11
"BM_run/50000",7,1.1565e+08,1.15564e+08,ns,,,,,,0,0,50000,7
"BM_run/60000",6,1.22378e+08,1.22276e+08,ns,,,,,,0,0,60000,7
"BM_run/70000",10,1.2766e+08,1.27551e+08,ns,,,,,,0,0,70000,10
"BM_run/80000",5,1.7601e+08,1.75869e+08,ns,,,,,,0,0,80000,5
"BM_run/90000",3,3.7432e+08,3.74057e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",7,1.71077e+08,1.7093e+08,ns,,,,,,0,0,100000,8
"BM_run/200000",1,8.3299e+08,8.3242e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,5.28393e+08,5.27939e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",2,7.03872e+08,7.0326e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,7.32016e+08,7.31321e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.27421e+09,1.2732e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,7.95656e+08,7.94776e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",1,7.18108e+08,7.17225e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,9.35691e+08,9.34615e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.04269e+09,1.04144e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,5.16162e+09,5.15797e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,7.02368e+09,7.01846e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,6.32387e+09,6.31803e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.70588e+09,5.69935e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,6.80915e+09,6.80151e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.42774e+10,1.42661e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.57539e+10,1.57411e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,9.76324e+09,9.75198e+09,ns,,,,,,0,0,9e+06,1
