Data structureconstruction time: 3324209673734 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4736433,146.933,147.802,ns,,,,,,0,0,1,9.93302e+14
"BM_run/2",159952,4354.25,4359.43,ns,,,,,,0,0,2,2.21451e+12
"BM_run/3",89562,7409.61,7407.97,ns,,,,,,0,0,3,1.35222e+11
"BM_run/4",37391,18902.9,18889.2,ns,,,,,,0,0,4,1.37019e+10
"BM_run/5",36521,19231.4,19214.6,ns,,,,,,0,0,5,4.89109e+09
"BM_run/6",28394,24504.2,24483.1,ns,,,,,,0,0,6,1.40716e+09
"BM_run/7",27534,25435.5,25411,ns,,,,,,0,0,7,3.89298e+08
"BM_run/8",22402,31312.6,31285.7,ns,,,,,,0,0,8,1.27746e+08
"BM_run/9",29870,23457.8,23437,ns,,,,,,0,0,9,8.59263e+07
"BM_run/10",23445,29875.4,29849.2,ns,,,,,,0,0,10,2.90485e+07
"BM_run/20",10649,64440.2,64386.7,ns,,,,,,0,0,20,705084
"BM_run/30",8171,86388.5,86316.3,ns,,,,,,0,0,30,27666
"BM_run/40",6628,105188,105098,ns,,,,,,0,0,40,157032
"BM_run/50",5592,124898,124797,ns,,,,,,0,0,50,95370
"BM_run/60",4991,142790,142666,ns,,,,,,0,0,60,12832
"BM_run/70",4480,159247,159119,ns,,,,,,0,0,70,7598
"BM_run/80",3929,178428,178270,ns,,,,,,0,0,80,9579
"BM_run/90",3441,195062,194902,ns,,,,,,0,0,90,5465
"BM_run/100",3206,215025,214839,ns,,,,,,0,0,100,5140
"BM_run/200",1764,388401,388084,ns,,,,,,0,0,200,2594
"BM_run/300",1000,576602,576111,ns,,,,,,0,0,300,1387
"BM_run/400",953,720771,720162,ns,,,,,,0,0,400,1379
"BM_run/500",734,921568,920811,ns,,,,,,0,0,500,1036
"BM_run/600",647,1.07042e+06,1.06953e+06,ns,,,,,,0,0,600,929
"BM_run/700",572,1.20812e+06,1.20713e+06,ns,,,,,,0,0,700,795
"BM_run/800",463,1.41002e+06,1.40885e+06,ns,,,,,,0,0,800,627
"BM_run/900",453,1.5411e+06,1.53982e+06,ns,,,,,,0,0,900,636
"BM_run/1000",380,1.81612e+06,1.81462e+06,ns,,,,,,0,0,1000,521
"BM_run/2000",190,3.63386e+06,3.63088e+06,ns,,,,,,0,0,2000,241
"BM_run/3000",143,4.81414e+06,4.80991e+06,ns,,,,,,0,0,3000,185
"BM_run/4000",86,6.95118e+06,6.9455e+06,ns,,,,,,0,0,4000,107
"BM_run/5000",86,7.58733e+06,7.5807e+06,ns,,,,,,0,0,5000,119
"BM_run/6000",86,1.06561e+07,1.0647e+07,ns,,,,,,0,0,6000,108
"BM_run/7000",77,1.10777e+07,1.10684e+07,ns,,,,,,0,0,7000,95
"BM_run/8000",69,1.24603e+07,1.24492e+07,ns,,,,,,0,0,8000,85
"BM_run/9000",34,1.51396e+07,1.51278e+07,ns,,,,,,0,0,9000,42
"BM_run/10000",38,1.64464e+07,1.64326e+07,ns,,,,,,0,0,10000,47
"BM_run/20000",17,3.82017e+07,3.81704e+07,ns,,,,,,0,0,20000,18
"BM_run/30000",17,5.50191e+07,5.49736e+07,ns,,,,,,0,0,30000,22
"BM_run/40000",14,8.97966e+07,8.97274e+07,ns,,,,,,0,0,40000,14
"BM_run/50000",8,9.17022e+07,9.16259e+07,ns,,,,,,0,0,50000,8
"BM_run/60000",8,1.22202e+08,1.22104e+08,ns,,,,,,0,0,60000,8
"BM_run/70000",8,1.41736e+08,1.41619e+08,ns,,,,,,0,0,70000,8
"BM_run/80000",7,1.97208e+08,1.97064e+08,ns,,,,,,0,0,80000,8
"BM_run/90000",7,1.8175e+08,1.81604e+08,ns,,,,,,0,0,90000,7
"BM_run/100000",4,1.48744e+08,1.48604e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",1,8.5675e+08,8.56206e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",2,4.29683e+08,4.29319e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,5.07365e+08,5.06861e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,5.01867e+08,5.01305e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,5.30412e+08,5.29788e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.03567e+09,1.03473e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,9.62823e+08,9.61825e+08,ns,,,,,,0,0,800000,1
