Data structureconstruction time: 2900765214588 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4744567,146.851,147.606,ns,,,,,,0,0,1,9.95008e+14
"BM_run/2",181976,3840.52,3845.8,ns,,,,,,0,0,2,2.25627e+12
"BM_run/3",102498,6581.17,6582.51,ns,,,,,,0,0,3,7.68642e+10
"BM_run/4",34589,20161.7,20148.6,ns,,,,,,0,0,4,1.63673e+09
"BM_run/5",37579,18883.6,18871,ns,,,,,,0,0,5,1.32877e+08
"BM_run/6",31935,21698.3,21682,ns,,,,,,0,0,6,1.89311e+07
"BM_run/7",28380,24664.5,24645.6,ns,,,,,,0,0,7,1.07648e+07
"BM_run/8",20183,34558,34530.5,ns,,,,,,0,0,8,6.11434e+06
"BM_run/9",19318,36574.4,36546.1,ns,,,,,,0,0,9,5.03976e+06
"BM_run/10",17572,40584.2,40551.6,ns,,,,,,0,0,10,4.291e+06
"BM_run/20",12611,56962.2,56914.2,ns,,,,,,0,0,20,1.25283e+06
"BM_run/30",9162,74606.7,74543.7,ns,,,,,,0,0,30,503396
"BM_run/40",7994,89107.7,89030.4,ns,,,,,,0,0,40,321476
"BM_run/50",6898,104901,104813,ns,,,,,,0,0,50,188351
"BM_run/60",5911,122531,122430,ns,,,,,,0,0,60,151560
"BM_run/70",5510,128667,128560,ns,,,,,,0,0,70,113899
"BM_run/80",4784,145966,145846,ns,,,,,,0,0,80,94683
"BM_run/90",4491,161477,161340,ns,,,,,,0,0,90,94365
"BM_run/100",3935,176054,175905,ns,,,,,,0,0,100,75080
"BM_run/200",2152,324298,324011,ns,,,,,,0,0,200,34203
"BM_run/300",1325,470261,469886,ns,,,,,,0,0,300,18640
"BM_run/400",1130,650673,650158,ns,,,,,,0,0,400,16955
"BM_run/500",926,802595,801960,ns,,,,,,0,0,500,11369
"BM_run/600",706,938809,938071,ns,,,,,,0,0,600,4874
"BM_run/700",585,1.17515e+06,1.17423e+06,ns,,,,,,0,0,700,3346
"BM_run/800",569,1.28887e+06,1.28785e+06,ns,,,,,,0,0,800,3384
"BM_run/900",452,1.49386e+06,1.49267e+06,ns,,,,,,0,0,900,2721
"BM_run/1000",405,1.59286e+06,1.59159e+06,ns,,,,,,0,0,1000,1683
"BM_run/2000",199,3.61631e+06,3.61353e+06,ns,,,,,,0,0,2000,341
"BM_run/3000",149,4.96809e+06,4.96398e+06,ns,,,,,,0,0,3000,278
"BM_run/4000",112,6.57836e+06,6.57323e+06,ns,,,,,,0,0,4000,230
"BM_run/5000",139,8.0783e+06,8.07174e+06,ns,,,,,,0,0,5000,212
"BM_run/6000",63,9.48297e+06,9.47543e+06,ns,,,,,,0,0,6000,63
"BM_run/7000",56,1.07458e+07,1.0737e+07,ns,,,,,,0,0,7000,56
"BM_run/8000",56,1.12752e+07,1.12658e+07,ns,,,,,,0,0,8000,94
"BM_run/9000",41,1.41999e+07,1.41877e+07,ns,,,,,,0,0,9000,41
