Data structureconstruction time: 2831830888377 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4726447,147.553,148.593,ns,,,,,,0,0,1,9.91208e+14
"BM_run/2",181021,3855.25,3860.94,ns,,,,,,0,0,2,2.24409e+12
"BM_run/3",103331,6477.67,6479.97,ns,,,,,,0,0,3,7.74758e+10
"BM_run/4",35456,19890.2,19877.4,ns,,,,,,0,0,4,1.6752e+09
"BM_run/5",39049,18122.7,18111.7,ns,,,,,,0,0,5,1.3707e+08
"BM_run/6",35292,19973.3,19958,ns,,,,,,0,0,6,2.11518e+07
"BM_run/7",30903,22803.8,22786.8,ns,,,,,,0,0,7,1.12945e+07
"BM_run/8",21496,32754.7,32727.7,ns,,,,,,0,0,8,6.35044e+06
"BM_run/9",19998,35011.8,34983.2,ns,,,,,,0,0,9,5.41476e+06
"BM_run/10",17999,38645.7,38614.6,ns,,,,,,0,0,10,4.36366e+06
"BM_run/20",12580,55712.6,55668,ns,,,,,,0,0,20,1.28994e+06
"BM_run/30",9555,73466.6,73399.4,ns,,,,,,0,0,30,488030
"BM_run/40",8209,87308,87231.9,ns,,,,,,0,0,40,311119
"BM_run/50",6931,101950,101857,ns,,,,,,0,0,50,216154
"BM_run/60",6012,120727,120626,ns,,,,,,0,0,60,138570
"BM_run/70",5726,126656,126536,ns,,,,,,0,0,70,131767
"BM_run/80",4965,145090,144966,ns,,,,,,0,0,80,98715
"BM_run/90",4516,158837,158696,ns,,,,,,0,0,90,83586
"BM_run/100",4039,174277,174126,ns,,,,,,0,0,100,77996
"BM_run/200",2261,325921,325645,ns,,,,,,0,0,200,33795
"BM_run/300",1518,486142,485747,ns,,,,,,0,0,300,19074
"BM_run/400",1110,650650,650117,ns,,,,,,0,0,400,8588
"BM_run/500",882,831814,831150,ns,,,,,,0,0,500,7604
"BM_run/600",705,986248,985449,ns,,,,,,0,0,600,8841
"BM_run/700",609,1.14881e+06,1.14786e+06,ns,,,,,,0,0,700,2034
"BM_run/800",547,1.35331e+06,1.35221e+06,ns,,,,,,0,0,800,2658
"BM_run/900",431,1.45256e+06,1.45136e+06,ns,,,,,,0,0,900,1647
"BM_run/1000",400,1.56096e+06,1.5597e+06,ns,,,,,,0,0,1000,2247
"BM_run/2000",207,3.39827e+06,3.39542e+06,ns,,,,,,0,0,2000,256
"BM_run/3000",148,5.45617e+06,5.45179e+06,ns,,,,,,0,0,3000,261
"BM_run/4000",106,7.18214e+06,7.17636e+06,ns,,,,,,0,0,4000,118
"BM_run/5000",90,8.00805e+06,8.00157e+06,ns,,,,,,0,0,5000,147
"BM_run/6000",62,9.71433e+06,9.70639e+06,ns,,,,,,0,0,6000,67
"BM_run/7000",62,1.11847e+07,1.11755e+07,ns,,,,,,0,0,7000,62
"BM_run/8000",53,1.30342e+07,1.30233e+07,ns,,,,,,0,0,8000,111
"BM_run/9000",39,1.4779e+07,1.47676e+07,ns,,,,,,0,0,9000,39
"BM_run/10000",47,1.6105e+07,1.60915e+07,ns,,,,,,0,0,10000,138
"BM_run/20000",17,3.27461e+07,3.27202e+07,ns,,,,,,0,0,20000,17
"BM_run/30000",10,6.95932e+07,6.95406e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",10,8.48013e+07,8.47376e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",6,8.36386e+07,8.3572e+07,ns,,,,,,0,0,50000,6
"BM_run/60000",9,8.31999e+07,8.3128e+07,ns,,,,,,0,0,60000,9
"BM_run/70000",10,9.57178e+07,9.56327e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",5,1.57556e+08,1.57435e+08,ns,,,,,,0,0,80000,5
"BM_run/90000",7,1.39341e+08,1.39231e+08,ns,,,,,,0,0,90000,7
"BM_run/100000",14,1.53623e+08,1.53493e+08,ns,,,,,,0,0,100000,14
"BM_run/200000",3,3.76927e+08,3.76628e+08,ns,,,,,,0,0,200000,3
"BM_run/300000",1,5.49435e+08,5.48979e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",2,7.55434e+08,7.54848e+08,ns,,,,,,0,0,400000,2
