Data structureconstruction time: 1470636093073 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4598081,149.812,151.546,ns,,,,,,0,0,1,9.64287e+14
"BM_run/2",234387,2982.96,2988.5,ns,,,,,,0,0,2,1.22886e+13
"BM_run/3",268969,2594.34,2598.98,ns,,,,,,0,0,3,3.52543e+12
"BM_run/4",133308,5254.57,5257.91,ns,,,,,,0,0,4,4.36823e+11
"BM_run/5",155024,4521.01,4523.73,ns,,,,,,0,0,5,1.26996e+11
"BM_run/6",78929,8690.85,8689.1,ns,,,,,,0,0,6,1.61646e+10
"BM_run/7",52386,13337.8,13332,ns,,,,,,0,0,7,2.68223e+09
"BM_run/8",40439,17349.7,17339.9,ns,,,,,,0,0,8,5.17678e+08
"BM_run/9",62149,11271.8,11266.2,ns,,,,,,0,0,9,1.98969e+08
"BM_run/10",51585,13488.6,13480,ns,,,,,,0,0,10,4.13141e+07
"BM_run/20",19401,36194.1,36166.8,ns,,,,,,0,0,20,19415
"BM_run/30",15445,45679.6,45645.4,ns,,,,,,0,0,30,15445
"BM_run/40",13006,54871.9,54826.9,ns,,,,,,0,0,40,13006
"BM_run/50",10953,63873,63822.2,ns,,,,,,0,0,50,10953
"BM_run/60",9764,72006.1,71947.9,ns,,,,,,0,0,60,9764
"BM_run/70",8532,81630.5,81565,ns,,,,,,0,0,70,8532
"BM_run/80",7742,89962.7,89888.1,ns,,,,,,0,0,80,7742
"BM_run/90",7171,98416.9,98331.5,ns,,,,,,0,0,90,7171
"BM_run/100",6442,106149,106061,ns,,,,,,0,0,100,6442
"BM_run/200",3621,194877,194716,ns,,,,,,0,0,200,3621
"BM_run/300",2540,276467,276241,ns,,,,,,0,0,300,2540
"BM_run/400",1943,352245,351943,ns,,,,,,0,0,400,1943
"BM_run/500",1571,439620,439269,ns,,,,,,0,0,500,1571
"BM_run/600",1374,524825,524378,ns,,,,,,0,0,600,1374
"BM_run/700",1212,608221,607730,ns,,,,,,0,0,700,1212
"BM_run/800",999,679569,679028,ns,,,,,,0,0,800,999
"BM_run/900",872,757745,757090,ns,,,,,,0,0,900,872
"BM_run/1000",863,859554,858857,ns,,,,,,0,0,1000,863
"BM_run/2000",451,1.73818e+06,1.73662e+06,ns,,,,,,0,0,2000,451
"BM_run/3000",303,2.82052e+06,2.8181e+06,ns,,,,,,0,0,3000,303
"BM_run/4000",201,3.35781e+06,3.35481e+06,ns,,,,,,0,0,4000,201
"BM_run/5000",170,4.32869e+06,4.32506e+06,ns,,,,,,0,0,5000,170
"BM_run/6000",147,5.36976e+06,5.36521e+06,ns,,,,,,0,0,6000,147
"BM_run/7000",137,5.64224e+06,5.63735e+06,ns,,,,,,0,0,7000,137
"BM_run/8000",131,6.58107e+06,6.57514e+06,ns,,,,,,0,0,8000,131
"BM_run/9000",105,6.92703e+06,6.92085e+06,ns,,,,,,0,0,9000,105
"BM_run/10000",113,8.4127e+06,8.40532e+06,ns,,,,,,0,0,10000,113
"BM_run/20000",42,1.72332e+07,1.72185e+07,ns,,,,,,0,0,20000,42
"BM_run/30000",33,2.04569e+07,2.04371e+07,ns,,,,,,0,0,30000,33
"BM_run/40000",19,4.31913e+07,4.31587e+07,ns,,,,,,0,0,40000,19
"BM_run/50000",16,3.38608e+07,3.38293e+07,ns,,,,,,0,0,50000,16
"BM_run/60000",10,6.67175e+07,6.66633e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",10,7.34946e+07,7.3433e+07,ns,,,,,,0,0,70000,10
