Data structureconstruction time: 886761066267 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4697559,148.362,149.014,ns,,,,,,0,0,1,9.8515e+14
"BM_run/2",109386,6363.64,6368.23,ns,,,,,,0,0,2,3.69999e+11
"BM_run/3",29406,23287.9,23272.2,ns,,,,,,0,0,3,1.6043e+09
"BM_run/4",24912,27983.8,27963,ns,,,,,,0,0,4,2.19417e+07
"BM_run/5",28676,24441.3,24421.9,ns,,,,,,0,0,5,435461
"BM_run/6",15925,44345.1,44305.3,ns,,,,,,0,0,6,19648
"BM_run/7",11056,63117.4,63062.7,ns,,,,,,0,0,7,11104
"BM_run/8",10216,69037.4,68980,ns,,,,,,0,0,8,10216
"BM_run/9",9955,72194.6,72130,ns,,,,,,0,0,9,9955
"BM_run/10",9348,75584.4,75520.8,ns,,,,,,0,0,10,9348
"BM_run/20",6447,108321,108228,ns,,,,,,0,0,20,6447
"BM_run/30",5029,140290,140172,ns,,,,,,0,0,30,5029
"BM_run/40",4031,172783,172629,ns,,,,,,0,0,40,4031
"BM_run/50",3466,198925,198761,ns,,,,,,0,0,50,3466
"BM_run/60",3038,235660,235464,ns,,,,,,0,0,60,3038
"BM_run/70",2694,263786,263570,ns,,,,,,0,0,70,2694
"BM_run/80",2397,300057,299811,ns,,,,,,0,0,80,2397
"BM_run/90",2122,322300,322039,ns,,,,,,0,0,90,2122
"BM_run/100",1922,357337,357048,ns,,,,,,0,0,100,1922
"BM_run/200",951,644958,644478,ns,,,,,,0,0,200,951
"BM_run/300",727,995510,994747,ns,,,,,,0,0,300,727
"BM_run/400",546,1.27415e+06,1.27316e+06,ns,,,,,,0,0,400,546
"BM_run/500",410,1.56046e+06,1.55925e+06,ns,,,,,,0,0,500,410
"BM_run/600",364,1.7843e+06,1.78292e+06,ns,,,,,,0,0,600,364
"BM_run/700",306,2.20022e+06,2.19864e+06,ns,,,,,,0,0,700,306
"BM_run/800",282,2.4111e+06,2.40919e+06,ns,,,,,,0,0,800,282
"BM_run/900",244,2.78317e+06,2.78114e+06,ns,,,,,,0,0,900,244
