Data structureconstruction time: 3302971796565 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4842610,143.864,144.551,ns,,,,,,0,0,1,1.01557e+15
"BM_run/2",4447447,157.996,157.627,ns,,,,,,0,0,2,3.75988e+13
"BM_run/3",2072432,339.999,337.23,ns,,,,,,0,0,3,1.96339e+12
"BM_run/4",829798,852.249,846.72,ns,,,,,,0,0,4,2.79445e+11
"BM_run/5",465994,1511.74,1504.42,ns,,,,,,0,0,5,8.08379e+10
"BM_run/6",326115,2157,2148.37,ns,,,,,,0,0,6,3.21756e+10
"BM_run/7",250742,2798.31,2788.34,ns,,,,,,0,0,7,1.59259e+10
"BM_run/8",203560,3442.56,3432.2,ns,,,,,,0,0,8,8.55786e+09
"BM_run/9",171141,4086.92,4076.13,ns,,,,,,0,0,9,5.2715e+09
"BM_run/10",147854,4737.62,4726.62,ns,,,,,,0,0,10,3.5948e+09
"BM_run/20",62930,11098.3,11083.8,ns,,,,,,0,0,20,3.14954e+08
"BM_run/30",40716,17224.2,17205.4,ns,,,,,,0,0,30,8.32607e+07
"BM_run/40",30365,23134.9,23109.9,ns,,,,,,0,0,40,2.92116e+07
"BM_run/50",24363,28778.1,28747.7,ns,,,,,,0,0,50,1.21913e+07
"BM_run/60",20444,34298.7,34263.3,ns,,,,,,0,0,60,5.66643e+06
"BM_run/70",17707,39604.1,39564,ns,,,,,,0,0,70,1.659e+06
"BM_run/80",15668,44702.6,44658.1,ns,,,,,,0,0,80,945358
"BM_run/90",14103,49687.8,49636.3,ns,,,,,,0,0,90,848339
"BM_run/100",12876,54668.8,54616.5,ns,,,,,,0,0,100,727846
"BM_run/200",6959,101001,100910,ns,,,,,,0,0,200,397195
"BM_run/300",4866,143242,143119,ns,,,,,,0,0,300,255473
"BM_run/400",3806,183561,183404,ns,,,,,,0,0,400,182178
"BM_run/500",3094,224650,224453,ns,,,,,,0,0,500,131079
"BM_run/600",2688,262211,261981,ns,,,,,,0,0,600,84589
"BM_run/700",2355,301889,301628,ns,,,,,,0,0,700,88749
"BM_run/800",2087,334388,334093,ns,,,,,,0,0,800,74274
"BM_run/900",1905,369869,369551,ns,,,,,,0,0,900,40032
"BM_run/1000",1720,408346,407996,ns,,,,,,0,0,1000,33156
"BM_run/2000",945,743869,743175,ns,,,,,,0,0,2000,7143
"BM_run/3000",647,1.05955e+06,1.05852e+06,ns,,,,,,0,0,3000,658
"BM_run/4000",503,1.37284e+06,1.37146e+06,ns,,,,,,0,0,4000,508
"BM_run/5000",424,1.68374e+06,1.68199e+06,ns,,,,,,0,0,5000,4444
"BM_run/6000",365,1.99031e+06,1.98817e+06,ns,,,,,,0,0,6000,3145
"BM_run/7000",312,2.27472e+06,2.27229e+06,ns,,,,,,0,0,7000,314
"BM_run/8000",274,2.51868e+06,2.5158e+06,ns,,,,,,0,0,8000,275
"BM_run/9000",247,2.8748e+06,2.87153e+06,ns,,,,,,0,0,9000,247
"BM_run/10000",216,3.22235e+06,3.21862e+06,ns,,,,,,0,0,10000,217
"BM_run/20000",118,5.73148e+06,5.72487e+06,ns,,,,,,0,0,20000,118
"BM_run/30000",103,8.21277e+06,8.20309e+06,ns,,,,,,0,0,30000,104
"BM_run/40000",62,1.10283e+07,1.10154e+07,ns,,,,,,0,0,40000,62
"BM_run/50000",47,1.39141e+07,1.38976e+07,ns,,,,,,0,0,50000,48
"BM_run/60000",41,1.59235e+07,1.59046e+07,ns,,,,,,0,0,60000,41
"BM_run/70000",40,1.8583e+07,1.85608e+07,ns,,,,,,0,0,70000,40
"BM_run/80000",32,2.0571e+07,2.05456e+07,ns,,,,,,0,0,80000,32
"BM_run/90000",30,2.29259e+07,2.2898e+07,ns,,,,,,0,0,90000,30
"BM_run/100000",28,2.83739e+07,2.83389e+07,ns,,,,,,0,0,100000,28
"BM_run/200000",14,4.68543e+07,4.67977e+07,ns,,,,,,0,0,200000,14
"BM_run/300000",13,7.41165e+07,7.40248e+07,ns,,,,,,0,0,300000,13
"BM_run/400000",8,9.28667e+07,9.275e+07,ns,,,,,,0,0,400000,8
"BM_run/500000",8,1.30029e+08,1.29869e+08,ns,,,,,,0,0,500000,8
"BM_run/600000",5,1.45399e+08,1.45217e+08,ns,,,,,,0,0,600000,5
"BM_run/700000",3,1.76335e+08,1.76114e+08,ns,,,,,,0,0,700000,3
"BM_run/800000",6,1.81757e+08,1.81528e+08,ns,,,,,,0,0,800000,6
"BM_run/900000",3,2.15442e+08,2.15172e+08,ns,,,,,,0,0,900000,3
"BM_run/1000000",3,1.84247e+08,1.84011e+08,ns,,,,,,0,0,1e+06,3
"BM_run/2000000",1,5.10503e+08,5.09864e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,6.42372e+08,6.41595e+08,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.02354e+09,1.02223e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.30476e+09,1.30314e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.51602e+09,1.51415e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.84686e+09,1.84453e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.63264e+09,1.63061e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.82059e+09,1.81824e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,1.98415e+09,1.98174e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,5.01658e+09,5.01036e+09,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,7.02088e+09,7.01216e+09,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,8.90783e+09,8.89681e+09,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,1.2382e+10,1.23666e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,1.30255e+10,1.3009e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.65003e+10,1.64797e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.9342e+10,1.93179e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,2.15112e+10,2.14844e+10,ns,,,,,,0,0,9e+07,1
