Data structureconstruction time: 3260857554625 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4895205,142.164,143.172,ns,,,,,,0,0,1,1.0266e+15
"BM_run/2",300534,2324.02,2327.17,ns,,,,,,0,0,2,2.53729e+12
"BM_run/3",76544,9072.18,9068.61,ns,,,,,,0,0,3,7.24946e+10
"BM_run/4",29248,23984.6,23963.5,ns,,,,,,0,0,4,9.76182e+09
"BM_run/5",16662,42140.8,42102,ns,,,,,,0,0,5,2.8357e+09
"BM_run/6",11739,59172.1,59118.3,ns,,,,,,0,0,6,1.23484e+09
"BM_run/7",9223,75149.5,75080.3,ns,,,,,,0,0,7,5.74062e+08
"BM_run/8",7889,89688.4,89606.8,ns,,,,,,0,0,8,3.03587e+08
"BM_run/9",6818,102346,102254,ns,,,,,,0,0,9,2.05761e+08
"BM_run/10",6138,113628,113527,ns,,,,,,0,0,10,1.36128e+08
"BM_run/20",3781,183756,183588,ns,,,,,,0,0,20,1.50366e+07
"BM_run/30",3110,223277,223072,ns,,,,,,0,0,30,7.49414e+06
"BM_run/40",2779,251805,251562,ns,,,,,,0,0,40,2.58786e+06
"BM_run/50",2448,280544,280285,ns,,,,,,0,0,50,1.42043e+06
"BM_run/60",2257,312508,312211,ns,,,,,,0,0,60,430772
"BM_run/70",2066,340462,340141,ns,,,,,,0,0,70,131313
"BM_run/80",1945,360667,360327,ns,,,,,,0,0,80,141772
"BM_run/90",1771,384518,384142,ns,,,,,,0,0,90,113602
"BM_run/100",1672,412478,412073,ns,,,,,,0,0,100,76758
"BM_run/200",1148,627128,626538,ns,,,,,,0,0,200,72662
"BM_run/300",832,836906,836119,ns,,,,,,0,0,300,71015
"BM_run/400",632,1.03874e+06,1.03777e+06,ns,,,,,,0,0,400,24762
"BM_run/500",530,1.28341e+06,1.28223e+06,ns,,,,,,0,0,500,17811
"BM_run/600",474,1.42943e+06,1.42813e+06,ns,,,,,,0,0,600,27029
"BM_run/700",437,1.73437e+06,1.73279e+06,ns,,,,,,0,0,700,6169
"BM_run/800",348,1.79093e+06,1.78926e+06,ns,,,,,,0,0,800,13441
"BM_run/900",328,2.09077e+06,2.08894e+06,ns,,,,,,0,0,900,16317
"BM_run/1000",294,2.45979e+06,2.45764e+06,ns,,,,,,0,0,1000,2967
"BM_run/2000",189,4.3865e+06,4.38276e+06,ns,,,,,,0,0,2000,189
"BM_run/3000",108,6.50842e+06,6.50309e+06,ns,,,,,,0,0,3000,110
"BM_run/4000",111,8.07855e+06,8.07196e+06,ns,,,,,,0,0,4000,112
"BM_run/5000",65,1.06852e+07,1.06762e+07,ns,,,,,,0,0,5000,65
"BM_run/6000",50,1.17407e+07,1.17309e+07,ns,,,,,,0,0,6000,50
"BM_run/7000",57,1.42777e+07,1.42667e+07,ns,,,,,,0,0,7000,57
"BM_run/8000",48,1.52033e+07,1.51908e+07,ns,,,,,,0,0,8000,48
"BM_run/9000",38,1.57473e+07,1.57342e+07,ns,,,,,,0,0,9000,40
"BM_run/10000",41,1.81853e+07,1.81702e+07,ns,,,,,,0,0,10000,41
"BM_run/20000",28,3.60558e+07,3.60259e+07,ns,,,,,,0,0,20000,28
"BM_run/30000",10,5.14045e+07,5.13592e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",6,1.03953e+08,1.0388e+08,ns,,,,,,0,0,40000,6
"BM_run/50000",9,1.45721e+08,1.45618e+08,ns,,,,,,0,0,50000,9
"BM_run/60000",9,7.5123e+07,7.50524e+07,ns,,,,,,0,0,60000,9
"BM_run/70000",4,1.46523e+08,1.46413e+08,ns,,,,,,0,0,70000,4
"BM_run/80000",7,1.06918e+08,1.06824e+08,ns,,,,,,0,0,80000,7
"BM_run/90000",7,1.82083e+08,1.81937e+08,ns,,,,,,0,0,90000,7
"BM_run/100000",4,1.84243e+08,1.84102e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",2,7.76383e+08,7.75862e+08,ns,,,,,,0,0,200000,2
"BM_run/300000",2,5.5431e+08,5.53854e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",1,1.24812e+09,1.24729e+09,ns,,,,,,0,0,400000,1
"BM_run/500000",1,1.58668e+09,1.58572e+09,ns,,,,,,0,0,500000,1
"BM_run/600000",2,5.77909e+08,5.77246e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",1,1.01281e+09,1.01191e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,1.75497e+09,1.75368e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.65393e+09,1.65261e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.4618e+09,1.46057e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.90779e+09,3.90486e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.78729e+09,1.78512e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.41409e+09,3.41016e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.96701e+09,5.96121e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,7.96016e+09,7.95253e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.32677e+10,1.32576e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,6.71639e+09,6.70863e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,6.01251e+09,6.00509e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,4.2696e+10,4.26694e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.68353e+10,1.68159e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.14645e+10,2.14388e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,3.77556e+10,3.77163e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,6.63889e+10,6.63289e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.92419e+10,3.91948e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.7614e+11,1.7602e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.41255e+11,1.41146e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,9.81878e+10,9.80913e+10,ns,,,,,,0,0,9e+07,1
