Data structureconstruction time: 2514593534387 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4640055,161.24,151.691,ns,,,,,,0,0,1,9.7309e+14
"BM_run/2",294372,2451.6,2370.77,ns,,,,,,0,0,2,2.15328e+12
"BM_run/3",225852,3312.47,3094.54,ns,,,,,,0,0,3,2.7553e+11
"BM_run/4",99538,7380.83,7003.11,ns,,,,,,0,0,4,5.78182e+10
"BM_run/5",139315,5322.32,5007.88,ns,,,,,,0,0,5,5.1853e+10
"BM_run/6",69317,10393.7,9849.75,ns,,,,,,0,0,6,2.01359e+10
"BM_run/7",62052,11841.7,11235,ns,,,,,,0,0,7,1.45619e+10
"BM_run/8",43031,17229.4,16353.6,ns,,,,,,0,0,8,7.95346e+09
"BM_run/9",90534,8201.28,7849.83,ns,,,,,,0,0,9,1.32968e+10
"BM_run/10",51906,14053.6,13327.5,ns,,,,,,0,0,10,6.46069e+09
"BM_run/20",18630,38223.4,36860.4,ns,,,,,,0,0,20,3.9612e+08
"BM_run/30",8916,82170.2,77242.2,ns,,,,,,0,0,30,8.20304e+07
"BM_run/40",7181,102506,97237.1,ns,,,,,,0,0,40,2.62598e+07
"BM_run/50",5961,123952,117614,ns,,,,,,0,0,50,5.66226e+06
"BM_run/60",4505,162377,154023,ns,,,,,,0,0,60,1.09504e+06
"BM_run/70",4419,160687,154928,ns,,,,,,0,0,70,209942
"BM_run/80",3723,194219,185710,ns,,,,,,0,0,80,180588
"BM_run/90",3392,220563,211243,ns,,,,,,0,0,90,86489
"BM_run/100",3115,252135,238044,ns,,,,,,0,0,100,17677
"BM_run/200",1408,530714,499566,ns,,,,,,0,0,200,1565
"BM_run/300",926,786921,746232,ns,,,,,,0,0,300,926
"BM_run/400",798,1.05698e+06,1.00953e+06,ns,,,,,,0,0,400,798
"BM_run/500",516,1.29337e+06,1.23254e+06,ns,,,,,,0,0,500,516
"BM_run/600",419,1.61025e+06,1.52091e+06,ns,,,,,,0,0,600,419
"BM_run/700",448,1.8367e+06,1.73903e+06,ns,,,,,,0,0,700,448
"BM_run/800",349,1.99772e+06,1.90778e+06,ns,,,,,,0,0,800,349
"BM_run/900",287,2.26316e+06,2.13245e+06,ns,,,,,,0,0,900,287
"BM_run/1000",295,2.47661e+06,2.34939e+06,ns,,,,,,0,0,1000,295
"BM_run/2000",158,4.38316e+06,4.18403e+06,ns,,,,,,0,0,2000,158
"BM_run/3000",73,7.72039e+06,7.29075e+06,ns,,,,,,0,0,3000,73
"BM_run/4000",82,9.15469e+06,8.69588e+06,ns,,,,,,0,0,4000,82
"BM_run/5000",58,1.13085e+07,1.06587e+07,ns,,,,,,0,0,5000,58
"BM_run/6000",52,1.36014e+07,1.28732e+07,ns,,,,,,0,0,6000,52
"BM_run/7000",60,1.38482e+07,1.31169e+07,ns,,,,,,0,0,7000,60
"BM_run/8000",52,1.92539e+07,1.82877e+07,ns,,,,,,0,0,8000,52
"BM_run/9000",45,2.03395e+07,1.93643e+07,ns,,,,,,0,0,9000,45
"BM_run/10000",38,2.10334e+07,1.98802e+07,ns,,,,,,0,0,10000,38
"BM_run/20000",25,3.59719e+07,3.3966e+07,ns,,,,,,0,0,20000,25
"BM_run/30000",10,8.57361e+07,8.13564e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",14,6.34719e+07,6.03054e+07,ns,,,,,,0,0,40000,14
"BM_run/50000",11,9.42596e+07,8.91119e+07,ns,,,,,,0,0,50000,11
"BM_run/60000",12,9.08394e+07,8.61274e+07,ns,,,,,,0,0,60000,12
"BM_run/70000",4,1.46701e+08,1.40397e+08,ns,,,,,,0,0,70000,4
"BM_run/80000",11,1.5892e+08,1.50369e+08,ns,,,,,,0,0,80000,11
"BM_run/90000",3,2.57482e+08,2.42882e+08,ns,,,,,,0,0,90000,3
"BM_run/100000",6,3.28864e+08,3.12173e+08,ns,,,,,,0,0,100000,6
"BM_run/200000",1,1.51456e+09,1.43314e+09,ns,,,,,,0,0,200000,1
"BM_run/300000",3,3.07575e+08,2.90683e+08,ns,,,,,,0,0,300000,3
"BM_run/400000",3,6.73639e+08,6.37955e+08,ns,,,,,,0,0,400000,3
"BM_run/500000",1,9.06548e+08,8.62534e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",2,1.38786e+09,1.31563e+09,ns,,,,,,0,0,600000,2
"BM_run/700000",1,1.20129e+09,1.13843e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,6.0192e+08,5.70324e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,8.28077e+09,7.8493e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.13187e+09,1.06887e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.66209e+09,3.47279e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,4.27676e+09,4.04951e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,6.82778e+09,6.4687e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.13915e+10,1.07943e+10,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.60513e+09,4.36384e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,8.62388e+09,8.16837e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.61292e+09,5.315e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,2.20223e+10,2.08717e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,1.78376e+10,1.69005e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.45537e+10,1.37891e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.61796e+10,2.47994e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,2.90715e+10,2.75324e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,6.55765e+10,6.21309e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,2.07615e+11,1.96766e+11,ns,,,,,,0,0,6e+07,1
