Data structureconstruction time: 1666182377634 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4870937,149.448,144.224,ns,,,,,,0,0,1,1.02151e+15
"BM_run/2",549273,1338.14,1276.18,ns,,,,,,0,0,2,2.98485e+13
"BM_run/3",248717,2962.42,2818.13,ns,,,,,,0,0,3,3.62706e+12
"BM_run/4",147419,4902.55,4739.18,ns,,,,,,0,0,4,5.87424e+11
"BM_run/5",84392,8778.21,8339.03,ns,,,,,,0,0,5,9.22666e+10
"BM_run/6",59289,12487.8,11757.4,ns,,,,,,0,0,6,1.81036e+10
"BM_run/7",45346,16290.5,15464.1,ns,,,,,,0,0,7,3.91413e+09
"BM_run/8",36127,20342.5,19304.2,ns,,,,,,0,0,8,9.27742e+08
"BM_run/9",29842,24502.2,23445.7,ns,,,,,,0,0,9,2.41228e+08
"BM_run/10",25213,29645.8,27904.5,ns,,,,,,0,0,10,7.47415e+07
"BM_run/20",8924,82073.6,77849.2,ns,,,,,,0,0,20,766896
"BM_run/30",7417,98514.5,93427.3,ns,,,,,,0,0,30,110691
"BM_run/40",6711,110810,105189,ns,,,,,,0,0,40,31118
"BM_run/50",5994,124181,116849,ns,,,,,,0,0,50,15169
"BM_run/60",5501,132127,126376,ns,,,,,,0,0,60,9074
"BM_run/70",5167,142851,135542,ns,,,,,,0,0,70,8316
"BM_run/80",4847,155762,146671,ns,,,,,,0,0,80,6135
"BM_run/90",4426,161995,154825,ns,,,,,,0,0,90,5491
"BM_run/100",4260,174814,164462,ns,,,,,,0,0,100,4990
"BM_run/200",2788,266662,253096,ns,,,,,,0,0,200,2846
"BM_run/300",2069,354435,336183,ns,,,,,,0,0,300,2094
"BM_run/400",1663,448981,426332,ns,,,,,,0,0,400,1684
"BM_run/500",1332,538575,510220,ns,,,,,,0,0,500,1351
"BM_run/600",1228,641769,611098,ns,,,,,,0,0,600,1235
"BM_run/700",1009,714009,676470,ns,,,,,,0,0,700,1015
"BM_run/800",838,812705,775070,ns,,,,,,0,0,800,845
"BM_run/900",839,888876,836496,ns,,,,,,0,0,900,845
"BM_run/1000",767,1.00959e+06,952497,ns,,,,,,0,0,1000,771
"BM_run/2000",385,1.96486e+06,1.86649e+06,ns,,,,,,0,0,2000,387
"BM_run/3000",253,2.72594e+06,2.60111e+06,ns,,,,,,0,0,3000,254
"BM_run/4000",210,3.80376e+06,3.62393e+06,ns,,,,,,0,0,4000,211
"BM_run/5000",158,4.20255e+06,4.00319e+06,ns,,,,,,0,0,5000,159
"BM_run/6000",137,5.11871e+06,4.84383e+06,ns,,,,,,0,0,6000,138
"BM_run/7000",140,6.08425e+06,5.76951e+06,ns,,,,,,0,0,7000,140
"BM_run/8000",100,7.92358e+06,7.54623e+06,ns,,,,,,0,0,8000,101
"BM_run/9000",83,8.47544e+06,8.01975e+06,ns,,,,,,0,0,9000,84
"BM_run/10000",62,9.2615e+06,8.75419e+06,ns,,,,,,0,0,10000,62
"BM_run/20000",52,1.74197e+07,1.65717e+07,ns,,,,,,0,0,20000,52
"BM_run/30000",34,2.59754e+07,2.46808e+07,ns,,,,,,0,0,30000,34
"BM_run/40000",21,3.09934e+07,2.92022e+07,ns,,,,,,0,0,40000,21
"BM_run/50000",13,4.61521e+07,4.37296e+07,ns,,,,,,0,0,50000,13
"BM_run/60000",15,5.25514e+07,5.00334e+07,ns,,,,,,0,0,60000,15
"BM_run/70000",10,7.56283e+07,7.12354e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",11,9.58445e+07,9.07134e+07,ns,,,,,,0,0,80000,11
"BM_run/90000",11,7.73864e+07,7.33762e+07,ns,,,,,,0,0,90000,11
"BM_run/100000",8,6.77107e+07,6.45429e+07,ns,,,,,,0,0,100000,8
"BM_run/200000",5,1.93476e+08,1.83412e+08,ns,,,,,,0,0,200000,5
"BM_run/300000",4,2.03205e+08,1.92167e+08,ns,,,,,,0,0,300000,4
"BM_run/400000",2,3.77254e+08,3.58415e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",3,3.19407e+08,3.02575e+08,ns,,,,,,0,0,500000,3
"BM_run/600000",3,4.66484e+08,4.43371e+08,ns,,,,,,0,0,600000,3
"BM_run/700000",1,7.7984e+08,7.35944e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",2,6.63108e+08,6.28497e+08,ns,,,,,,0,0,800000,2
"BM_run/900000",1,7.62859e+08,7.18918e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,1.19298e+09,1.13014e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,3.28978e+09,3.12038e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.80359e+09,1.70883e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,4.3433e+09,4.11712e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,6.23323e+09,5.90673e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.19653e+09,3.02568e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.08406e+10,1.02768e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,6.85019e+09,6.49218e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,4.88039e+09,4.62157e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,5.78035e+09,5.47694e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,3.59158e+10,3.40426e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,1.57256e+10,1.48957e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,4.70563e+10,4.45952e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,2.36027e+10,2.23611e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.84e+10,3.63831e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,7.54445e+10,7.14941e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,9.76492e+10,9.25392e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,4.7193e+10,4.4707e+10,ns,,,,,,0,0,9e+07,1
