Data structureconstruction time: 3544248565620 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4607705,158.714,151.791,ns,,,,,,0,0,1,9.66306e+14
"BM_run/2",338767,2187.83,2064.37,ns,,,,,,0,0,2,4.69635e+12
"BM_run/3",263812,2849.81,2661.73,ns,,,,,,0,0,3,3.98402e+11
"BM_run/4",117407,6175.17,5906.54,ns,,,,,,0,0,4,4.24576e+10
"BM_run/5",178874,4125,3878.86,ns,,,,,,0,0,5,2.40568e+10
"BM_run/6",95887,7576.31,7246.11,ns,,,,,,0,0,6,4.78168e+09
"BM_run/7",92741,7845.64,7503.64,ns,,,,,,0,0,7,1.34373e+09
"BM_run/8",58012,12540.4,11890.6,ns,,,,,,0,0,8,3.2857e+08
"BM_run/9",115455,6435.74,6160.08,ns,,,,,,0,0,9,3.17837e+08
"BM_run/10",57884,12736.9,12190.3,ns,,,,,,0,0,10,7.11388e+07
"BM_run/20",13570,52820.2,50050.5,ns,,,,,,0,0,20,1.11466e+06
"BM_run/30",9811,77089.3,72625.1,ns,,,,,,0,0,30,330583
"BM_run/40",7594,97335.6,91572.4,ns,,,,,,0,0,40,85607
"BM_run/50",6253,115756,109735,ns,,,,,,0,0,50,60717
"BM_run/60",5401,137340,130366,ns,,,,,,0,0,60,52294
"BM_run/70",4822,157063,147982,ns,,,,,,0,0,70,8807
"BM_run/80",4216,175294,166361,ns,,,,,,0,0,80,7231
"BM_run/90",3839,195553,185737,ns,,,,,,0,0,90,7171
"BM_run/100",3371,216057,204907,ns,,,,,,0,0,100,5146
"BM_run/200",1831,400704,380137,ns,,,,,,0,0,200,2629
"BM_run/300",1326,595777,567355,ns,,,,,,0,0,300,1923
"BM_run/400",943,757192,717351,ns,,,,,,0,0,400,1315
"BM_run/500",738,934661,883763,ns,,,,,,0,0,500,1039
"BM_run/600",555,1.18302e+06,1.12652e+06,ns,,,,,,0,0,600,762
"BM_run/700",488,1.38097e+06,1.3039e+06,ns,,,,,,0,0,700,662
"BM_run/800",529,1.48433e+06,1.40139e+06,ns,,,,,,0,0,800,724
"BM_run/900",481,1.82272e+06,1.71808e+06,ns,,,,,,0,0,900,643
"BM_run/1000",423,1.96546e+06,1.86148e+06,ns,,,,,,0,0,1000,564
"BM_run/2000",191,3.73362e+06,3.53541e+06,ns,,,,,,0,0,2000,255
"BM_run/3000",127,5.18407e+06,4.88741e+06,ns,,,,,,0,0,3000,166
"BM_run/4000",75,8.99841e+06,8.57791e+06,ns,,,,,,0,0,4000,86
"BM_run/5000",65,9.36082e+06,8.87602e+06,ns,,,,,,0,0,5000,81
"BM_run/6000",62,1.09653e+07,1.03586e+07,ns,,,,,,0,0,6000,77
"BM_run/7000",65,1.4168e+07,1.33918e+07,ns,,,,,,0,0,7000,78
"BM_run/8000",43,1.47518e+07,1.38752e+07,ns,,,,,,0,0,8000,52
"BM_run/9000",35,1.59318e+07,1.50302e+07,ns,,,,,,0,0,9000,44
"BM_run/10000",50,1.66025e+07,1.57219e+07,ns,,,,,,0,0,10000,67
"BM_run/20000",21,2.98245e+07,2.8319e+07,ns,,,,,,0,0,20000,26
"BM_run/30000",10,5.71729e+07,5.4013e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",10,8.66364e+07,8.16172e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",13,8.10643e+07,7.67002e+07,ns,,,,,,0,0,50000,13
"BM_run/60000",12,1.21165e+08,1.14346e+08,ns,,,,,,0,0,60000,13
"BM_run/70000",2,3.92752e+08,3.70801e+08,ns,,,,,,0,0,70000,2
"BM_run/80000",5,1.49877e+08,1.4229e+08,ns,,,,,,0,0,80000,6
"BM_run/90000",4,1.52305e+08,1.44416e+08,ns,,,,,,0,0,90000,4
"BM_run/100000",6,2.07999e+08,1.97521e+08,ns,,,,,,0,0,100000,6
"BM_run/200000",2,3.62153e+08,3.43132e+08,ns,,,,,,0,0,200000,2
"BM_run/300000",2,3.7088e+08,3.48737e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,5.11422e+08,4.83094e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,5.41575e+08,5.16046e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,8.62873e+08,8.18606e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,2.12874e+09,2.01604e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,1.39176e+09,1.31602e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,2.42236e+09,2.29674e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,2.01598e+09,1.90918e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,5.91351e+09,5.60594e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,9.74795e+09,9.23945e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,4.52729e+09,4.28697e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.8587e+09,5.54837e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,2.01612e+10,1.91093e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,8.63557e+09,8.17979e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.36494e+10,1.29301e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.22536e+10,1.16087e+10,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,2.05483e+10,1.94725e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,2.78316e+10,2.63649e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,6.18979e+10,5.86493e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,1.45361e+11,1.37766e+11,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,9.45363e+10,8.9577e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,7.55062e+11,7.15651e+11,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,1.3019e+11,1.23363e+11,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,2.25826e+11,2.14025e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,1.0811e+11,1.02406e+11,ns,,,,,,0,0,9e+07,1
