Data structureconstruction time: 3616360140644 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4651493,160.472,150.64,ns,,,,,,0,0,1,9.75489e+14
"BM_run/2",364184,2036.03,1920.45,ns,,,,,,0,0,2,5.04948e+12
"BM_run/3",280715,2654.66,2498.64,ns,,,,,,0,0,3,4.23652e+11
"BM_run/4",124440,5887.73,5582.86,ns,,,,,,0,0,4,4.50834e+10
"BM_run/5",186778,3857.21,3750.76,ns,,,,,,0,0,5,2.49818e+10
"BM_run/6",100447,7291.12,6974.68,ns,,,,,,0,0,6,5.07359e+09
"BM_run/7",97428,7668.47,7214.21,ns,,,,,,0,0,7,1.38038e+09
"BM_run/8",61442,11887.8,11371.4,ns,,,,,,0,0,8,3.68852e+08
"BM_run/9",115036,6489.55,5944.63,ns,,,,,,0,0,9,3.05543e+08
"BM_run/10",59486,12512.1,11875.1,ns,,,,,,0,0,10,7.54087e+07
"BM_run/20",13842,51270.9,48993.7,ns,,,,,,0,0,20,1.26688e+06
"BM_run/30",9767,75580.8,71713.6,ns,,,,,,0,0,30,292461
"BM_run/40",7612,94949.9,90790.9,ns,,,,,,0,0,40,93568
"BM_run/50",6311,115582,109578,ns,,,,,,0,0,50,54912
"BM_run/60",5496,137015,130150,ns,,,,,,0,0,60,19883
"BM_run/70",4875,156815,147807,ns,,,,,,0,0,70,15444
"BM_run/80",4294,174684,165867,ns,,,,,,0,0,80,10196
"BM_run/90",3775,194988,184956,ns,,,,,,0,0,90,5982
"BM_run/100",3494,213569,202722,ns,,,,,,0,0,100,5928
"BM_run/200",1839,405447,384884,ns,,,,,,0,0,200,2739
"BM_run/300",1302,612411,578594,ns,,,,,,0,0,300,1871
"BM_run/400",989,804061,759518,ns,,,,,,0,0,400,1388
"BM_run/500",789,988120,932428,ns,,,,,,0,0,500,1107
"BM_run/600",639,1.22608e+06,1.1669e+06,ns,,,,,,0,0,600,883
"BM_run/700",518,1.3847e+06,1.31204e+06,ns,,,,,,0,0,700,720
"BM_run/800",462,1.53034e+06,1.44846e+06,ns,,,,,,0,0,800,631
"BM_run/900",452,1.67824e+06,1.59496e+06,ns,,,,,,0,0,900,638
"BM_run/1000",375,1.84697e+06,1.74679e+06,ns,,,,,,0,0,1000,524
"BM_run/2000",182,3.66894e+06,3.46128e+06,ns,,,,,,0,0,2000,247
"BM_run/3000",100,6.04214e+06,5.72932e+06,ns,,,,,,0,0,3000,135
"BM_run/4000",93,7.94192e+06,7.5361e+06,ns,,,,,,0,0,4000,118
"BM_run/5000",76,1.0406e+07,9.82581e+06,ns,,,,,,0,0,5000,85
"BM_run/6000",58,1.33196e+07,1.26681e+07,ns,,,,,,0,0,6000,68
"BM_run/7000",63,1.33232e+07,1.26221e+07,ns,,,,,,0,0,7000,78
"BM_run/8000",58,1.40607e+07,1.3297e+07,ns,,,,,,0,0,8000,69
"BM_run/9000",45,1.86797e+07,1.7701e+07,ns,,,,,,0,0,9000,48
"BM_run/10000",46,2.38899e+07,2.26594e+07,ns,,,,,,0,0,10000,51
"BM_run/20000",18,3.48589e+07,3.31058e+07,ns,,,,,,0,0,20000,18
"BM_run/30000",10,6.65035e+07,6.33442e+07,ns,,,,,,0,0,30000,11
"BM_run/40000",7,7.88374e+07,7.43522e+07,ns,,,,,,0,0,40000,7
"BM_run/50000",9,1.07136e+08,1.01517e+08,ns,,,,,,0,0,50000,9
"BM_run/60000",9,9.9469e+07,9.38683e+07,ns,,,,,,0,0,60000,9
"BM_run/70000",6,1.159e+08,1.10596e+08,ns,,,,,,0,0,70000,6
"BM_run/80000",7,1.40146e+08,1.32914e+08,ns,,,,,,0,0,80000,7
"BM_run/90000",7,1.81481e+08,1.71618e+08,ns,,,,,,0,0,90000,7
"BM_run/100000",4,2.01729e+08,1.90693e+08,ns,,,,,,0,0,100000,4
"BM_run/200000",1,7.53383e+08,7.158e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",2,5.37565e+08,5.09227e+08,ns,,,,,,0,0,300000,2
"BM_run/400000",2,6.8309e+08,6.4531e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,6.33758e+08,6.0216e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,6.53559e+08,6.21718e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.03085e+09,9.74164e+08,ns,,,,,,0,0,700000,1
