Data structureconstruction time: 1439192789442 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4652271,157.179,150.247,ns,,,,,,0,0,1,6.946e+13
"BM_run/2",654560,1110.34,1068.22,ns,,,,,,0,0,2,5.15819e+12
"BM_run/3",503232,1464.47,1394.55,ns,,,,,,0,0,3,2.61177e+12
"BM_run/4",368691,1980.15,1899.64,ns,,,,,,0,0,4,1.53469e+12
"BM_run/5",634215,1145.72,1092.08,ns,,,,,,0,0,5,1.98628e+12
"BM_run/6",457669,1595.31,1531.98,ns,,,,,,0,0,6,1.25328e+12
"BM_run/7",362038,2050.24,1935.38,ns,,,,,,0,0,7,8.50097e+11
"BM_run/8",297325,2475.51,2355.3,ns,,,,,,0,0,8,5.80636e+11
"BM_run/9",642641,1131.53,1088.54,ns,,,,,,0,0,9,1.15923e+12
"BM_run/10",442669,1673.26,1580.13,ns,,,,,,0,0,10,7.31983e+11
"BM_run/20",273576,2680.11,2548.91,ns,,,,,,0,0,20,2.19408e+11
"BM_run/30",100000,5253.74,5010.76,ns,,,,,,0,0,30,5.47675e+10
"BM_run/40",219110,3378.89,3185.6,ns,,,,,,0,0,40,8.98914e+10
"BM_run/50",115491,6402.99,6085.41,ns,,,,,,0,0,50,3.76062e+10
"BM_run/60",79114,9200.5,8809.07,ns,,,,,,0,0,60,2.12103e+10
"BM_run/70",240722,3059.99,2907.95,ns,,,,,,0,0,70,5.68821e+10
"BM_run/80",124955,5873.92,5578.33,ns,,,,,,0,0,80,2.55477e+10
"BM_run/90",87590,8381.99,7959.21,ns,,,,,,0,0,90,1.52826e+10
"BM_run/100",77159,9689.84,9129.32,ns,,,,,,0,0,100,1.25283e+10
"BM_run/200",42417,17439.1,16412.7,ns,,,,,,0,0,200,3.49548e+09
"BM_run/300",55058,13421.3,12742.9,ns,,,,,,0,0,300,3.03325e+09
"BM_run/400",23371,31665,29796.5,ns,,,,,,0,0,400,9.32465e+08
"BM_run/500",14202,52146.4,49077.4,ns,,,,,,0,0,500,4.71494e+08
"BM_run/600",29596,24920.4,23651.3,ns,,,,,,0,0,600,7.78956e+08
"BM_run/700",16211,45666.9,43352,ns,,,,,,0,0,700,3.77721e+08
"BM_run/800",13543,53563.1,50333.9,ns,,,,,,0,0,800,2.80772e+08
"BM_run/900",10637,70921.1,67390.2,ns,,,,,,0,0,900,1.92306e+08
"BM_run/1000",8046,92204.4,86770.7,ns,,,,,,0,0,1000,1.26655e+08
"BM_run/2000",3942,189397,178299,ns,,,,,,0,0,2000,3.28806e+07
"BM_run/3000",3569,208917,198426,ns,,,,,,0,0,3000,1.94989e+07
"BM_run/4000",2281,320166,303671,ns,,,,,,0,0,4000,9.05718e+06
"BM_run/5000",5565,133775,127020,ns,,,,,,0,0,5000,1.83176e+07
"BM_run/6000",2806,261972,248541,ns,,,,,,0,0,6000,7.66162e+06
"BM_run/7000",1961,373925,354705,ns,,,,,,0,0,7000,4.41557e+06
"BM_run/8000",1475,511387,481724,ns,,,,,,0,0,8000,3.05625e+06
"BM_run/9000",5454,137151,130260,ns,,,,,,0,0,9000,1.00602e+07
