Data structureconstruction time: 3040504130231 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4799368,159.324,146.261,ns,,,,,,0,0,1,1.0065e+15
"BM_run/2",4590148,158.146,152.329,ns,,,,,,0,0,2,5.6961e+13
"BM_run/3",3275393,224.888,213.5,ns,,,,,,0,0,3,2.46484e+12
"BM_run/4",1817327,405.049,385.182,ns,,,,,,0,0,4,8.57653e+10
"BM_run/5",815673,920.017,850.802,ns,,,,,,0,0,5,2.8529e+09
"BM_run/6",502088,1518.38,1392.21,ns,,,,,,0,0,6,3.10912e+08
"BM_run/7",365145,2004.68,1915.19,ns,,,,,,0,0,7,1.3245e+08
"BM_run/8",290304,2504.26,2412.95,ns,,,,,,0,0,8,8.9177e+07
"BM_run/9",241185,3057.7,2898.31,ns,,,,,,0,0,9,6.42866e+07
"BM_run/10",206872,3538.35,3382.02,ns,,,,,,0,0,10,4.90029e+07
"BM_run/20",86650,8573.18,8067.01,ns,,,,,,0,0,20,8.84123e+06
"BM_run/30",55667,13377.5,12590.6,ns,,,,,,0,0,30,2.95445e+06
"BM_run/40",41186,18117.4,17046.3,ns,,,,,,0,0,40,1.55103e+06
"BM_run/50",32588,22401.5,21434,ns,,,,,,0,0,50,1.00422e+06
"BM_run/60",27011,27440.2,25806.8,ns,,,,,,0,0,60,665689
"BM_run/70",23173,31534.2,30170.9,ns,,,,,,0,0,70,554057
"BM_run/80",20342,35744.7,34493.9,ns,,,,,,0,0,80,455150
"BM_run/90",18051,40811.9,38723.1,ns,,,,,,0,0,90,350897
"BM_run/100",16259,45804.3,43109.7,ns,,,,,,0,0,100,317054
"BM_run/200",8219,89569.7,84975.4,ns,,,,,,0,0,200,107296
"BM_run/300",5589,130844,125192,ns,,,,,,0,0,300,65053
"BM_run/400",4214,171918,164430,ns,,,,,,0,0,400,41251
"BM_run/500",3444,213297,202362,ns,,,,,,0,0,500,21914
"BM_run/600",2932,251368,238511,ns,,,,,,0,0,600,21626
"BM_run/700",2504,290681,275602,ns,,,,,,0,0,700,22712
"BM_run/800",2240,328081,311272,ns,,,,,,0,0,800,13621
"BM_run/900",2004,368273,349498,ns,,,,,,0,0,900,7725
"BM_run/1000",1814,406678,385946,ns,,,,,,0,0,1000,7344
"BM_run/2000",916,780981,739885,ns,,,,,,0,0,2000,2370
"BM_run/3000",650,1.18457e+06,1.1169e+06,ns,,,,,,0,0,3000,1151
"BM_run/4000",467,1.55013e+06,1.46937e+06,ns,,,,,,0,0,4000,625
"BM_run/5000",420,1.85833e+06,1.76843e+06,ns,,,,,,0,0,5000,424
"BM_run/6000",343,2.28076e+06,2.15239e+06,ns,,,,,,0,0,6000,405
