Data structureconstruction time: 1589541612651 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4772864,157.864,147.292,ns,,,,,,0,0,1,1.00094e+15
"BM_run/2",798557,914.857,874.292,ns,,,,,,0,0,2,4.18674e+13
"BM_run/3",337891,2157.66,2071.26,ns,,,,,,0,0,3,4.42881e+12
"BM_run/4",219826,3316.03,3180.31,ns,,,,,,0,0,4,7.20327e+11
"BM_run/5",132219,5545.78,5268.11,ns,,,,,,0,0,5,1.08314e+11
"BM_run/6",89358,8384.22,7901.44,ns,,,,,,0,0,6,1.83004e+10
"BM_run/7",62751,11777.8,11082.8,ns,,,,,,0,0,7,3.21291e+09
"BM_run/8",46435,15750.9,15073.8,ns,,,,,,0,0,8,5.94403e+08
"BM_run/9",36356,20447.6,19247.8,ns,,,,,,0,0,9,1.16371e+08
"BM_run/10",29835,25092.1,23624.6,ns,,,,,,0,0,10,2.39035e+07
"BM_run/20",9648,76026.4,72093.7,ns,,,,,,0,0,20,9655
"BM_run/30",8500,86265.3,81810.6,ns,,,,,,0,0,30,8500
"BM_run/40",7649,96886,91946.4,ns,,,,,,0,0,40,7649
"BM_run/50",6782,107528,101948,ns,,,,,,0,0,50,6782
"BM_run/60",6302,117947,110973,ns,,,,,,0,0,60,6302
"BM_run/70",5888,126830,120421,ns,,,,,,0,0,70,5888
"BM_run/80",5431,138097,130026,ns,,,,,,0,0,80,5431
"BM_run/90",5069,147080,138398,ns,,,,,,0,0,90,5069
"BM_run/100",4684,157029,148963,ns,,,,,,0,0,100,4684
"BM_run/200",2915,252925,239981,ns,,,,,,0,0,200,2915
"BM_run/300",2082,347121,328993,ns,,,,,,0,0,300,2082
"BM_run/400",1677,449270,426696,ns,,,,,,0,0,400,1677
"BM_run/500",1000,539759,508431,ns,,,,,,0,0,500,1000
"BM_run/600",1076,644405,609409,ns,,,,,,0,0,600,1076
"BM_run/700",1052,755769,713995,ns,,,,,,0,0,700,1052
"BM_run/800",990,830720,786337,ns,,,,,,0,0,800,990
"BM_run/900",773,895304,846529,ns,,,,,,0,0,900,773
"BM_run/1000",737,999040,947706,ns,,,,,,0,0,1000,737
"BM_run/2000",364,1.98447e+06,1.88068e+06,ns,,,,,,0,0,2000,364
"BM_run/3000",255,2.93299e+06,2.76022e+06,ns,,,,,,0,0,3000,255
"BM_run/4000",201,3.77956e+06,3.56059e+06,ns,,,,,,0,0,4000,201
"BM_run/5000",149,4.68853e+06,4.43498e+06,ns,,,,,,0,0,5000,149
"BM_run/6000",100,5.52221e+06,5.26867e+06,ns,,,,,,0,0,6000,100
"BM_run/7000",118,7.29026e+06,6.91688e+06,ns,,,,,,0,0,7000,118
"BM_run/8000",132,6.50384e+06,6.12224e+06,ns,,,,,,0,0,8000,132
"BM_run/9000",80,8.56598e+06,8.09493e+06,ns,,,,,,0,0,9000,80
"BM_run/10000",65,1.0303e+07,9.72189e+06,ns,,,,,,0,0,10000,65
"BM_run/20000",33,1.67826e+07,1.60159e+07,ns,,,,,,0,0,20000,33
"BM_run/30000",28,2.34828e+07,2.23551e+07,ns,,,,,,0,0,30000,28
"BM_run/40000",27,3.33214e+07,3.16834e+07,ns,,,,,,0,0,40000,27
"BM_run/50000",15,3.98165e+07,3.77223e+07,ns,,,,,,0,0,50000,15
"BM_run/60000",17,4.97819e+07,4.71998e+07,ns,,,,,,0,0,60000,17
"BM_run/70000",10,5.48314e+07,5.17003e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",8,8.80722e+07,8.33311e+07,ns,,,,,,0,0,80000,8
"BM_run/90000",10,1.11334e+08,1.05686e+08,ns,,,,,,0,0,90000,10
"BM_run/100000",10,6.56981e+07,6.19214e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",7,2.00698e+08,1.89911e+08,ns,,,,,,0,0,200000,7
"BM_run/300000",4,3.13787e+08,2.96491e+08,ns,,,,,,0,0,300000,4
"BM_run/400000",4,3.35681e+08,3.18341e+08,ns,,,,,,0,0,400000,4
"BM_run/500000",2,4.45841e+08,4.20823e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",2,7.9031e+08,7.49474e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",2,5.79887e+08,5.4847e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,7.5024e+08,7.12449e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,6.94503e+08,6.56883e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,5.3601e+08,5.04584e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.1768e+09,1.1197e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.98749e+09,1.88003e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,2.87834e+09,2.72703e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.58562e+09,2.45299e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.23204e+09,4.00596e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.89255e+09,3.69094e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.10411e+09,4.83376e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.03449e+10,9.80561e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,1.12204e+10,1.06362e+10,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.43873e+10,1.36297e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.32143e+10,2.19931e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,2.06227e+10,1.95372e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,3.65379e+10,3.46267e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.48806e+10,3.30432e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,3.50671e+10,3.32205e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,1.34753e+11,1.27714e+11,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,7.43109e+10,7.04114e+10,ns,,,,,,0,0,9e+07,1
