Data structureconstruction time: 1661619800329 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4505169,160.418,155.995,ns,,,,,,0,0,1,9.44802e+14
"BM_run/2",306501,2421.3,2285.53,ns,,,,,,0,0,2,1.60695e+13
"BM_run/3",318251,2327.08,2196.19,ns,,,,,,0,0,3,4.17138e+12
"BM_run/4",156055,4719.62,4485.74,ns,,,,,,0,0,4,5.11361e+11
"BM_run/5",240984,3082.63,2905.7,ns,,,,,,0,0,5,1.97414e+11
"BM_run/6",118855,6092.61,5729.72,ns,,,,,,0,0,6,2.43415e+10
"BM_run/7",106137,6899.54,6664.21,ns,,,,,,0,0,7,5.43434e+09
"BM_run/8",72377,10067,9715.99,ns,,,,,,0,0,8,9.26462e+08
"BM_run/9",198167,3726.61,3537.5,ns,,,,,,0,0,9,6.34314e+08
"BM_run/10",128330,5708.08,5415.35,ns,,,,,,0,0,10,1.02812e+08
"BM_run/20",22443,32923.9,31238.2,ns,,,,,,0,0,20,22460
"BM_run/30",17048,43413.8,41211,ns,,,,,,0,0,30,17048
"BM_run/40",13899,53967.5,50806.9,ns,,,,,,0,0,40,13899
"BM_run/50",11990,63385.5,60221.1,ns,,,,,,0,0,50,11990
"BM_run/60",9933,73044.7,69247.1,ns,,,,,,0,0,60,9933
"BM_run/70",8625,83271,78881.8,ns,,,,,,0,0,70,8625
"BM_run/80",7700,93265.7,88337.6,ns,,,,,,0,0,80,7700
"BM_run/90",7282,103091,97077.6,ns,,,,,,0,0,90,7282
"BM_run/100",6512,111073,105282,ns,,,,,,0,0,100,6512
"BM_run/200",3493,210778,199973,ns,,,,,,0,0,200,3493
"BM_run/300",2397,297289,281611,ns,,,,,,0,0,300,2397
"BM_run/400",1838,393158,372616,ns,,,,,,0,0,400,1838
"BM_run/500",1456,493931,468031,ns,,,,,,0,0,500,1456
"BM_run/600",1398,585272,553758,ns,,,,,,0,0,600,1398
"BM_run/700",1123,698372,664863,ns,,,,,,0,0,700,1123
"BM_run/800",952,767127,727646,ns,,,,,,0,0,800,952
"BM_run/900",888,868269,825836,ns,,,,,,0,0,900,888
"BM_run/1000",806,975237,920453,ns,,,,,,0,0,1000,806
"BM_run/2000",389,1.90615e+06,1.80941e+06,ns,,,,,,0,0,2000,389
"BM_run/3000",255,2.78973e+06,2.64129e+06,ns,,,,,,0,0,3000,255
"BM_run/4000",202,4.03113e+06,3.8133e+06,ns,,,,,,0,0,4000,202
"BM_run/5000",130,4.83079e+06,4.58849e+06,ns,,,,,,0,0,5000,130
"BM_run/6000",135,5.32977e+06,5.0501e+06,ns,,,,,,0,0,6000,135
"BM_run/7000",87,6.27538e+06,5.98402e+06,ns,,,,,,0,0,7000,87
"BM_run/8000",104,6.53593e+06,6.1707e+06,ns,,,,,,0,0,8000,104
"BM_run/9000",88,9.09531e+06,8.59603e+06,ns,,,,,,0,0,9000,88
"BM_run/10000",82,9.55507e+06,9.01762e+06,ns,,,,,,0,0,10000,82
"BM_run/20000",40,2.04269e+07,1.94834e+07,ns,,,,,,0,0,20000,40
"BM_run/30000",24,2.56181e+07,2.4304e+07,ns,,,,,,0,0,30000,24
"BM_run/40000",22,3.13952e+07,2.99582e+07,ns,,,,,,0,0,40000,22
"BM_run/50000",15,5.37279e+07,5.12201e+07,ns,,,,,,0,0,50000,15
"BM_run/60000",10,5.29575e+07,5.04352e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",10,5.76878e+07,5.45384e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",10,5.31572e+07,5.06215e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",12,6.57895e+07,6.26226e+07,ns,,,,,,0,0,90000,12
"BM_run/100000",7,1.29539e+08,1.2239e+08,ns,,,,,,0,0,100000,7
"BM_run/200000",3,3.19333e+08,3.02524e+08,ns,,,,,,0,0,200000,3
"BM_run/300000",5,1.63931e+08,1.55087e+08,ns,,,,,,0,0,300000,5
"BM_run/400000",4,3.39275e+08,3.20403e+08,ns,,,,,,0,0,400000,4
"BM_run/500000",2,5.98859e+08,5.67438e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",2,5.76049e+08,5.47753e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",2,3.78848e+08,3.59918e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",2,4.522e+08,4.29975e+08,ns,,,,,,0,0,800000,2
"BM_run/900000",1,5.57904e+08,5.26267e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,8.84693e+08,8.40489e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.1751e+09,1.11217e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,2.15877e+09,2.04518e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.44105e+09,3.25854e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.6812e+09,2.54156e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.76891e+09,5.46678e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,7.77598e+09,7.36786e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,4.37871e+09,4.1449e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,5.61507e+09,5.32451e+09,ns,,,,,,0,0,9e+06,1
"BM_run/10000000",1,7.31587e+09,6.93069e+09,ns,,,,,,0,0,1e+07,1
"BM_run/20000000",1,1.06656e+10,1.01026e+10,ns,,,,,,0,0,2e+07,1
"BM_run/30000000",1,2.43966e+10,2.31122e+10,ns,,,,,,0,0,3e+07,1
"BM_run/40000000",1,2.28575e+10,2.1656e+10,ns,,,,,,0,0,4e+07,1
"BM_run/50000000",1,2.97327e+10,2.81676e+10,ns,,,,,,0,0,5e+07,1
"BM_run/60000000",1,3.90477e+10,3.69973e+10,ns,,,,,,0,0,6e+07,1
"BM_run/70000000",1,7.02708e+10,6.6589e+10,ns,,,,,,0,0,7e+07,1
"BM_run/80000000",1,3.89837e+10,3.69253e+10,ns,,,,,,0,0,8e+07,1
"BM_run/90000000",1,4.38612e+10,4.15501e+10,ns,,,,,,0,0,9e+07,1
