Data structureconstruction time: 930015430592 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4784381,153.159,146.286,ns,,,,,,0,0,1,1.00336e+15
"BM_run/2",336272,2147.21,2076.62,ns,,,,,,0,0,2,1.13744e+12
"BM_run/3",83042,9138.97,8538.15,ns,,,,,,0,0,3,4.53061e+09
"BM_run/4",31598,23031,22211.8,ns,,,,,,0,0,4,2.7837e+07
"BM_run/5",16231,45240.3,42905,ns,,,,,,0,0,5,247118
"BM_run/6",11743,64138.8,60915.3,ns,,,,,,0,0,6,14510
"BM_run/7",8403,87085.4,81848.7,ns,,,,,,0,0,7,8433
"BM_run/8",7814,94305.4,89481.7,ns,,,,,,0,0,8,7814
"BM_run/9",7438,97583.2,93353.7,ns,,,,,,0,0,9,7438
"BM_run/10",7230,100418,96074.5,ns,,,,,,0,0,10,7230
"BM_run/20",5336,136763,129723,ns,,,,,,0,0,20,5336
"BM_run/30",4328,170960,162251,ns,,,,,,0,0,30,4328
"BM_run/40",3621,206489,194391,ns,,,,,,0,0,40,3621
"BM_run/50",3050,241783,229438,ns,,,,,,0,0,50,3050
"BM_run/60",2698,275170,261185,ns,,,,,,0,0,60,2698
"BM_run/70",2467,298182,282939,ns,,,,,,0,0,70,2467
"BM_run/80",2180,333980,316726,ns,,,,,,0,0,80,2180
"BM_run/90",1931,379575,363249,ns,,,,,,0,0,90,1931
"BM_run/100",1793,414588,393593,ns,,,,,,0,0,100,1793
"BM_run/200",964,750347,711413,ns,,,,,,0,0,200,964
"BM_run/300",673,1.10159e+06,1.04567e+06,ns,,,,,,0,0,300,673
"BM_run/400",480,1.35649e+06,1.29107e+06,ns,,,,,,0,0,400,480
"BM_run/500",382,1.6837e+06,1.60173e+06,ns,,,,,,0,0,500,382
"BM_run/600",355,2.05761e+06,1.9514e+06,ns,,,,,,0,0,600,355
"BM_run/700",306,2.44478e+06,2.30133e+06,ns,,,,,,0,0,700,306
"BM_run/800",275,2.73348e+06,2.5959e+06,ns,,,,,,0,0,800,275
"BM_run/900",236,3.05674e+06,2.89621e+06,ns,,,,,,0,0,900,236
"BM_run/1000",201,3.40974e+06,3.2228e+06,ns,,,,,,0,0,1000,201
"BM_run/2000",111,6.67793e+06,6.33791e+06,ns,,,,,,0,0,2000,111
"BM_run/3000",95,9.70857e+06,9.17931e+06,ns,,,,,,0,0,3000,95
"BM_run/4000",42,1.2832e+07,1.20879e+07,ns,,,,,,0,0,4000,42
"BM_run/5000",55,1.44371e+07,1.36395e+07,ns,,,,,,0,0,5000,55
"BM_run/6000",41,2.02692e+07,1.91995e+07,ns,,,,,,0,0,6000,41
"BM_run/7000",37,1.96168e+07,1.86005e+07,ns,,,,,,0,0,7000,37
"BM_run/8000",27,2.40377e+07,2.28739e+07,ns,,,,,,0,0,8000,27
"BM_run/9000",25,2.86612e+07,2.7155e+07,ns,,,,,,0,0,9000,25
"BM_run/10000",30,3.62681e+07,3.43735e+07,ns,,,,,,0,0,10000,30
"BM_run/20000",13,8.51467e+07,8.12518e+07,ns,,,,,,0,0,20000,13
"BM_run/30000",6,1.05262e+08,1.00005e+08,ns,,,,,,0,0,30000,6
"BM_run/40000",10,1.41098e+08,1.33557e+08,ns,,,,,,0,0,40000,10
"BM_run/50000",7,1.97407e+08,1.86663e+08,ns,,,,,,0,0,50000,7
