Data structureconstruction time: 15350626039 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4626642,150.691,151.759,ns,,,,,,0,0,1,4.85139e+13
"BM_run/2",199181,3518.89,3524.14,ns,,,,,,0,0,2,7.46664e+10
"BM_run/3",108281,6328.09,6327.03,ns,,,,,,0,0,3,7.91158e+09
"BM_run/4",73114,9611.33,9608.15,ns,,,,,,0,0,4,2.76275e+09
"BM_run/5",77206,8999.75,8996.19,ns,,,,,,0,0,5,1.9458e+09
"BM_run/6",61540,11227.2,11221.4,ns,,,,,,0,0,6,1.25132e+09
"BM_run/7",57526,12188.6,12182.2,ns,,,,,,0,0,7,9.62554e+08
"BM_run/8",51134,13729.6,13721.9,ns,,,,,,0,0,8,6.94579e+08
"BM_run/9",61559,11475.7,11468.9,ns,,,,,,0,0,9,6.72636e+08
"BM_run/10",53892,12914.5,12907.2,ns,,,,,,0,0,10,5.15009e+08
"BM_run/20",31002,22179.6,22163.6,ns,,,,,,0,0,20,7.34555e+07
"BM_run/30",19744,34798.9,34770.2,ns,,,,,,0,0,30,1.97918e+07
"BM_run/40",15507,45115.4,45075.6,ns,,,,,,0,0,40,4.22994e+06
"BM_run/50",13187,55031.7,54980.2,ns,,,,,,0,0,50,1.61485e+06
"BM_run/60",10131,67430.9,67368.5,ns,,,,,,0,0,60,490006
"BM_run/70",9225,74757.7,74689.9,ns,,,,,,0,0,70,216226
"BM_run/80",7889,89026,88939.6,ns,,,,,,0,0,80,122731
"BM_run/90",6822,105205,105101,ns,,,,,,0,0,90,55453
"BM_run/100",6024,114610,114501,ns,,,,,,0,0,100,26810
"BM_run/200",2754,258808,258569,ns,,,,,,0,0,200,2754
"BM_run/300",1793,401927,401564,ns,,,,,,0,0,300,1793
"BM_run/400",1245,536365,535895,ns,,,,,,0,0,400,1245
"BM_run/500",1074,671101,670497,ns,,,,,,0,0,500,1074
"BM_run/600",1074,768850,768161,ns,,,,,,0,0,600,1074
"BM_run/700",715,905538,904699,ns,,,,,,0,0,700,715
"BM_run/800",673,1.08649e+06,1.08553e+06,ns,,,,,,0,0,800,673
"BM_run/900",593,1.19599e+06,1.19494e+06,ns,,,,,,0,0,900,593
"BM_run/1000",524,1.22183e+06,1.22068e+06,ns,,,,,,0,0,1000,524
"BM_run/2000",240,2.69911e+06,2.69698e+06,ns,,,,,,0,0,2000,240
"BM_run/3000",218,4.53733e+06,4.5338e+06,ns,,,,,,0,0,3000,218
"BM_run/4000",149,6.0498e+06,6.04505e+06,ns,,,,,,0,0,4000,149
"BM_run/5000",100,7.59089e+06,7.58506e+06,ns,,,,,,0,0,5000,100
"BM_run/6000",100,8.98672e+06,8.98003e+06,ns,,,,,,0,0,6000,100
"BM_run/7000",85,9.33955e+06,9.33214e+06,ns,,,,,,0,0,7000,85
"BM_run/8000",65,1.04867e+07,1.04785e+07,ns,,,,,,0,0,8000,65
"BM_run/9000",57,1.00427e+07,1.00346e+07,ns,,,,,,0,0,9000,57
"BM_run/10000",63,1.41683e+07,1.41576e+07,ns,,,,,,0,0,10000,63
"BM_run/20000",36,2.87945e+07,2.87737e+07,ns,,,,,,0,0,20000,36
"BM_run/30000",17,3.61925e+07,3.61652e+07,ns,,,,,,0,0,30000,17
"BM_run/40000",10,6.18409e+07,6.17971e+07,ns,,,,,,0,0,40000,10
"BM_run/50000",19,5.23459e+07,5.23031e+07,ns,,,,,,0,0,50000,19
"BM_run/60000",10,1.08744e+08,1.08667e+08,ns,,,,,,0,0,60000,10
"BM_run/70000",16,1.0748e+08,1.07402e+08,ns,,,,,,0,0,70000,16
"BM_run/80000",19,6.21017e+07,6.20507e+07,ns,,,,,,0,0,80000,19
"BM_run/90000",10,1.06604e+08,1.06521e+08,ns,,,,,,0,0,90000,10
"BM_run/100000",15,9.28518e+07,9.27758e+07,ns,,,,,,0,0,100000,15
"BM_run/200000",1,7.12393e+08,7.11931e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",3,4.07121e+08,4.06824e+08,ns,,,,,,0,0,300000,3
"BM_run/400000",2,7.74891e+08,7.74346e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,9.73336e+08,9.72682e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",1,6.47662e+08,6.47153e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,8.9382e+08,8.93127e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",3,8.56341e+08,8.55707e+08,ns,,,,,,0,0,800000,3
"BM_run/900000",3,7.67144e+08,7.66486e+08,ns,,,,,,0,0,900000,3
"BM_run/1000000",1,3.21857e+09,3.21654e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,1.5173e+09,1.51597e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,4.10277e+09,4.0997e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.36576e+09,3.36283e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.12436e+10,2.12307e+10,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.41025e+09,1.4088e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,5.95937e+09,5.95428e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,3.98404e+10,3.98162e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.73922e+10,1.73802e+10,ns,,,,,,0,0,9e+06,1
