Data structureconstruction time: 13339074085 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4624322,150.952,151.813,ns,,,,,,0,0,1,4.84895e+13
"BM_run/2",199362,3511.88,3515.53,ns,,,,,,0,0,2,7.4744e+10
"BM_run/3",104773,6484.49,6483.39,ns,,,,,,0,0,3,7.65016e+09
"BM_run/4",72539,9728.14,9724.21,ns,,,,,,0,0,4,2.7537e+09
"BM_run/5",77474,9072.32,9068.39,ns,,,,,,0,0,5,1.9483e+09
"BM_run/6",62075,11263.2,11257.7,ns,,,,,,0,0,6,1.26219e+09
"BM_run/7",57271,12258.4,12251.2,ns,,,,,,0,0,7,9.56783e+08
"BM_run/8",50499,13853.8,13845.8,ns,,,,,,0,0,8,6.8714e+08
"BM_run/9",61470,11453.6,11446.5,ns,,,,,,0,0,9,6.70824e+08
"BM_run/10",54247,12940.3,12932.5,ns,,,,,,0,0,10,5.1979e+08
"BM_run/20",31251,22285,22268.1,ns,,,,,,0,0,20,7.27362e+07
"BM_run/30",20095,34984.6,34953.3,ns,,,,,,0,0,30,2.02974e+07
"BM_run/40",15690,44859.3,44818.3,ns,,,,,,0,0,40,4.43732e+06
"BM_run/50",12974,54056.1,54007.8,ns,,,,,,0,0,50,1.53183e+06
"BM_run/60",10474,67809.8,67745.4,ns,,,,,,0,0,60,521393
"BM_run/70",9098,74373.3,74299.6,ns,,,,,,0,0,70,219461
"BM_run/80",7782,87299,87213.2,ns,,,,,,0,0,80,114539
"BM_run/90",6829,100935,100835,ns,,,,,,0,0,90,68202
"BM_run/100",6316,116721,116603,ns,,,,,,0,0,100,29697
"BM_run/200",2658,255214,254964,ns,,,,,,0,0,200,2658
"BM_run/300",1771,387448,387014,ns,,,,,,0,0,300,1771
"BM_run/400",1354,523780,523212,ns,,,,,,0,0,400,1354
"BM_run/500",1001,674493,673809,ns,,,,,,0,0,500,1001
"BM_run/600",1066,847613,846702,ns,,,,,,0,0,600,1066
"BM_run/700",712,928656,927717,ns,,,,,,0,0,700,712
"BM_run/800",743,1.05357e+06,1.05253e+06,ns,,,,,,0,0,800,743
"BM_run/900",461,1.09918e+06,1.09812e+06,ns,,,,,,0,0,900,461
"BM_run/1000",525,1.52389e+06,1.52241e+06,ns,,,,,,0,0,1000,525
"BM_run/2000",286,2.88762e+06,2.88503e+06,ns,,,,,,0,0,2000,286
"BM_run/3000",168,4.17261e+06,4.16901e+06,ns,,,,,,0,0,3000,168
"BM_run/4000",95,5.33282e+06,5.32822e+06,ns,,,,,,0,0,4000,95
"BM_run/5000",100,7.08512e+06,7.07871e+06,ns,,,,,,0,0,5000,100
"BM_run/6000",70,8.62945e+06,8.62219e+06,ns,,,,,,0,0,6000,70
"BM_run/7000",87,8.56234e+06,8.5543e+06,ns,,,,,,0,0,7000,87
"BM_run/8000",91,1.00051e+07,9.99544e+06,ns,,,,,,0,0,8000,91
"BM_run/9000",96,9.57582e+06,9.56637e+06,ns,,,,,,0,0,9000,96
"BM_run/10000",42,1.45728e+07,1.45603e+07,ns,,,,,,0,0,10000,42
"BM_run/20000",29,2.73164e+07,2.72935e+07,ns,,,,,,0,0,20000,29
"BM_run/30000",15,4.53604e+07,4.53261e+07,ns,,,,,,0,0,30000,15
"BM_run/40000",8,6.53276e+07,6.52788e+07,ns,,,,,,0,0,40000,8
"BM_run/50000",15,3.80036e+07,3.79688e+07,ns,,,,,,0,0,50000,15
"BM_run/60000",7,8.08081e+07,8.07376e+07,ns,,,,,,0,0,60000,7
"BM_run/70000",10,6.61803e+07,6.61197e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",10,5.09365e+07,5.08848e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",7,8.56931e+07,8.56189e+07,ns,,,,,,0,0,90000,7
"BM_run/100000",10,1.43482e+08,1.43368e+08,ns,,,,,,0,0,100000,10
"BM_run/200000",1,6.15022e+08,6.14547e+08,ns,,,,,,0,0,200000,1
"BM_run/300000",1,1.05821e+09,1.05745e+09,ns,,,,,,0,0,300000,1
"BM_run/400000",3,4.3149e+08,4.31094e+08,ns,,,,,,0,0,400000,3
"BM_run/500000",4,6.36706e+08,6.36186e+08,ns,,,,,,0,0,500000,4
"BM_run/600000",1,2.00445e+09,2.00314e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",4,7.28052e+08,7.27377e+08,ns,,,,,,0,0,700000,4
"BM_run/800000",1,3.13203e+09,3.12997e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",2,6.48712e+08,6.48117e+08,ns,,,,,,0,0,900000,2
"BM_run/1000000",2,9.95881e+08,9.94972e+08,ns,,,,,,0,0,1e+06,2
"BM_run/2000000",1,5.61825e+08,5.61211e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,6.13961e+09,6.13515e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.02375e+09,1.02264e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.31955e+09,1.318e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.03563e+09,4.03117e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.68399e+09,1.68213e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.17939e+10,1.17835e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,2.07644e+10,2.07491e+10,ns,,,,,,0,0,9e+06,1
