Data structureconstruction time: 10799699779 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4755385,145.983,146.931,ns,,,,,,0,0,1,4.98638e+13
"BM_run/2",4629381,151.11,151.625,ns,,,,,,0,0,2,1.23721e+13
"BM_run/3",4053970,171.986,172.741,ns,,,,,,0,0,3,2.89043e+12
"BM_run/4",3663994,190.68,191.325,ns,,,,,,0,0,4,7.07183e+11
"BM_run/5",3300442,211.758,212.078,ns,,,,,,0,0,5,1.73564e+11
"BM_run/6",2925027,238.924,239.182,ns,,,,,,0,0,6,4.2483e+10
"BM_run/7",2493090,280.878,280.762,ns,,,,,,0,0,7,1.02091e+10
"BM_run/8",2114847,331.994,331.298,ns,,,,,,0,0,8,2.56398e+09
"BM_run/9",1831312,383.783,382.472,ns,,,,,,0,0,9,7.20557e+08
"BM_run/10",1635274,429.825,428.065,ns,,,,,,0,0,10,2.51242e+08
"BM_run/20",866273,810.127,808.665,ns,,,,,,0,0,20,5.43228e+06
"BM_run/30",608584,1150.22,1150.31,ns,,,,,,0,0,30,1.06596e+06
"BM_run/40",471267,1484.77,1485.06,ns,,,,,,0,0,40,540024
"BM_run/50",386141,1813.98,1814.46,ns,,,,,,0,0,50,405591
"BM_run/60",327321,2138.53,2139.48,ns,,,,,,0,0,60,336464
"BM_run/70",284317,2461.66,2462.81,ns,,,,,,0,0,70,289515
"BM_run/80",251718,2782.49,2783.84,ns,,,,,,0,0,80,255056
"BM_run/90",225898,3099.82,3100.95,ns,,,,,,0,0,90,227956
"BM_run/100",204802,3414.41,3415.62,ns,,,,,,0,0,100,206525
"BM_run/200",106331,6550.34,6550.69,ns,,,,,,0,0,200,106560
"BM_run/300",72507,9653.74,9651.33,ns,,,,,,0,0,300,72589
"BM_run/400",55055,12741.2,12736.1,ns,,,,,,0,0,400,55102
"BM_run/500",44337,15811,15803.3,ns,,,,,,0,0,500,44365
"BM_run/600",37081,18886.4,18875.5,ns,,,,,,0,0,600,37092
"BM_run/700",31922,21928,21914.5,ns,,,,,,0,0,700,31924
"BM_run/800",28019,24997.3,24980,ns,,,,,,0,0,800,28022
"BM_run/900",25000,28080.5,28060.2,ns,,,,,,0,0,900,25004
"BM_run/1000",22456,31154.3,31134.1,ns,,,,,,0,0,1000,22457
"BM_run/2000",11362,61525.8,61479.7,ns,,,,,,0,0,2000,11362
"BM_run/3000",7625,91713.4,91655.8,ns,,,,,,0,0,3000,7625
"BM_run/4000",5760,121904,121833,ns,,,,,,0,0,4000,5760
"BM_run/5000",4599,151773,151686,ns,,,,,,0,0,5000,4599
"BM_run/6000",3852,182006,181896,ns,,,,,,0,0,6000,3852
"BM_run/7000",3302,212247,212116,ns,,,,,,0,0,7000,3302
"BM_run/8000",2893,242434,242273,ns,,,,,,0,0,8000,2893
"BM_run/9000",2574,272022,271837,ns,,,,,,0,0,9000,2574
"BM_run/10000",2318,301884,301681,ns,,,,,,0,0,10000,2318
"BM_run/20000",1165,602519,602043,ns,,,,,,0,0,20000,1165
"BM_run/30000",776,901993,901266,ns,,,,,,0,0,30000,776
"BM_run/40000",581,1.20371e+06,1.20268e+06,ns,,,,,,0,0,40000,581
"BM_run/50000",465,1.5063e+06,1.50504e+06,ns,,,,,,0,0,50000,465
"BM_run/60000",389,1.80612e+06,1.8046e+06,ns,,,,,,0,0,60000,389
"BM_run/70000",332,2.10715e+06,2.10532e+06,ns,,,,,,0,0,70000,332
"BM_run/80000",290,2.41308e+06,2.41103e+06,ns,,,,,,0,0,80000,290
"BM_run/90000",258,2.71583e+06,2.71348e+06,ns,,,,,,0,0,90000,258
"BM_run/100000",232,3.0279e+06,3.02522e+06,ns,,,,,,0,0,100000,232
"BM_run/200000",116,6.02626e+06,6.02094e+06,ns,,,,,,0,0,200000,116
"BM_run/300000",78,9.03034e+06,9.02252e+06,ns,,,,,,0,0,300000,78
"BM_run/400000",58,1.20671e+07,1.20567e+07,ns,,,,,,0,0,400000,58
"BM_run/500000",46,1.5004e+07,1.49908e+07,ns,,,,,,0,0,500000,46
"BM_run/600000",39,1.80086e+07,1.7993e+07,ns,,,,,,0,0,600000,39
"BM_run/700000",33,2.09734e+07,2.0955e+07,ns,,,,,,0,0,700000,33
"BM_run/800000",29,2.40946e+07,2.40737e+07,ns,,,,,,0,0,800000,29
"BM_run/900000",26,2.69086e+07,2.6885e+07,ns,,,,,,0,0,900000,26
"BM_run/1000000",23,2.99711e+07,2.99452e+07,ns,,,,,,0,0,1e+06,23
"BM_run/2000000",12,6.00897e+07,6.0037e+07,ns,,,,,,0,0,2e+06,12
"BM_run/3000000",8,8.9898e+07,8.98204e+07,ns,,,,,,0,0,3e+06,8
"BM_run/4000000",6,1.19389e+08,1.19285e+08,ns,,,,,,0,0,4e+06,6
"BM_run/5000000",5,1.49348e+08,1.49219e+08,ns,,,,,,0,0,5e+06,5
"BM_run/6000000",4,1.79312e+08,1.79154e+08,ns,,,,,,0,0,6e+06,4
"BM_run/7000000",3,2.09314e+08,2.09132e+08,ns,,,,,,0,0,7e+06,3
"BM_run/8000000",3,2.39561e+08,2.39356e+08,ns,,,,,,0,0,8e+06,3
"BM_run/9000000",3,2.69461e+08,2.69222e+08,ns,,,,,,0,0,9e+06,3
