Data structureconstruction time: 13352098091 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4637299,149.885,150.883,ns,,,,,,0,0,1,4.86256e+13
"BM_run/2",257738,2709.01,2716.23,ns,,,,,,0,0,2,6.88864e+11
"BM_run/3",317030,2202.44,2205.82,ns,,,,,,0,0,3,2.2595e+11
"BM_run/4",159301,4380.34,4382.84,ns,,,,,,0,0,4,3.07321e+10
"BM_run/5",192042,3630.99,3632.44,ns,,,,,,0,0,5,1.01074e+10
"BM_run/6",117663,5913.45,5913.91,ns,,,,,,0,0,6,1.71331e+09
"BM_run/7",115874,6001.67,6001.59,ns,,,,,,0,0,7,4.75463e+08
"BM_run/8",90032,7691.37,7689.52,ns,,,,,,0,0,8,1.09179e+08
"BM_run/9",169979,4126.17,4125.83,ns,,,,,,0,0,9,6.69892e+07
"BM_run/10",130154,5358.73,5356.92,ns,,,,,,0,0,10,1.97356e+07
"BM_run/20",64369,10846.4,10840.4,ns,,,,,,0,0,20,418920
"BM_run/30",45058,15634.4,15622.7,ns,,,,,,0,0,30,79107
"BM_run/40",34418,20391.7,20376.3,ns,,,,,,0,0,40,39413
"BM_run/50",27892,25474.8,25453.6,ns,,,,,,0,0,50,29216
"BM_run/60",23349,29989.8,29963,ns,,,,,,0,0,60,23989
"BM_run/70",19860,34802.5,34771.5,ns,,,,,,0,0,70,20217
"BM_run/80",17675,39558.4,39521.1,ns,,,,,,0,0,80,17890
"BM_run/90",15743,44124.3,44083.6,ns,,,,,,0,0,90,15900
"BM_run/100",14448,48184.6,48137.6,ns,,,,,,0,0,100,14547
"BM_run/200",7330,96187.1,96083,ns,,,,,,0,0,200,7352
"BM_run/300",4722,141694,141552,ns,,,,,,0,0,300,4723
"BM_run/400",3605,188219,188050,ns,,,,,,0,0,400,3607
"BM_run/500",2996,237321,237114,ns,,,,,,0,0,500,2997
"BM_run/600",2542,288190,287900,ns,,,,,,0,0,600,2542
"BM_run/700",2090,321781,321476,ns,,,,,,0,0,700,2090
"BM_run/800",1874,387641,387290,ns,,,,,,0,0,800,1874
"BM_run/900",1680,419736,419381,ns,,,,,,0,0,900,1681
"BM_run/1000",1481,466622,466255,ns,,,,,,0,0,1000,1481
"BM_run/2000",730,927345,926624,ns,,,,,,0,0,2000,730
"BM_run/3000",551,1.31569e+06,1.31468e+06,ns,,,,,,0,0,3000,551
"BM_run/4000",376,1.91322e+06,1.91161e+06,ns,,,,,,0,0,4000,376
"BM_run/5000",275,2.29443e+06,2.29262e+06,ns,,,,,,0,0,5000,275
"BM_run/6000",237,2.57526e+06,2.57326e+06,ns,,,,,,0,0,6000,237
"BM_run/7000",229,3.09607e+06,3.09369e+06,ns,,,,,,0,0,7000,229
"BM_run/8000",208,3.4433e+06,3.44058e+06,ns,,,,,,0,0,8000,208
"BM_run/9000",188,4.15323e+06,4.14999e+06,ns,,,,,,0,0,9000,188
"BM_run/10000",155,4.64777e+06,4.6441e+06,ns,,,,,,0,0,10000,155
"BM_run/20000",97,9.04734e+06,9.04009e+06,ns,,,,,,0,0,20000,97
"BM_run/30000",76,1.09714e+07,1.09624e+07,ns,,,,,,0,0,30000,76
"BM_run/40000",31,1.83673e+07,1.83533e+07,ns,,,,,,0,0,40000,31
"BM_run/50000",66,2.27898e+07,2.27729e+07,ns,,,,,,0,0,50000,66
"BM_run/60000",26,2.93669e+07,2.93449e+07,ns,,,,,,0,0,60000,26
"BM_run/70000",35,3.19271e+07,3.19035e+07,ns,,,,,,0,0,70000,35
"BM_run/80000",38,3.32844e+07,3.32582e+07,ns,,,,,,0,0,80000,38
"BM_run/90000",13,3.91687e+07,3.91386e+07,ns,,,,,,0,0,90000,13
"BM_run/100000",10,5.3686e+07,5.36403e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",10,8.57071e+07,8.56421e+07,ns,,,,,,0,0,200000,10
"BM_run/300000",11,1.23282e+08,1.23187e+08,ns,,,,,,0,0,300000,11
"BM_run/400000",5,2.02299e+08,2.02141e+08,ns,,,,,,0,0,400000,5
"BM_run/500000",3,1.86227e+08,1.86077e+08,ns,,,,,,0,0,500000,3
"BM_run/600000",9,2.06652e+08,2.06497e+08,ns,,,,,,0,0,600000,9
"BM_run/700000",8,3.66052e+08,3.65784e+08,ns,,,,,,0,0,700000,8
"BM_run/800000",7,2.48507e+08,2.48303e+08,ns,,,,,,0,0,800000,7
"BM_run/900000",8,2.9961e+08,2.99353e+08,ns,,,,,,0,0,900000,8
"BM_run/1000000",7,4.5667e+08,4.56328e+08,ns,,,,,,0,0,1e+06,7
"BM_run/2000000",3,1.36169e+09,1.36072e+09,ns,,,,,,0,0,2e+06,3
"BM_run/3000000",2,8.95374e+08,8.94676e+08,ns,,,,,,0,0,3e+06,2
"BM_run/4000000",1,5.41412e+09,5.41051e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.22344e+08,5.21785e+08,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.21126e+09,1.21006e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,8.25852e+09,8.25289e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.90753e+09,5.90332e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,6.13676e+09,6.13221e+09,ns,,,,,,0,0,9e+06,1
