Data structureconstruction time: 10529915645 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4629110,150.317,151.248,ns,,,,,,0,0,1,4.85397e+13
"BM_run/2",259396,2694.08,2698.3,ns,,,,,,0,0,2,6.93347e+11
"BM_run/3",318096,2195.5,2198.39,ns,,,,,,0,0,3,2.26693e+11
"BM_run/4",156565,4469.82,4472.06,ns,,,,,,0,0,4,3.02079e+10
"BM_run/5",194961,3584.69,3586.32,ns,,,,,,0,0,5,1.02612e+10
"BM_run/6",119113,5846.58,5846.95,ns,,,,,,0,0,6,1.73307e+09
"BM_run/7",116784,5912.86,5912.91,ns,,,,,,0,0,7,4.79143e+08
"BM_run/8",91517,7600.54,7598.25,ns,,,,,,0,0,8,1.10961e+08
"BM_run/9",173572,4039.33,4039.2,ns,,,,,,0,0,9,6.84275e+07
"BM_run/10",133290,5246.18,5244.58,ns,,,,,,0,0,10,2.01831e+07
"BM_run/20",66143,10641.5,10636.6,ns,,,,,,0,0,20,425925
"BM_run/30",45485,15338.4,15330.3,ns,,,,,,0,0,30,79601
"BM_run/40",34874,19969,19956.6,ns,,,,,,0,0,40,39994
"BM_run/50",27739,24937.7,24920.7,ns,,,,,,0,0,50,29147
"BM_run/60",23654,29678.3,29655.1,ns,,,,,,0,0,60,24328
"BM_run/70",20423,34005.3,33979.1,ns,,,,,,0,0,70,20789
"BM_run/80",18068,38998,38966.1,ns,,,,,,0,0,80,18255
"BM_run/90",16232,43294.5,43260.6,ns,,,,,,0,0,90,16364
"BM_run/100",14839,47539.5,47501.2,ns,,,,,,0,0,100,14968
"BM_run/200",7331,94292.3,94210.8,ns,,,,,,0,0,200,7342
"BM_run/300",4966,141730,141607,ns,,,,,,0,0,300,4972
"BM_run/400",3520,185149,184991,ns,,,,,,0,0,400,3520
"BM_run/500",2966,231207,231011,ns,,,,,,0,0,500,2966
"BM_run/600",2528,284732,284495,ns,,,,,,0,0,600,2529
"BM_run/700",2099,322397,322134,ns,,,,,,0,0,700,2100
"BM_run/800",1891,371055,370754,ns,,,,,,0,0,800,1892
"BM_run/900",1714,393964,393644,ns,,,,,,0,0,900,1714
"BM_run/1000",1493,486924,486538,ns,,,,,,0,0,1000,1493
"BM_run/2000",766,945038,944303,ns,,,,,,0,0,2000,766
"BM_run/3000",558,1.37103e+06,1.36999e+06,ns,,,,,,0,0,3000,558
"BM_run/4000",404,1.75071e+06,1.74937e+06,ns,,,,,,0,0,4000,404
"BM_run/5000",239,2.20361e+06,2.20198e+06,ns,,,,,,0,0,5000,239
"BM_run/6000",303,2.58642e+06,2.58444e+06,ns,,,,,,0,0,6000,303
"BM_run/7000",200,3.31708e+06,3.31462e+06,ns,,,,,,0,0,7000,200
"BM_run/8000",186,3.77209e+06,3.76921e+06,ns,,,,,,0,0,8000,186
"BM_run/9000",175,3.48483e+06,3.48214e+06,ns,,,,,,0,0,9000,175
"BM_run/10000",158,4.76372e+06,4.76022e+06,ns,,,,,,0,0,10000,158
"BM_run/20000",84,9.02811e+06,9.02141e+06,ns,,,,,,0,0,20000,84
"BM_run/30000",45,1.2543e+07,1.25338e+07,ns,,,,,,0,0,30000,45
"BM_run/40000",44,1.58959e+07,1.58841e+07,ns,,,,,,0,0,40000,44
"BM_run/50000",27,2.33781e+07,2.33616e+07,ns,,,,,,0,0,50000,27
"BM_run/60000",36,3.1977e+07,3.19548e+07,ns,,,,,,0,0,60000,36
"BM_run/70000",24,2.92411e+07,2.922e+07,ns,,,,,,0,0,70000,24
"BM_run/80000",30,4.53272e+07,4.52962e+07,ns,,,,,,0,0,80000,30
"BM_run/90000",23,4.0119e+07,4.00894e+07,ns,,,,,,0,0,90000,23
"BM_run/100000",19,4.12363e+07,4.12054e+07,ns,,,,,,0,0,100000,19
"BM_run/200000",12,7.46686e+07,7.46129e+07,ns,,,,,,0,0,200000,12
"BM_run/300000",6,1.17234e+08,1.17144e+08,ns,,,,,,0,0,300000,6
"BM_run/400000",10,1.68341e+08,1.6822e+08,ns,,,,,,0,0,400000,10
"BM_run/500000",12,1.49337e+08,1.49223e+08,ns,,,,,,0,0,500000,12
"BM_run/600000",1,1.69549e+09,1.69452e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,7.73773e+08,7.7329e+08,ns,,,,,,0,0,700000,1
"BM_run/800000",4,4.12166e+08,4.11857e+08,ns,,,,,,0,0,800000,4
"BM_run/900000",1,1.13503e+09,1.13436e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",4,4.6975e+08,4.69409e+08,ns,,,,,,0,0,1e+06,4
"BM_run/2000000",3,6.86261e+08,6.85723e+08,ns,,,,,,0,0,2e+06,3
"BM_run/3000000",2,6.44351e+08,6.43809e+08,ns,,,,,,0,0,3e+06,2
"BM_run/4000000",1,8.22847e+09,8.22377e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.13152e+08,5.12694e+08,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.4981e+09,5.49458e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.29604e+09,3.2935e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,8.47603e+09,8.47053e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.24503e+09,1.24396e+09,ns,,,,,,0,0,9e+06,1
