Data structureconstruction time: 21766144619 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4725773,147.188,147.906,ns,,,,,,0,0,1,4.95533e+13
"BM_run/2",216481,3213.95,3219.99,ns,,,,,,0,0,2,1.51813e+11
"BM_run/3",130926,5167.92,5166.83,ns,,,,,,0,0,3,1.03801e+10
"BM_run/4",83409,8262.21,8257.12,ns,,,,,,0,0,4,1.70356e+09
"BM_run/5",94000,7398.06,7394.21,ns,,,,,,0,0,5,7.38755e+08
"BM_run/6",70620,9996.77,9989.67,ns,,,,,,0,0,6,2.10491e+08
"BM_run/7",64606,10925.6,10917.7,ns,,,,,,0,0,7,5.80796e+07
"BM_run/8",54593,12844.6,12835.5,ns,,,,,,0,0,8,2.20947e+07
"BM_run/9",63826,10970.3,10962.8,ns,,,,,,0,0,9,1.41363e+07
"BM_run/10",55848,12526.5,12517,ns,,,,,,0,0,10,7.44571e+06
"BM_run/20",34856,20043,20025.9,ns,,,,,,0,0,20,660326
"BM_run/30",26927,26104.8,26082.5,ns,,,,,,0,0,30,205266
"BM_run/40",21794,32391.2,32365,ns,,,,,,0,0,40,106633
"BM_run/50",18377,38320.5,38287.4,ns,,,,,,0,0,50,62943
"BM_run/60",15919,44069.4,44029.9,ns,,,,,,0,0,60,39983
"BM_run/70",10000,50256.1,50215.7,ns,,,,,,0,0,70,18014
"BM_run/80",12056,56478.2,56435.6,ns,,,,,,0,0,80,20221
"BM_run/90",10741,62589.5,62539.6,ns,,,,,,0,0,90,17641
"BM_run/100",9983,67729,67673.9,ns,,,,,,0,0,100,16259
"BM_run/200",5434,125289,125184,ns,,,,,,0,0,200,8661
"BM_run/300",4032,190635,190477,ns,,,,,,0,0,300,6389
"BM_run/400",2781,254695,254487,ns,,,,,,0,0,400,4365
"BM_run/500",2109,319132,318877,ns,,,,,,0,0,500,3270
"BM_run/600",1631,390169,389849,ns,,,,,,0,0,600,2488
"BM_run/700",1632,461070,460706,ns,,,,,,0,0,700,2481
"BM_run/800",1237,544715,544287,ns,,,,,,0,0,800,1865
"BM_run/900",992,620642,620162,ns,,,,,,0,0,900,1516
"BM_run/1000",1015,664973,664453,ns,,,,,,0,0,1000,1506
"BM_run/2000",445,1.4203e+06,1.4192e+06,ns,,,,,,0,0,2000,638
"BM_run/3000",343,2.16126e+06,2.15951e+06,ns,,,,,,0,0,3000,477
"BM_run/4000",237,3.32068e+06,3.31817e+06,ns,,,,,,0,0,4000,320
"BM_run/5000",176,3.67252e+06,3.66958e+06,ns,,,,,,0,0,5000,226
"BM_run/6000",130,4.62877e+06,4.62501e+06,ns,,,,,,0,0,6000,158
"BM_run/7000",108,5.46496e+06,5.4606e+06,ns,,,,,,0,0,7000,131
"BM_run/8000",120,6.86658e+06,6.8613e+06,ns,,,,,,0,0,8000,139
"BM_run/9000",108,7.10224e+06,7.09663e+06,ns,,,,,,0,0,9000,122
"BM_run/10000",74,9.82861e+06,9.82135e+06,ns,,,,,,0,0,10000,82
"BM_run/20000",38,2.31068e+07,2.30905e+07,ns,,,,,,0,0,20000,41
"BM_run/30000",10,5.16958e+07,5.16606e+07,ns,,,,,,0,0,30000,10
"BM_run/40000",15,4.28731e+07,4.28406e+07,ns,,,,,,0,0,40000,15
"BM_run/50000",32,5.20151e+07,5.1977e+07,ns,,,,,,0,0,50000,32
"BM_run/60000",10,6.10791e+07,6.10347e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",7,9.63309e+07,9.62653e+07,ns,,,,,,0,0,70000,7
"BM_run/80000",10,7.00053e+07,6.99502e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",10,1.21817e+08,1.21733e+08,ns,,,,,,0,0,90000,10
"BM_run/100000",10,8.51574e+07,8.50901e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",6,3.3999e+08,3.39764e+08,ns,,,,,,0,0,200000,6
"BM_run/300000",6,2.27243e+08,2.27059e+08,ns,,,,,,0,0,300000,6
"BM_run/400000",5,2.69741e+08,2.69511e+08,ns,,,,,,0,0,400000,5
"BM_run/500000",1,1.19013e+09,1.1894e+09,ns,,,,,,0,0,500000,1
"BM_run/600000",1,1.19023e+09,1.18945e+09,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.04538e+09,1.04465e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",4,1.17395e+09,1.17321e+09,ns,,,,,,0,0,800000,4
"BM_run/900000",1,6.1903e+08,6.1849e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,3.56732e+09,3.56529e+09,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,4.86988e+09,4.86693e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.18062e+09,1.17953e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,9.15907e+08,9.15044e+08,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.55541e+09,2.55309e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,3.99332e+10,3.99107e+10,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.00877e+10,1.00806e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.83291e+09,5.82795e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,2.33546e+09,2.33319e+09,ns,,,,,,0,0,9e+06,1
