Data structureconstruction time: 20013723072 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4717658,147.562,148.163,ns,,,,,,0,0,1,4.94682e+13
"BM_run/2",225530,3094.11,3097.99,ns,,,,,,0,0,2,1.58116e+11
"BM_run/3",133643,5077.79,5077.5,ns,,,,,,0,0,3,1.05901e+10
"BM_run/4",86477,8042.17,8038.85,ns,,,,,,0,0,4,1.76362e+09
"BM_run/5",96364,7268.33,7264.77,ns,,,,,,0,0,5,7.59977e+08
"BM_run/6",72312,9758.72,9752.75,ns,,,,,,0,0,6,2.14688e+08
"BM_run/7",66087,10627.2,10620.2,ns,,,,,,0,0,7,5.93135e+07
"BM_run/8",56498,12432.3,12423.3,ns,,,,,,0,0,8,2.28022e+07
"BM_run/9",65633,10719.7,10711.6,ns,,,,,,0,0,9,1.44445e+07
"BM_run/10",57597,12254.9,12245.2,ns,,,,,,0,0,10,8.06687e+06
"BM_run/20",36350,19363.7,19346.9,ns,,,,,,0,0,20,622443
"BM_run/30",27451,25197,25174.6,ns,,,,,,0,0,30,210473
"BM_run/40",22311,31060.6,31035,ns,,,,,,0,0,40,127373
"BM_run/50",18680,36832.9,36801.9,ns,,,,,,0,0,50,68324
"BM_run/60",16470,43581.8,43542.3,ns,,,,,,0,0,60,37261
"BM_run/70",14305,48647.3,48602.9,ns,,,,,,0,0,70,25731
"BM_run/80",12100,53983,53931.2,ns,,,,,,0,0,80,20620
"BM_run/90",11625,60279.2,60226.9,ns,,,,,,0,0,90,19155
"BM_run/100",10878,64687.3,64629.4,ns,,,,,,0,0,100,17853
"BM_run/200",5593,125729,125620,ns,,,,,,0,0,200,8941
"BM_run/300",3773,182172,182012,ns,,,,,,0,0,300,5956
"BM_run/400",2899,247750,247537,ns,,,,,,0,0,400,4480
"BM_run/500",2131,299940,299679,ns,,,,,,0,0,500,3296
"BM_run/600",1860,379082,378774,ns,,,,,,0,0,600,2854
"BM_run/700",1611,451060,450678,ns,,,,,,0,0,700,2491
"BM_run/800",1000,521255,520815,ns,,,,,,0,0,800,1508
"BM_run/900",1254,587289,586789,ns,,,,,,0,0,900,1877
"BM_run/1000",1008,656825,656274,ns,,,,,,0,0,1000,1484
"BM_run/2000",508,1.33134e+06,1.33023e+06,ns,,,,,,0,0,2000,723
"BM_run/3000",331,2.26955e+06,2.26758e+06,ns,,,,,,0,0,3000,436
"BM_run/4000",288,3.04014e+06,3.03769e+06,ns,,,,,,0,0,4000,388
"BM_run/5000",211,3.82546e+06,3.82226e+06,ns,,,,,,0,0,5000,267
"BM_run/6000",118,4.52187e+06,4.51808e+06,ns,,,,,,0,0,6000,147
"BM_run/7000",127,4.83626e+06,4.83217e+06,ns,,,,,,0,0,7000,154
"BM_run/8000",82,8.07015e+06,8.0639e+06,ns,,,,,,0,0,8000,97
"BM_run/9000",97,7.90549e+06,7.89897e+06,ns,,,,,,0,0,9000,115
"BM_run/10000",75,8.69846e+06,8.69149e+06,ns,,,,,,0,0,10000,80
"BM_run/20000",46,1.18457e+07,1.18357e+07,ns,,,,,,0,0,20000,50
"BM_run/30000",23,3.06364e+07,3.06133e+07,ns,,,,,,0,0,30000,23
"BM_run/40000",16,3.20859e+07,3.20602e+07,ns,,,,,,0,0,40000,16
"BM_run/50000",10,5.23179e+07,5.22781e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",16,7.45068e+07,7.44537e+07,ns,,,,,,0,0,60000,16
"BM_run/70000",10,6.73029e+07,6.7251e+07,ns,,,,,,0,0,70000,10
"BM_run/80000",10,1.06309e+08,1.06235e+08,ns,,,,,,0,0,80000,10
"BM_run/90000",10,7.04085e+07,7.03536e+07,ns,,,,,,0,0,90000,10
"BM_run/100000",10,9.46005e+07,9.45264e+07,ns,,,,,,0,0,100000,10
"BM_run/200000",4,1.77809e+08,1.77662e+08,ns,,,,,,0,0,200000,4
"BM_run/300000",3,2.69737e+08,2.69542e+08,ns,,,,,,0,0,300000,3
"BM_run/400000",8,4.45453e+08,4.45124e+08,ns,,,,,,0,0,400000,8
"BM_run/500000",1,5.52565e+08,5.52124e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",4,3.52828e+08,3.52521e+08,ns,,,,,,0,0,600000,4
"BM_run/700000",1,2.44103e+09,2.43954e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",2,6.3792e+08,6.37383e+08,ns,,,,,,0,0,800000,2
"BM_run/900000",3,1.16155e+09,1.16069e+09,ns,,,,,,0,0,900000,3
"BM_run/1000000",3,7.44268e+08,7.43647e+08,ns,,,,,,0,0,1e+06,3
"BM_run/2000000",1,3.79796e+09,3.79542e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,2.08328e+09,2.0814e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.38258e+09,3.37966e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.33916e+09,3.33609e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,2.69387e+09,2.69127e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,7.75878e+09,7.75264e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.85306e+09,1.85118e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,3.35257e+09,3.34927e+09,ns,,,,,,0,0,9e+06,1
