Data structureconstruction time: 22007384215 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4732618,146.89,147.966,ns,,,,,,0,0,1,4.96251e+13
"BM_run/2",227087,3067.13,3072.17,ns,,,,,,0,0,2,1.59167e+11
"BM_run/3",135823,5022.48,5022.38,ns,,,,,,0,0,3,1.07602e+10
"BM_run/4",87717,8027.02,8023.33,ns,,,,,,0,0,4,1.78247e+09
"BM_run/5",96932,7240.89,7236.75,ns,,,,,,0,0,5,7.60969e+08
"BM_run/6",72624,9665.12,9657.08,ns,,,,,,0,0,6,2.16031e+08
"BM_run/7",66152,10550,10540.4,ns,,,,,,0,0,7,5.98421e+07
"BM_run/8",56680,12359,12348.5,ns,,,,,,0,0,8,2.27196e+07
"BM_run/9",65677,10668.1,10658,ns,,,,,,0,0,9,1.42529e+07
"BM_run/10",58143,12190.3,12177.5,ns,,,,,,0,0,10,8.23946e+06
"BM_run/20",36204,19277.6,19258.5,ns,,,,,,0,0,20,578141
"BM_run/30",27887,25426.2,25402.4,ns,,,,,,0,0,30,248680
"BM_run/40",22237,31264.6,31235.4,ns,,,,,,0,0,40,120403
"BM_run/50",18807,37304.7,37269.5,ns,,,,,,0,0,50,56801
"BM_run/60",16095,43140.7,43097.9,ns,,,,,,0,0,60,39167
"BM_run/70",13933,48802.8,48761.1,ns,,,,,,0,0,70,25808
"BM_run/80",13260,54681.4,54632,ns,,,,,,0,0,80,22484
"BM_run/90",11597,59412.1,59360.1,ns,,,,,,0,0,90,19146
"BM_run/100",9875,67110.6,67051.2,ns,,,,,,0,0,100,16152
"BM_run/200",5502,126992,126887,ns,,,,,,0,0,200,8768
"BM_run/300",3751,183735,183587,ns,,,,,,0,0,300,5953
"BM_run/400",2798,245877,245673,ns,,,,,,0,0,400,4382
"BM_run/500",2156,309575,309323,ns,,,,,,0,0,500,3298
"BM_run/600",1767,388637,388303,ns,,,,,,0,0,600,2703
"BM_run/700",1675,441005,440651,ns,,,,,,0,0,700,2532
"BM_run/800",1000,520891,520471,ns,,,,,,0,0,800,1505
"BM_run/900",1034,579662,579216,ns,,,,,,0,0,900,1534
"BM_run/1000",1075,705384,704824,ns,,,,,,0,0,1000,1556
"BM_run/2000",434,1.42792e+06,1.4268e+06,ns,,,,,,0,0,2000,619
"BM_run/3000",298,2.24014e+06,2.23833e+06,ns,,,,,,0,0,3000,400
"BM_run/4000",245,3.17977e+06,3.17723e+06,ns,,,,,,0,0,4000,304
"BM_run/5000",170,4.36022e+06,4.35688e+06,ns,,,,,,0,0,5000,216
"BM_run/6000",135,4.62685e+06,4.62322e+06,ns,,,,,,0,0,6000,169
"BM_run/7000",130,5.76677e+06,5.76227e+06,ns,,,,,,0,0,7000,161
"BM_run/8000",100,7.02098e+06,7.01558e+06,ns,,,,,,0,0,8000,126
"BM_run/9000",75,7.55901e+06,7.55325e+06,ns,,,,,,0,0,9000,93
"BM_run/10000",80,8.99408e+06,8.98714e+06,ns,,,,,,0,0,10000,90
"BM_run/20000",54,1.94632e+07,1.94486e+07,ns,,,,,,0,0,20000,57
"BM_run/30000",16,3.92948e+07,3.92677e+07,ns,,,,,,0,0,30000,16
"BM_run/40000",16,4.32215e+07,4.31905e+07,ns,,,,,,0,0,40000,16
"BM_run/50000",16,5.70733e+07,5.70308e+07,ns,,,,,,0,0,50000,16
"BM_run/60000",10,6.96951e+07,6.96467e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",11,1.39505e+08,1.39414e+08,ns,,,,,,0,0,70000,11
"BM_run/80000",10,5.80718e+07,5.80249e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",10,1.08833e+08,1.08754e+08,ns,,,,,,0,0,90000,10
"BM_run/100000",19,8.39309e+07,8.38672e+07,ns,,,,,,0,0,100000,19
"BM_run/200000",1,1.42189e+09,1.42108e+09,ns,,,,,,0,0,200000,1
"BM_run/300000",1,6.46414e+08,6.4601e+08,ns,,,,,,0,0,300000,1
"BM_run/400000",5,2.6776e+08,2.67529e+08,ns,,,,,,0,0,400000,5
"BM_run/500000",5,7.09798e+08,7.09296e+08,ns,,,,,,0,0,500000,5
"BM_run/600000",1,5.80924e+08,5.80437e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",1,1.03278e+09,1.03204e+09,ns,,,,,,0,0,700000,1
"BM_run/800000",1,7.69286e+08,7.68676e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,1.65968e+09,1.65861e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",2,1.32165e+09,1.3207e+09,ns,,,,,,0,0,1e+06,2
"BM_run/2000000",1,2.25381e+09,2.2521e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,7.59171e+08,7.5841e+08,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.75146e+09,1.7498e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.14487e+09,1.14374e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,4.34046e+09,4.33657e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.0536e+10,1.05287e+10,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,2.35241e+10,2.35099e+10,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,9.98701e+09,9.97897e+09,ns,,,,,,0,0,9e+06,1
