Data structureconstruction time: 21405681742 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4645748,150.28,151.113,ns,,,,,,0,0,1,4.87142e+13
"BM_run/2",223519,3117.7,3120.64,ns,,,,,,0,0,2,1.56681e+11
"BM_run/3",131179,5304.6,5303.5,ns,,,,,,0,0,3,1.0374e+10
"BM_run/4",83449,8375.34,8369.5,ns,,,,,,0,0,4,1.72172e+09
"BM_run/5",93808,7515.6,7508.5,ns,,,,,,0,0,5,7.3037e+08
"BM_run/6",69624,9986.44,9975.47,ns,,,,,,0,0,6,2.09862e+08
"BM_run/7",63923,10980.1,10968.7,ns,,,,,,0,0,7,5.52023e+07
"BM_run/8",54825,12802.2,12788.5,ns,,,,,,0,0,8,2.32067e+07
"BM_run/9",64018,11035,11024.4,ns,,,,,,0,0,9,1.40707e+07
"BM_run/10",55653,12581.8,12569.2,ns,,,,,,0,0,10,7.40836e+06
"BM_run/20",35314,19939.5,19917,ns,,,,,,0,0,20,642216
"BM_run/30",26703,26272.7,26244.2,ns,,,,,,0,0,30,210842
"BM_run/40",22092,32243.5,32204.4,ns,,,,,,0,0,40,108260
"BM_run/50",18419,38305,38260.5,ns,,,,,,0,0,50,70168
"BM_run/60",15823,44060.4,44009.3,ns,,,,,,0,0,60,38156
"BM_run/70",13141,50951.1,50897.1,ns,,,,,,0,0,70,24139
"BM_run/80",11749,56812.5,56751.5,ns,,,,,,0,0,80,19889
"BM_run/90",11547,62805.4,62730.6,ns,,,,,,0,0,90,19020
"BM_run/100",10387,69622.4,69536.8,ns,,,,,,0,0,100,16905
"BM_run/200",5682,132004,131877,ns,,,,,,0,0,200,9101
"BM_run/300",3794,189601,189422,ns,,,,,,0,0,300,6047
"BM_run/400",2763,264747,264493,ns,,,,,,0,0,400,4279
"BM_run/500",2057,332941,332608,ns,,,,,,0,0,500,3156
"BM_run/600",1755,397128,396708,ns,,,,,,0,0,600,2701
"BM_run/700",1522,459024,458573,ns,,,,,,0,0,700,2314
"BM_run/800",1000,552753,552176,ns,,,,,,0,0,800,1511
"BM_run/900",1154,595719,595121,ns,,,,,,0,0,900,1721
"BM_run/1000",1107,698879,698182,ns,,,,,,0,0,1000,1627
"BM_run/2000",558,1.42355e+06,1.42181e+06,ns,,,,,,0,0,2000,785
"BM_run/3000",315,2.44178e+06,2.43889e+06,ns,,,,,,0,0,3000,432
"BM_run/4000",253,2.78764e+06,2.78482e+06,ns,,,,,,0,0,4000,339
"BM_run/5000",157,3.84125e+06,3.8377e+06,ns,,,,,,0,0,5000,200
"BM_run/6000",100,5.20582e+06,5.20131e+06,ns,,,,,,0,0,6000,123
"BM_run/7000",110,5.04082e+06,5.03606e+06,ns,,,,,,0,0,7000,132
"BM_run/8000",133,7.04455e+06,7.03825e+06,ns,,,,,,0,0,8000,157
"BM_run/9000",111,6.87033e+06,6.86307e+06,ns,,,,,,0,0,9000,135
"BM_run/10000",106,8.11729e+06,8.10907e+06,ns,,,,,,0,0,10000,129
"BM_run/20000",56,1.918e+07,1.91615e+07,ns,,,,,,0,0,20000,60
"BM_run/30000",38,3.35506e+07,3.35221e+07,ns,,,,,,0,0,30000,39
"BM_run/40000",19,7.07302e+07,7.06793e+07,ns,,,,,,0,0,40000,19
"BM_run/50000",10,5.68553e+07,5.68113e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",10,1.27608e+08,1.27514e+08,ns,,,,,,0,0,60000,10
"BM_run/70000",8,6.65896e+07,6.65349e+07,ns,,,,,,0,0,70000,8
"BM_run/80000",10,7.35994e+07,7.35359e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",10,8.21472e+07,8.20766e+07,ns,,,,,,0,0,90000,10
"BM_run/100000",6,1.65879e+08,1.65746e+08,ns,,,,,,0,0,100000,6
"BM_run/200000",14,1.68328e+08,1.68181e+08,ns,,,,,,0,0,200000,14
"BM_run/300000",7,4.0297e+08,4.02657e+08,ns,,,,,,0,0,300000,7
"BM_run/400000",1,7.78311e+08,7.77727e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",4,1.37207e+09,1.37118e+09,ns,,,,,,0,0,500000,4
"BM_run/600000",1,6.60628e+08,6.60042e+08,ns,,,,,,0,0,600000,1
"BM_run/700000",2,4.10105e+08,4.09664e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,1.27296e+09,1.27196e+09,ns,,,,,,0,0,800000,1
"BM_run/900000",1,3.46648e+09,3.46404e+09,ns,,,,,,0,0,900000,1
"BM_run/1000000",1,5.56978e+08,5.56343e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",1,7.9502e+08,7.9409e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,3.05178e+09,3.04909e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.63577e+10,1.63471e+10,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.53341e+09,2.53059e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.46168e+09,1.45991e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,2.06225e+09,2.05951e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.88815e+09,1.88582e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,3.71891e+09,3.71478e+09,ns,,,,,,0,0,9e+06,1
