Data structureconstruction time: 20459188093 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4669866,148.258,149.294,ns,,,,,,0,0,1,4.89671e+13
"BM_run/2",223767,3117.16,3120.35,ns,,,,,,0,0,2,1.56698e+11
"BM_run/3",133548,5061.41,5061.57,ns,,,,,,0,0,3,1.05667e+10
"BM_run/4",86646,8079.71,8076.04,ns,,,,,,0,0,4,1.78097e+09
"BM_run/5",95901,7277.65,7274.36,ns,,,,,,0,0,5,7.47607e+08
"BM_run/6",71851,9759.03,9753.3,ns,,,,,,0,0,6,2.18189e+08
"BM_run/7",65841,10663.9,10656,ns,,,,,,0,0,7,5.74846e+07
"BM_run/8",55792,12526,12515.2,ns,,,,,,0,0,8,2.35995e+07
"BM_run/9",64833,10716.5,10707.7,ns,,,,,,0,0,9,1.46066e+07
"BM_run/10",57511,12246,12235.8,ns,,,,,,0,0,10,7.39516e+06
"BM_run/20",36005,19536.4,19518.9,ns,,,,,,0,0,20,623077
"BM_run/30",27382,25456.9,25436.9,ns,,,,,,0,0,30,195047
"BM_run/40",22299,31328.5,31302.3,ns,,,,,,0,0,40,117280
"BM_run/50",18892,37264.8,37233.1,ns,,,,,,0,0,50,67173
"BM_run/60",16181,43012.5,42975.1,ns,,,,,,0,0,60,39710
"BM_run/70",14362,48056.8,48018.4,ns,,,,,,0,0,70,25829
"BM_run/80",12577,54029.8,53983.1,ns,,,,,,0,0,80,21555
"BM_run/90",10878,61911.2,61860.6,ns,,,,,,0,0,90,17806
"BM_run/100",10491,67275.5,67223,ns,,,,,,0,0,100,17148
"BM_run/200",5427,125288,125180,ns,,,,,,0,0,200,8585
"BM_run/300",3847,186195,186033,ns,,,,,,0,0,300,5979
"BM_run/400",2917,248762,248562,ns,,,,,,0,0,400,4540
"BM_run/500",2116,304809,304546,ns,,,,,,0,0,500,3274
"BM_run/600",1966,379633,379323,ns,,,,,,0,0,600,2998
"BM_run/700",1645,429569,429219,ns,,,,,,0,0,700,2528
"BM_run/800",1000,521579,521171,ns,,,,,,0,0,800,1506
"BM_run/900",1213,589626,589139,ns,,,,,,0,0,900,1813
"BM_run/1000",1079,636278,635759,ns,,,,,,0,0,1000,1632
"BM_run/2000",575,1.472e+06,1.47075e+06,ns,,,,,,0,0,2000,810
"BM_run/3000",321,2.0944e+06,2.09256e+06,ns,,,,,,0,0,3000,437
"BM_run/4000",285,2.92876e+06,2.92633e+06,ns,,,,,,0,0,4000,375
"BM_run/5000",167,4.09415e+06,4.09087e+06,ns,,,,,,0,0,5000,214
"BM_run/6000",161,5.17313e+06,5.16892e+06,ns,,,,,,0,0,6000,199
"BM_run/7000",100,5.0672e+06,5.06316e+06,ns,,,,,,0,0,7000,126
"BM_run/8000",111,5.82117e+06,5.81653e+06,ns,,,,,,0,0,8000,133
"BM_run/9000",84,7.88283e+06,7.87662e+06,ns,,,,,,0,0,9000,96
"BM_run/10000",124,8.09974e+06,8.09327e+06,ns,,,,,,0,0,10000,145
"BM_run/20000",35,1.92426e+07,1.92282e+07,ns,,,,,,0,0,20000,38
"BM_run/30000",28,3.29336e+07,3.29096e+07,ns,,,,,,0,0,30000,29
"BM_run/40000",21,4.21845e+07,4.21532e+07,ns,,,,,,0,0,40000,21
"BM_run/50000",23,4.08801e+07,4.08475e+07,ns,,,,,,0,0,50000,23
"BM_run/60000",10,6.30353e+07,6.29894e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",17,8.28838e+07,8.28259e+07,ns,,,,,,0,0,70000,17
"BM_run/80000",20,7.13171e+07,7.12624e+07,ns,,,,,,0,0,80000,20
"BM_run/90000",10,8.30313e+07,8.29702e+07,ns,,,,,,0,0,90000,10
"BM_run/100000",12,9.41814e+07,9.41093e+07,ns,,,,,,0,0,100000,12
"BM_run/200000",2,3.92678e+08,3.92426e+08,ns,,,,,,0,0,200000,2
"BM_run/300000",7,5.4111e+08,5.40752e+08,ns,,,,,,0,0,300000,7
"BM_run/400000",1,8.4217e+08,8.41634e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",6,9.09873e+08,9.0928e+08,ns,,,,,,0,0,500000,6
"BM_run/600000",2,4.49534e+08,4.49174e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",3,7.26228e+08,7.25664e+08,ns,,,,,,0,0,700000,3
"BM_run/800000",4,7.72148e+08,7.71606e+08,ns,,,,,,0,0,800000,4
"BM_run/900000",1,5.77104e+08,5.76583e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",2,4.21209e+09,4.20963e+09,ns,,,,,,0,0,1e+06,2
"BM_run/2000000",1,1.87907e+09,1.87757e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,7.07287e+08,7.06595e+08,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,3.82601e+09,3.823e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,5.48663e+09,5.48244e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.57713e+09,5.5727e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,1.86519e+09,1.86343e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,5.30623e+09,5.30151e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.99152e+09,1.98959e+09,ns,,,,,,0,0,9e+06,1
