Data structureconstruction time: 19876426876 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4896536,141.723,142.761,ns,,,,,,0,0,1,5.13439e+13
"BM_run/2",363398,1918.08,1923.34,ns,,,,,,0,0,2,2.54623e+11
"BM_run/3",130317,5366.34,5368.42,ns,,,,,,0,0,3,1.02603e+10
"BM_run/4",66669,10509.7,10505.1,ns,,,,,,0,0,4,1.37297e+09
"BM_run/5",45732,15279,15267.7,ns,,,,,,0,0,5,3.67711e+08
"BM_run/6",36087,19411.9,19396.8,ns,,,,,,0,0,6,1.0927e+08
"BM_run/7",30340,23102.9,23084,ns,,,,,,0,0,7,2.66244e+07
"BM_run/8",26532,26408.7,26383.7,ns,,,,,,0,0,8,1.04916e+07
"BM_run/9",23936,29337.1,29307,ns,,,,,,0,0,9,5.51069e+06
"BM_run/10",22064,31803.5,31771.1,ns,,,,,,0,0,10,3.11711e+06
"BM_run/20",15967,43659,43621.9,ns,,,,,,0,0,20,357463
"BM_run/30",13600,50425.9,50383.5,ns,,,,,,0,0,30,117877
"BM_run/40",12617,56703.4,56650.6,ns,,,,,,0,0,40,65420
"BM_run/50",11383,63157.2,63096.8,ns,,,,,,0,0,50,42629
"BM_run/60",9942,69226.2,69160.6,ns,,,,,,0,0,60,29106
"BM_run/70",9658,75209.2,75140.7,ns,,,,,,0,0,70,17320
"BM_run/80",8692,79931.8,79859.6,ns,,,,,,0,0,80,14938
"BM_run/90",7770,88585.4,88506.4,ns,,,,,,0,0,90,12707
"BM_run/100",7450,93857.1,93772.7,ns,,,,,,0,0,100,12134
"BM_run/200",4409,153509,153380,ns,,,,,,0,0,200,7039
"BM_run/300",3062,226199,226017,ns,,,,,,0,0,300,4794
"BM_run/400",2388,284258,284034,ns,,,,,,0,0,400,3698
"BM_run/500",1994,331504,331229,ns,,,,,,0,0,500,3033
"BM_run/600",1716,386090,385788,ns,,,,,,0,0,600,2598
"BM_run/700",1529,496540,496149,ns,,,,,,0,0,700,2277
"BM_run/800",1203,560814,560372,ns,,,,,,0,0,800,1785
"BM_run/900",1157,595845,595384,ns,,,,,,0,0,900,1760
"BM_run/1000",999,724927,724358,ns,,,,,,0,0,1000,1480
"BM_run/2000",455,1.42173e+06,1.42059e+06,ns,,,,,,0,0,2000,652
"BM_run/3000",377,2.26409e+06,2.26219e+06,ns,,,,,,0,0,3000,516
"BM_run/4000",242,2.87304e+06,2.8708e+06,ns,,,,,,0,0,4000,337
"BM_run/5000",176,3.90893e+06,3.90576e+06,ns,,,,,,0,0,5000,221
"BM_run/6000",132,4.40562e+06,4.40193e+06,ns,,,,,,0,0,6000,169
"BM_run/7000",85,6.23882e+06,6.23401e+06,ns,,,,,,0,0,7000,102
"BM_run/8000",94,5.973e+06,5.96814e+06,ns,,,,,,0,0,8000,117
"BM_run/9000",67,7.89557e+06,7.88946e+06,ns,,,,,,0,0,9000,77
"BM_run/10000",139,9.55986e+06,9.55225e+06,ns,,,,,,0,0,10000,157
"BM_run/20000",44,1.57483e+07,1.5736e+07,ns,,,,,,0,0,20000,50
"BM_run/30000",34,2.84626e+07,2.8441e+07,ns,,,,,,0,0,30000,34
"BM_run/40000",22,3.79835e+07,3.7954e+07,ns,,,,,,0,0,40000,22
"BM_run/50000",10,7.59734e+07,7.59223e+07,ns,,,,,,0,0,50000,10
"BM_run/60000",10,5.46969e+07,5.4651e+07,ns,,,,,,0,0,60000,10
"BM_run/70000",11,9.53921e+07,9.53285e+07,ns,,,,,,0,0,70000,11
"BM_run/80000",10,8.06379e+07,8.05762e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",10,1.67882e+08,1.67775e+08,ns,,,,,,0,0,90000,10
"BM_run/100000",7,8.44612e+07,8.43941e+07,ns,,,,,,0,0,100000,7
"BM_run/200000",7,1.42419e+08,1.42298e+08,ns,,,,,,0,0,200000,7
"BM_run/300000",10,3.39479e+08,3.39233e+08,ns,,,,,,0,0,300000,10
"BM_run/400000",2,5.39549e+08,5.39201e+08,ns,,,,,,0,0,400000,2
"BM_run/500000",1,5.50306e+08,5.49889e+08,ns,,,,,,0,0,500000,1
"BM_run/600000",4,3.79328e+08,3.78994e+08,ns,,,,,,0,0,600000,4
"BM_run/700000",2,3.93424e+08,3.93071e+08,ns,,,,,,0,0,700000,2
"BM_run/800000",1,6.76751e+08,6.76189e+08,ns,,,,,,0,0,800000,1
"BM_run/900000",1,5.76896e+08,5.76367e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",3,1.38089e+09,1.37993e+09,ns,,,,,,0,0,1e+06,3
"BM_run/2000000",1,1.07001e+09,1.06903e+09,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",1,1.50123e+09,1.49983e+09,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,1.5843e+09,1.58279e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,2.0447e+09,2.04278e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,6.81064e+09,6.80534e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,6.63154e+09,6.62588e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.9368e+09,1.93488e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.2552e+10,1.25429e+10,ns,,,,,,0,0,9e+06,1
