Data structureconstruction time: 11942747961 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4733675,146.973,147.951,ns,,,,,,0,0,1,4.96362e+13
"BM_run/2",280157,2492.7,2500.39,ns,,,,,,0,0,2,7.34417e+11
"BM_run/3",279916,2500.13,2503.38,ns,,,,,,0,0,3,1.83447e+11
"BM_run/4",142412,4907.55,4908.96,ns,,,,,,0,0,4,2.33329e+10
"BM_run/5",178876,3915.57,3917.66,ns,,,,,,0,0,5,7.32685e+09
"BM_run/6",112740,6208.74,6209.83,ns,,,,,,0,0,6,1.15459e+09
"BM_run/7",112713,6187.97,6189.16,ns,,,,,,0,0,7,2.88624e+08
"BM_run/8",88679,7870.22,7870,ns,,,,,,0,0,8,5.68457e+07
"BM_run/9",171818,4061.78,4064.2,ns,,,,,,0,0,9,2.76718e+07
"BM_run/10",129651,5289.54,5290.23,ns,,,,,,0,0,10,5.31661e+06
"BM_run/20",58792,11872.2,11867.2,ns,,,,,,0,0,20,58797
"BM_run/30",41853,16807.6,16798.2,ns,,,,,,0,0,30,41853
"BM_run/40",31968,21670.1,21656.9,ns,,,,,,0,0,40,31968
"BM_run/50",26539,26298.4,26280.7,ns,,,,,,0,0,50,26539
"BM_run/60",22436,31107.9,31086.2,ns,,,,,,0,0,60,22436
"BM_run/70",19603,36081.6,36055,ns,,,,,,0,0,70,19603
"BM_run/80",17104,40983.1,40952.8,ns,,,,,,0,0,80,17104
"BM_run/90",15519,45556.3,45521.8,ns,,,,,,0,0,90,15519
"BM_run/100",14147,50960.8,50922.6,ns,,,,,,0,0,100,14147
"BM_run/200",7306,98309.4,98229.2,ns,,,,,,0,0,200,7306
"BM_run/300",4887,143032,142915,ns,,,,,,0,0,300,4887
"BM_run/400",3424,190885,190739,ns,,,,,,0,0,400,3424
"BM_run/500",2877,240448,240269,ns,,,,,,0,0,500,2877
"BM_run/600",2370,284576,284364,ns,,,,,,0,0,600,2370
"BM_run/700",2274,328009,327759,ns,,,,,,0,0,700,2274
"BM_run/800",1804,372645,372372,ns,,,,,,0,0,800,1804
"BM_run/900",1635,428503,428188,ns,,,,,,0,0,900,1635
"BM_run/1000",1501,466227,465896,ns,,,,,,0,0,1000,1501
"BM_run/2000",715,1.00469e+06,1.00399e+06,ns,,,,,,0,0,2000,715
"BM_run/3000",486,1.40867e+06,1.40767e+06,ns,,,,,,0,0,3000,486
"BM_run/4000",412,1.88429e+06,1.88301e+06,ns,,,,,,0,0,4000,412
"BM_run/5000",307,2.23525e+06,2.23368e+06,ns,,,,,,0,0,5000,307
"BM_run/6000",306,2.78188e+06,2.77989e+06,ns,,,,,,0,0,6000,306
"BM_run/7000",255,3.06081e+06,3.05875e+06,ns,,,,,,0,0,7000,255
"BM_run/8000",170,3.88732e+06,3.88471e+06,ns,,,,,,0,0,8000,170
"BM_run/9000",176,4.0941e+06,4.09129e+06,ns,,,,,,0,0,9000,176
"BM_run/10000",157,3.8464e+06,3.84371e+06,ns,,,,,,0,0,10000,157
"BM_run/20000",93,1.02736e+07,1.02668e+07,ns,,,,,,0,0,20000,93
"BM_run/30000",67,1.50788e+07,1.50687e+07,ns,,,,,,0,0,30000,67
"BM_run/40000",60,2.32267e+07,2.32117e+07,ns,,,,,,0,0,40000,60
"BM_run/50000",23,2.54335e+07,2.5417e+07,ns,,,,,,0,0,50000,23
"BM_run/60000",37,3.30539e+07,3.30327e+07,ns,,,,,,0,0,60000,37
"BM_run/70000",24,4.07074e+07,4.06816e+07,ns,,,,,,0,0,70000,24
"BM_run/80000",26,3.01286e+07,3.01082e+07,ns,,,,,,0,0,80000,26
"BM_run/90000",10,5.74901e+07,5.74547e+07,ns,,,,,,0,0,90000,10
"BM_run/100000",16,6.41655e+07,6.41252e+07,ns,,,,,,0,0,100000,16
"BM_run/200000",9,8.28815e+07,8.28277e+07,ns,,,,,,0,0,200000,9
"BM_run/300000",12,1.62288e+08,1.62184e+08,ns,,,,,,0,0,300000,12
"BM_run/400000",1,7.06093e+08,7.05674e+08,ns,,,,,,0,0,400000,1
"BM_run/500000",2,5.16469e+08,5.16171e+08,ns,,,,,,0,0,500000,2
"BM_run/600000",6,2.42734e+08,2.42578e+08,ns,,,,,,0,0,600000,6
"BM_run/700000",9,2.99964e+08,2.99768e+08,ns,,,,,,0,0,700000,9
"BM_run/800000",6,1.92113e+08,1.91972e+08,ns,,,,,,0,0,800000,6
"BM_run/900000",1,6.35283e+08,6.34881e+08,ns,,,,,,0,0,900000,1
"BM_run/1000000",4,9.88409e+08,9.87819e+08,ns,,,,,,0,0,1e+06,4
"BM_run/2000000",1,5.13432e+08,5.1305e+08,ns,,,,,,0,0,2e+06,1
"BM_run/3000000",2,1.0162e+09,1.01546e+09,ns,,,,,,0,0,3e+06,2
"BM_run/4000000",1,1.15718e+09,1.1563e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,3.27016e+09,3.26814e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,5.67412e+09,5.67078e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,9.22705e+08,9.21959e+08,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,1.47206e+09,1.4709e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.28642e+09,1.28538e+09,ns,,,,,,0,0,9e+06,1
