Data structureconstruction time: 12407255190 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4719844,147.598,148.654,ns,,,,,,0,0,1,4.94912e+13
"BM_run/2",294105,2370.63,2378.24,ns,,,,,,0,0,2,7.70982e+11
"BM_run/3",293044,2390.1,2393.11,ns,,,,,,0,0,3,1.9205e+11
"BM_run/4",149345,4686.32,4688.99,ns,,,,,,0,0,4,2.44687e+10
"BM_run/5",184304,3797.41,3799.96,ns,,,,,,0,0,5,7.54921e+09
"BM_run/6",117057,5915.24,5916.44,ns,,,,,,0,0,6,1.19882e+09
"BM_run/7",117901,5895.41,5896.41,ns,,,,,,0,0,7,3.01925e+08
"BM_run/8",94336,7453.45,7452.44,ns,,,,,,0,0,8,6.04616e+07
"BM_run/9",178321,3925.79,3926.94,ns,,,,,,0,0,9,2.87225e+07
"BM_run/10",138127,5031.28,5031.18,ns,,,,,,0,0,10,5.665e+06
"BM_run/20",62436,11186.8,11181.8,ns,,,,,,0,0,20,62436
"BM_run/30",42953,16099.5,16089.8,ns,,,,,,0,0,30,42953
"BM_run/40",33492,21047.4,21033.7,ns,,,,,,0,0,40,33492
"BM_run/50",27474,25764.3,25749.2,ns,,,,,,0,0,50,27474
"BM_run/60",22871,30718.3,30698.7,ns,,,,,,0,0,60,22871
"BM_run/70",20122,34951.4,34929,ns,,,,,,0,0,70,20122
"BM_run/80",17322,40193.3,40164.6,ns,,,,,,0,0,80,17322
"BM_run/90",15436,44601.9,44571.6,ns,,,,,,0,0,90,15436
"BM_run/100",14088,49374.8,49340.6,ns,,,,,,0,0,100,14088
"BM_run/200",7145,97587.1,97514.5,ns,,,,,,0,0,200,7145
"BM_run/300",4676,142718,142612,ns,,,,,,0,0,300,4676
"BM_run/400",3605,188425,188286,ns,,,,,,0,0,400,3605
"BM_run/500",2906,237906,237729,ns,,,,,,0,0,500,2906
"BM_run/600",2456,288556,288353,ns,,,,,,0,0,600,2456
"BM_run/700",2024,325147,324913,ns,,,,,,0,0,700,2024
"BM_run/800",1789,367091,366810,ns,,,,,,0,0,800,1789
"BM_run/900",1721,420258,419962,ns,,,,,,0,0,900,1721
"BM_run/1000",1535,490382,490026,ns,,,,,,0,0,1000,1535
"BM_run/2000",724,880699,880088,ns,,,,,,0,0,2000,724
"BM_run/3000",452,1.55852e+06,1.55747e+06,ns,,,,,,0,0,3000,452
"BM_run/4000",357,1.96597e+06,1.96461e+06,ns,,,,,,0,0,4000,357
"BM_run/5000",308,2.33861e+06,2.33697e+06,ns,,,,,,0,0,5000,308
"BM_run/6000",251,2.82213e+06,2.82027e+06,ns,,,,,,0,0,6000,251
"BM_run/7000",188,3.30625e+06,3.30402e+06,ns,,,,,,0,0,7000,188
"BM_run/8000",139,3.6098e+06,3.60723e+06,ns,,,,,,0,0,8000,139
"BM_run/9000",147,4.338e+06,4.33516e+06,ns,,,,,,0,0,9000,147
"BM_run/10000",100,5.32553e+06,5.32211e+06,ns,,,,,,0,0,10000,100
"BM_run/20000",92,9.0994e+06,9.09325e+06,ns,,,,,,0,0,20000,92
"BM_run/30000",52,1.69745e+07,1.69634e+07,ns,,,,,,0,0,30000,52
"BM_run/40000",33,1.92862e+07,1.92736e+07,ns,,,,,,0,0,40000,33
"BM_run/50000",23,2.24051e+07,2.23902e+07,ns,,,,,,0,0,50000,23
"BM_run/60000",27,2.15838e+07,2.15695e+07,ns,,,,,,0,0,60000,27
"BM_run/70000",27,2.51921e+07,2.51744e+07,ns,,,,,,0,0,70000,27
"BM_run/80000",10,6.09909e+07,6.09542e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",16,3.83469e+07,3.83205e+07,ns,,,,,,0,0,90000,16
"BM_run/100000",13,3.98882e+07,3.98613e+07,ns,,,,,,0,0,100000,13
"BM_run/200000",11,5.8148e+07,5.81062e+07,ns,,,,,,0,0,200000,11
"BM_run/300000",9,1.43083e+08,1.42992e+08,ns,,,,,,0,0,300000,9
"BM_run/400000",7,1.57158e+08,1.57057e+08,ns,,,,,,0,0,400000,7
"BM_run/500000",6,2.06614e+08,2.0648e+08,ns,,,,,,0,0,500000,6
"BM_run/600000",10,3.09694e+08,3.09502e+08,ns,,,,,,0,0,600000,10
"BM_run/700000",3,3.26655e+08,3.26454e+08,ns,,,,,,0,0,700000,3
"BM_run/800000",8,3.6826e+08,3.68031e+08,ns,,,,,,0,0,800000,8
"BM_run/900000",4,4.26434e+08,4.26159e+08,ns,,,,,,0,0,900000,4
"BM_run/1000000",7,4.70696e+08,4.70393e+08,ns,,,,,,0,0,1e+06,7
"BM_run/2000000",3,1.27924e+09,1.27847e+09,ns,,,,,,0,0,2e+06,3
"BM_run/3000000",2,2.49e+09,2.48851e+09,ns,,,,,,0,0,3e+06,2
"BM_run/4000000",1,2.61293e+09,2.61135e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,4.35744e+09,4.35494e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,9.99093e+08,9.98301e+08,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,7.05792e+08,7.05195e+08,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,2.95289e+09,2.95084e+09,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,1.17335e+09,1.17241e+09,ns,,,,,,0,0,9e+06,1
