Data structureconstruction time: 10340335764 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4623349,150.322,151.231,ns,,,,,,0,0,1,4.84793e+13
"BM_run/2",290280,2405.55,2409.67,ns,,,,,,0,0,2,7.60954e+11
"BM_run/3",288576,2423.81,2426.61,ns,,,,,,0,0,3,1.89122e+11
"BM_run/4",143852,4861.74,4863.46,ns,,,,,,0,0,4,2.35691e+10
"BM_run/5",180940,3868.73,3871.05,ns,,,,,,0,0,5,7.41152e+09
"BM_run/6",115240,6042.36,6043,ns,,,,,,0,0,6,1.18017e+09
"BM_run/7",115155,6033.24,6033.83,ns,,,,,,0,0,7,2.94919e+08
"BM_run/8",91443,7603.24,7601.76,ns,,,,,,0,0,8,5.86116e+07
"BM_run/9",175898,3976.01,3976.35,ns,,,,,,0,0,9,2.83316e+07
"BM_run/10",136527,5086.82,5085.5,ns,,,,,,0,0,10,5.59798e+06
"BM_run/20",61526,11279.3,11274.5,ns,,,,,,0,0,20,61529
"BM_run/30",42538,16302.9,16295.1,ns,,,,,,0,0,30,42538
"BM_run/40",32898,21281.3,21268.4,ns,,,,,,0,0,40,32898
"BM_run/50",26662,26299.6,26282.9,ns,,,,,,0,0,50,26662
"BM_run/60",22406,30993.5,30973,ns,,,,,,0,0,60,22406
"BM_run/70",19762,35811.6,35787.1,ns,,,,,,0,0,70,19762
"BM_run/80",17177,40938.7,40906.4,ns,,,,,,0,0,80,17177
"BM_run/90",15361,45868.5,45834.2,ns,,,,,,0,0,90,15361
"BM_run/100",14041,50584,50545,ns,,,,,,0,0,100,14041
"BM_run/200",7142,97847.4,97768.8,ns,,,,,,0,0,200,7142
"BM_run/300",4783,150444,150324,ns,,,,,,0,0,300,4783
"BM_run/400",3404,199629,199473,ns,,,,,,0,0,400,3404
"BM_run/500",2806,240658,240468,ns,,,,,,0,0,500,2806
"BM_run/600",2459,280825,280609,ns,,,,,,0,0,600,2459
"BM_run/700",2016,334366,334115,ns,,,,,,0,0,700,2016
"BM_run/800",1815,406266,405967,ns,,,,,,0,0,800,1815
"BM_run/900",1698,410438,410137,ns,,,,,,0,0,900,1698
"BM_run/1000",1468,459531,459188,ns,,,,,,0,0,1000,1468
"BM_run/2000",804,998467,997740,ns,,,,,,0,0,2000,804
"BM_run/3000",523,1.45537e+06,1.45432e+06,ns,,,,,,0,0,3000,523
"BM_run/4000",365,2.07874e+06,2.07724e+06,ns,,,,,,0,0,4000,365
"BM_run/5000",262,2.28653e+06,2.28485e+06,ns,,,,,,0,0,5000,262
"BM_run/6000",223,2.81286e+06,2.81079e+06,ns,,,,,,0,0,6000,223
"BM_run/7000",223,3.36805e+06,3.36559e+06,ns,,,,,,0,0,7000,223
"BM_run/8000",208,4.1233e+06,4.12036e+06,ns,,,,,,0,0,8000,208
"BM_run/9000",166,4.09043e+06,4.08749e+06,ns,,,,,,0,0,9000,166
"BM_run/10000",143,4.49063e+06,4.48729e+06,ns,,,,,,0,0,10000,143
"BM_run/20000",67,8.35875e+06,8.35158e+06,ns,,,,,,0,0,20000,67
"BM_run/30000",42,1.45304e+07,1.45203e+07,ns,,,,,,0,0,30000,42
"BM_run/40000",42,2.37823e+07,2.37663e+07,ns,,,,,,0,0,40000,42
"BM_run/50000",38,2.67138e+07,2.66957e+07,ns,,,,,,0,0,50000,38
"BM_run/60000",31,2.17535e+07,2.17373e+07,ns,,,,,,0,0,60000,31
"BM_run/70000",23,3.96724e+07,3.96452e+07,ns,,,,,,0,0,70000,23
"BM_run/80000",10,5.44321e+07,5.4397e+07,ns,,,,,,0,0,80000,10
"BM_run/90000",21,4.20596e+07,4.20305e+07,ns,,,,,,0,0,90000,21
"BM_run/100000",17,3.17472e+07,3.17232e+07,ns,,,,,,0,0,100000,17
"BM_run/200000",7,8.85684e+07,8.85075e+07,ns,,,,,,0,0,200000,7
"BM_run/300000",3,2.21074e+08,2.20928e+08,ns,,,,,,0,0,300000,3
"BM_run/400000",7,1.56284e+08,1.56171e+08,ns,,,,,,0,0,400000,7
"BM_run/500000",4,2.25165e+08,2.25009e+08,ns,,,,,,0,0,500000,4
"BM_run/600000",2,2.51379e+08,2.51203e+08,ns,,,,,,0,0,600000,2
"BM_run/700000",10,2.52332e+08,2.52152e+08,ns,,,,,,0,0,700000,10
"BM_run/800000",8,3.66429e+08,3.66177e+08,ns,,,,,,0,0,800000,8
"BM_run/900000",3,2.09937e+08,2.09769e+08,ns,,,,,,0,0,900000,3
"BM_run/1000000",1,9.23267e+08,9.22649e+08,ns,,,,,,0,0,1e+06,1
"BM_run/2000000",3,2.22624e+08,2.22431e+08,ns,,,,,,0,0,2e+06,3
"BM_run/3000000",1,7.07618e+08,7.07031e+08,ns,,,,,,0,0,3e+06,1
"BM_run/4000000",1,6.49663e+09,6.49282e+09,ns,,,,,,0,0,4e+06,1
"BM_run/5000000",1,1.52631e+09,1.52508e+09,ns,,,,,,0,0,5e+06,1
"BM_run/6000000",1,1.11639e+09,1.11549e+09,ns,,,,,,0,0,6e+06,1
"BM_run/7000000",1,3.70342e+09,3.70078e+09,ns,,,,,,0,0,7e+06,1
"BM_run/8000000",1,8.23494e+08,8.22733e+08,ns,,,,,,0,0,8e+06,1
"BM_run/9000000",1,2.56652e+10,2.56507e+10,ns,,,,,,0,0,9e+06,1
